localTime,remoteTime,label,eda,eda_filtered
1653722652027,-1050750602,night1,-5718,-5718
1653722652027,-1050850602,night1,-5710,-5710
1653722652027,-1050950602,night1,-5710,-5710
1653722652027,-1051050602,night1,-5716,-5716
1653722652027,-1051150602,night1,-5716,-5716
1653722652524,-1050250570,night1,-5711,-5711
1653722652524,-1050350570,night1,-5711,-5711
1653722652524,-1050450570,night1,-5711,-5711
1653722652524,-1050550570,night1,-5709,-5709
1653722652524,-1050650570,night1,-5714,-5714
1653722653015,-1049750556,night1,-5718,-5718
1653722653015,-1049850556,night1,-5712,-5712
1653722653015,-1049950556,night1,-5713,-5713
1653722653015,-1050050556,night1,-5713,-5713
1653722653015,-1050150556,night1,-5710,-5710
1653722653523,-1049250609,night1,-5712,-5712
1653722653523,-1049350609,night1,-5711,-5711
1653722653523,-1049450609,night1,-5710,-5710
1653722653523,-1049550609,night1,-5716,-5716
1653722653523,-1049650609,night1,-5717,-5717
1653722654025,-1048750570,night1,-5712,-5712
1653722654025,-1048850570,night1,-5710,-5710
1653722654025,-1048950570,night1,-5711,-5711
1653722654025,-1049050570,night1,-5710,-5710
1653722654025,-1049150570,night1,-5715,-5715
1653722654540,-1048250564,night1,-5720,-5720
1653722654540,-1048350564,night1,-5714,-5714
1653722654540,-1048450564,night1,-5718,-5718
1653722654540,-1048550564,night1,-5717,-5717
1653722654540,-1048650564,night1,-5721,-5721
1653722654983,-1047750544,night1,-5723,-5723
1653722654983,-1047850544,night1,-5717,-5717
1653722654983,-1047950544,night1,-5717,-5717
1653722654983,-1048050544,night1,-5716,-5716
1653722654983,-1048150544,night1,-5720,-5720
1653722655473,-1047250516,night1,-5723,-5723
1653722655473,-1047350516,night1,-5718,-5718
1653722655473,-1047450516,night1,-5722,-5722
1653722655473,-1047550516,night1,-5724,-5724
1653722655473,-1047650516,night1,-5716,-5716
1653722655970,-1046750600,night1,-5719,-5719
1653722655970,-1046850600,night1,-5717,-5717
1653722655970,-1046950600,night1,-5718,-5718
1653722655970,-1047050600,night1,-5722,-5722
1653722655970,-1047150600,night1,-5723,-5723
1653722656480,-1046250635,night1,-5721,-5721
1653722656480,-1046350635,night1,-5716,-5716
1653722656480,-1046450635,night1,-5717,-5717
1653722656480,-1046550635,night1,-5718,-5718
1653722656480,-1046650635,night1,-5713,-5713
1653722656941,-1045750602,night1,-5718,-5718
1653722656941,-1045850602,night1,-5716,-5716
1653722656941,-1045950602,night1,-5709,-5709
1653722656941,-1046050602,night1,-5713,-5713
1653722656941,-1046150602,night1,-5711,-5711
1653722657429,-1045250563,night1,-5706,-5706
1653722657429,-1045350563,night1,-5704,-5704
1653722657429,-1045450563,night1,-5707,-5707
1653722657429,-1045550563,night1,-5697,-5697
1653722657429,-1045650563,night1,-5701,-5701
1653722657931,-1044750545,night1,-5701,-5701
1653722657931,-1044850545,night1,-5695,-5695
1653722657931,-1044950545,night1,-5699,-5699
1653722657931,-1045050545,night1,-5700,-5700
1653722657931,-1045150545,night1,-5699,-5699
1653722658425,-1044250570,night1,-5699,-5699
1653722658425,-1044350570,night1,-5696,-5696
1653722658425,-1044450570,night1,-5693,-5693
1653722658425,-1044550570,night1,-5698,-5698
1653722658425,-1044650570,night1,-5699,-5699
1653722658937,-1043750623,night1,-5697,-5697
1653722658937,-1043850623,night1,-5690,-5690
1653722658937,-1043950623,night1,-5696,-5696
1653722658937,-1044050623,night1,-5694,-5694
1653722658937,-1044150623,night1,-5691,-5691
1653722659402,-1043250570,night1,-5698,-5698
1653722659402,-1043350570,night1,-5696,-5696
1653722659402,-1043450570,night1,-5697,-5697
1653722659402,-1043550570,night1,-5699,-5699
1653722659402,-1043650570,night1,-5698,-5698
1653722659899,-1042750564,night1,-5698,-5698
1653722659899,-1042850564,night1,-5693,-5693
1653722659899,-1042950564,night1,-5695,-5695
1653722659899,-1043050564,night1,-5699,-5699
1653722659899,-1043150564,night1,-5700,-5700
1653722660389,-1042250564,night1,-5700,-5700
1653722660389,-1042350564,night1,-5695,-5695
1653722660389,-1042450564,night1,-5700,-5700
1653722660389,-1042550564,night1,-5702,-5702
