localTime,remoteTime,label,eda,eda_filtered
1653722651978,-1056767247,night1,-61116,-61116
1653722651978,-1056867247,night1,-61132,-61132
1653722651978,-1056967247,night1,-61124,-61124
1653722651978,-1057067247,night1,-61116,-61116
1653722651978,-1057167247,night1,-61130,-61130
1653722652428,-1056267209,night1,-61164,-61164
1653722652428,-1056367209,night1,-61182,-61182
1653722652428,-1056467209,night1,-61179,-61179
1653722652428,-1056567209,night1,-61184,-61184
1653722652428,-1056667209,night1,-61186,-61186
1653722652931,-1055767207,night1,-61200,-61200
1653722652931,-1055867207,night1,-61226,-61226
1653722652931,-1055967207,night1,-61240,-61240
1653722652931,-1056067207,night1,-61234,-61234
1653722652931,-1056167207,night1,-61240,-61240
1653722653413,-1055267189,night1,-61254,-61254
1653722653413,-1055367189,night1,-61269,-61269
1653722653413,-1055467189,night1,-61277,-61277
1653722653413,-1055567189,night1,-61283,-61283
1653722653413,-1055667189,night1,-61283,-61283
1653722653919,-1054767208,night1,-61285,-61285
1653722653919,-1054867208,night1,-61295,-61295
1653722653919,-1054967208,night1,-61301,-61301
1653722653919,-1055067208,night1,-61300,-61300
1653722653919,-1055167208,night1,-61318,-61318
1653722654432,-1054267215,night1,-61320,-61320
1653722654432,-1054367215,night1,-61338,-61338
1653722654432,-1054467215,night1,-61334,-61334
1653722654432,-1054567215,night1,-61338,-61338
1653722654432,-1054667215,night1,-61342,-61342
1653722654888,-1053767206,night1,-61349,-61349
1653722654888,-1053867206,night1,-61374,-61374
1653722654888,-1053967206,night1,-61376,-61376
1653722654888,-1054067206,night1,-61378,-61378
1653722654888,-1054167206,night1,-61381,-61381
1653722655381,-1053267208,night1,-61396,-61396
1653722655381,-1053367208,night1,-61416,-61416
1653722655381,-1053467208,night1,-61428,-61428
1653722655381,-1053567208,night1,-61424,-61424
1653722655381,-1053667208,night1,-61430,-61430
1653722655881,-1052767207,night1,-61452,-61452
1653722655881,-1052867207,night1,-61471,-61471
1653722655881,-1052967207,night1,-61480,-61480
1653722655881,-1053067207,night1,-61485,-61485
1653722655881,-1053167207,night1,-61463,-61463
1653722656377,-1052267247,night1,-61454,-61454
1653722656377,-1052367247,night1,-61463,-61463
1653722656377,-1052467247,night1,-61460,-61460
1653722656377,-1052567247,night1,-61486,-61486
1653722656377,-1052667247,night1,-61492,-61492
1653722656893,-1051767207,night1,-61485,-61485
1653722656893,-1051867207,night1,-61500,-61500
1653722656893,-1051967207,night1,-61496,-61496
1653722656893,-1052067207,night1,-61482,-61482
1653722656893,-1052167207,night1,-61486,-61486
1653722657352,-1051262390,night1,-61458,-61458
1653722657352,-1051362390,night1,-61436,-61436
1653722657352,-1051462390,night1,-61378,-61378
1653722657352,-1051562390,night1,-61352,-61352
1653722657352,-1051662390,night1,-61305,-61305
1653722657846,-1050767206,night1,-61304,-61304
1653722657846,-1050867206,night1,-61299,-61299
1653722657846,-1050967206,night1,-61272,-61272
1653722657846,-1051067206,night1,-61255,-61255
1653722657846,-1051167206,night1,-61248,-61248
1653722658343,-1050267205,night1,-61251,-61251
1653722658343,-1050367205,night1,-61289,-61289
1653722658343,-1050467205,night1,-61289,-61289
1653722658343,-1050567205,night1,-61305,-61305
1653722658343,-1050667205,night1,-61319,-61319
1653722658840,-1049767176,night1,-61332,-61332
1653722658840,-1049867176,night1,-61379,-61379
1653722658840,-1049967176,night1,-61405,-61405
1653722658840,-1050067176,night1,-61432,-61432
1653722658840,-1050167176,night1,-61450,-61450
1653722659352,-1049267206,night1,-61485,-61485
1653722659352,-1049367206,night1,-61510,-61510
1653722659352,-1049467206,night1,-61548,-61548
1653722659352,-1049567206,night1,-61576,-61576
1653722659352,-1049667206,night1,-61593,-61593
1653722659861,-1048767201,night1,-61604,-61604
1653722659861,-1048867201,night1,-61616,-61616
1653722659861,-1048967201,night1,-61608,-61608
1653722659861,-1049067201,night1,-61592,-61592
1653722659861,-1049167201,night1,-61561,-61561
1653722660309,-1048267209,night1,-61535,-61535
1653722660309,-1048367209,night1,-61457,-61457
1653722660309,-1048467209,night1,-61412,-61412
1653722660309,-1048567209,night1,-61314,-61314
1653722660309,-1048667209,night1,-61281,-61281
1653722660811,-1047767189,night1,-61253,-61253
1653722660811,-1047867189,night1,-61253,-61253
1653722660811,-1047967189,night1,-61229,-61229
1653722660811,-1048067189,night1,-61208,-61208
1653722660811,-1048167189,night1,-61206,-61206
1653722661311,-1047267198,night1,-61209,-61209
1653722661311,-1047367198,night1,-61227,-61227
1653722661311,-1047467198,night1,-61262,-61262
1653722661311,-1047567198,night1,-61269,-61269
1653722661311,-1047667198,night1,-61312,-61312
1653722661805,-1046767215,night1,-61321,-61321
1653722661805,-1046867215,night1,-61339,-61339
1653722661805,-1046967215,night1,-61379,-61379
1653722661805,-1047067215,night1,-61395,-61395
1653722661805,-1047167215,night1,-61464,-61464
1653722662321,-1046267215,night1,-61483,-61483
1653722662321,-1046367215,night1,-61530,-61530
1653722662321,-1046467215,night1,-61538,-61538
1653722662321,-1046567215,night1,-61570,-61570
1653722662321,-1046667215,night1,-61583,-61583
1653722662780,-1045767247,night1,-61598,-61598
1653722662780,-1045867247,night1,-61663,-61663
1653722662780,-1045967247,night1,-61676,-61676
1653722662780,-1046067247,night1,-61684,-61684
1653722662780,-1046167247,night1,-61696,-61696
1653722663281,-1045267208,night1,-61725,-61725
1653722663281,-1045367208,night1,-61730,-61730
1653722663281,-1045467208,night1,-61752,-61752
1653722663281,-1045567208,night1,-61771,-61771
1653722663281,-1045667208,night1,-61775,-61775
1653722663764,-1044767198,night1,-61784,-61784
1653722663764,-1044867198,night1,-61802,-61802
1653722663764,-1044967198,night1,-61804,-61804
1653722663764,-1045067198,night1,-61808,-61808
1653722663764,-1045167198,night1,-61840,-61840
1653722664262,-1044267218,night1,-61854,-61854
1653722664262,-1044367218,night1,-61867,-61867
1653722664262,-1044467218,night1,-61875,-61875
1653722664262,-1044567218,night1,-61872,-61872
1653722664262,-1044667218,night1,-61873,-61873
1653722664774,-1043767205,night1,-61882,-61882
1653722664774,-1043867205,night1,-61904,-61904
1653722664774,-1043967205,night1,-61922,-61922
1653722664774,-1044067205,night1,-61919,-61919
1653722664774,-1044167205,night1,-61920,-61920
1653722665246,-1043267209,night1,-61927,-61927
1653722665246,-1043367209,night1,-61937,-61937
1653722665246,-1043467209,night1,-61941,-61941
1653722665246,-1043567209,night1,-61951,-61951
1653722665246,-1043667209,night1,-61974,-61974
1653722665736,-1042767254,night1,-61971,-61971
1653722665736,-1042867254,night1,-61981,-61981
1653722665736,-1042967254,night1,-61984,-61984
1653722665736,-1043067254,night1,-61984,-61984
1653722665736,-1043167254,night1,-61984,-61984
1653722666227,-1042267206,night1,-62008,-62008
1653722666227,-1042367206,night1,-62018,-62018
1653722666227,-1042467206,night1,-62004,-62004
1653722666227,-1042567206,night1,-62000,-62000
1653722666227,-1042667206,night1,-61995,-61995
1653722666719,-1041767247,night1,-61988,-61988
1653722666719,-1041867247,night1,-62000,-62000
1653722666719,-1041967247,night1,-62017,-62017
1653722666719,-1042067247,night1,-62007,-62007
1653722666719,-1042167247,night1,-62002,-62002
1653722667246,-1041267218,night1,-62001,-62001
1653722667246,-1041367218,night1,-62005,-62005
1653722667246,-1041467218,night1,-61996,-61996
1653722667246,-1041567218,night1,-62013,-62013
1653722667246,-1041667218,night1,-62022,-62022
1653722667750,-1040767255,night1,-62021,-62021
1653722667750,-1040867255,night1,-62033,-62033
1653722667750,-1040967255,night1,-62046,-62046
1653722667750,-1041067255,night1,-62040,-62040
1653722667750,-1041167255,night1,-62050,-62050
1653722668204,-1040267199,night1,-62071,-62071
1653722668204,-1040367199,night1,-62085,-62085
1653722668204,-1040467199,night1,-62084,-62084
1653722668204,-1040567199,night1,-62090,-62090
1653722668204,-1040667199,night1,-62093,-62093
1653722668694,-1039767213,night1,-62108,-62108
1653722668694,-1039867213,night1,-62126,-62126
1653722668694,-1039967213,night1,-62120,-62120
1653722668694,-1040067213,night1,-62114,-62114
1653722668694,-1040167213,night1,-62117,-62117
1653722669183,-1039267244,night1,-62108,-62108
1653722669183,-1039367244,night1,-62112,-62112
1653722669183,-1039467244,night1,-62116,-62116
1653722669183,-1039567244,night1,-62102,-62102
1653722669183,-1039667244,night1,-62082,-62082
1653722669703,-1038767207,night1,-62083,-62083
1653722669703,-1038867207,night1,-62084,-62084
1653722669703,-1038967207,night1,-62076,-62076
1653722669703,-1039067207,night1,-62077,-62077
1653722669703,-1039167207,night1,-62106,-62106
1653722670202,-1038267207,night1,-62097,-62097
1653722670202,-1038367207,night1,-62112,-62112
1653722670202,-1038467207,night1,-62115,-62115
1653722670202,-1038567207,night1,-62111,-62111
1653722670202,-1038667207,night1,-62119,-62119
1653722670661,-1037767192,night1,-62124,-62124
1653722670661,-1037867192,night1,-62166,-62166
1653722670661,-1037967192,night1,-62165,-62165
1653722670661,-1038067192,night1,-62170,-62170
1653722670661,-1038167192,night1,-62176,-62176
1653722671157,-1037267206,night1,-62188,-62188
1653722671157,-1037367206,night1,-62198,-62198
1653722671157,-1037467206,night1,-62191,-62191
1653722671157,-1037567206,night1,-62202,-62202
1653722671157,-1037667206,night1,-62158,-62158
1653722671648,-1036767247,night1,-62111,-62111
1653722671648,-1036867247,night1,-62068,-62068
1653722671648,-1036967247,night1,-61942,-61942
1653722671648,-1037067247,night1,-61866,-61866
1653722671648,-1037167247,night1,-61715,-61715
1653722672152,-1036267208,night1,-61662,-61662
1653722672152,-1036367208,night1,-61530,-61530
1653722672152,-1036467208,night1,-61459,-61459
1653722672152,-1036567208,night1,-61353,-61353
1653722672152,-1036667208,night1,-61308,-61308
1653722672657,-1035767206,night1,-61272,-61272
1653722672657,-1035867206,night1,-61235,-61235
1653722672657,-1035967206,night1,-61230,-61230
1653722672657,-1036067206,night1,-61198,-61198
1653722672657,-1036167206,night1,-61200,-61200
1653722673125,-1035267209,night1,-61206,-61206
1653722673125,-1035367209,night1,-61229,-61229
1653722673125,-1035467209,night1,-61263,-61263
1653722673125,-1035567209,night1,-61285,-61285
1653722673125,-1035667209,night1,-61369,-61369
1653722673621,-1034767206,night1,-61398,-61398
1653722673621,-1034867206,night1,-61433,-61433
1653722673621,-1034967206,night1,-61488,-61488
1653722673621,-1035067206,night1,-61516,-61516
1653722673621,-1035167206,night1,-61572,-61572
