localTime,remoteTime,label,eda,eda_filtered
1653722652179,-1047515356,night1,-59761,-59761
1653722652179,-1047615356,night1,-59774,-59774
1653722652179,-1047715356,night1,-59769,-59769
1653722652179,-1047815356,night1,-59788,-59788
1653722652179,-1047915356,night1,-59788,-59788
1653722652694,-1047015372,night1,-59795,-59795
1653722652694,-1047115372,night1,-59811,-59811
1653722652694,-1047215372,night1,-59811,-59811
1653722652694,-1047315372,night1,-59811,-59811
1653722652694,-1047415372,night1,-59821,-59821
1653722653148,-1046515356,night1,-59832,-59832
1653722653148,-1046615356,night1,-59839,-59839
1653722653148,-1046715356,night1,-59849,-59849
1653722653148,-1046815356,night1,-59858,-59858
1653722653148,-1046915356,night1,-59853,-59853
1653722653636,-1046015385,night1,-59860,-59860
1653722653636,-1046115385,night1,-59882,-59882
1653722653636,-1046215385,night1,-59874,-59874
1653722653636,-1046315385,night1,-59884,-59884
1653722653636,-1046415385,night1,-59888,-59888
1653722654130,-1045515060,night1,-59892,-59892
1653722654130,-1045615060,night1,-59910,-59910
1653722654130,-1045715060,night1,-59908,-59908
1653722654130,-1045815060,night1,-59907,-59907
1653722654130,-1045915060,night1,-59918,-59918
1653722654638,-1045015349,night1,-59922,-59922
1653722654638,-1045115349,night1,-59927,-59927
1653722654638,-1045215349,night1,-59930,-59930
1653722654638,-1045315349,night1,-59939,-59939
1653722654638,-1045415349,night1,-59938,-59938
1653722655150,-1044515369,night1,-59941,-59941
1653722655150,-1044615369,night1,-59960,-59960
1653722655150,-1044715369,night1,-59963,-59963
1653722655150,-1044815369,night1,-59958,-59958
1653722655150,-1044915369,night1,-59969,-59969
1653722655603,-1044015330,night1,-59967,-59967
1653722655603,-1044115330,night1,-59978,-59978
1653722655603,-1044215330,night1,-59980,-59980
1653722655603,-1044315330,night1,-59978,-59978
1653722655603,-1044415330,night1,-59985,-59985
1653722656096,-1043515392,night1,-59995,-59995
1653722656096,-1043615392,night1,-60006,-60006
1653722656096,-1043715392,night1,-59998,-59998
1653722656096,-1043815392,night1,-60002,-60002
1653722656096,-1043915392,night1,-60020,-60020
1653722656584,-1043015407,night1,-60015,-60015
1653722656584,-1043115407,night1,-60034,-60034
1653722656584,-1043215407,night1,-60035,-60035
1653722656584,-1043315407,night1,-60024,-60024
1653722656584,-1043415407,night1,-60029,-60029
1653722657093,-1042515374,night1,-60037,-60037
1653722657093,-1042615374,night1,-60046,-60046
1653722657093,-1042715374,night1,-60050,-60050
1653722657093,-1042815374,night1,-60056,-60056
1653722657093,-1042915374,night1,-60052,-60052
1653722657560,-1042015353,night1,-60055,-60055
1653722657560,-1042115353,night1,-60064,-60064
1653722657560,-1042215353,night1,-60072,-60072
1653722657560,-1042315353,night1,-60065,-60065
1653722657560,-1042415353,night1,-60082,-60082
1653722658046,-1041515349,night1,-60077,-60077
1653722658046,-1041615349,night1,-60088,-60088
1653722658046,-1041715349,night1,-60081,-60081
1653722658046,-1041815349,night1,-60081,-60081
1653722658046,-1041915349,night1,-60084,-60084
1653722658541,-1041015365,night1,-60096,-60096
1653722658541,-1041115365,night1,-60103,-60103
1653722658541,-1041215365,night1,-60092,-60092
1653722658541,-1041315365,night1,-60094,-60094
1653722658541,-1041415365,night1,-60098,-60098
1653722659041,-1040513983,night1,-60100,-60100
1653722659041,-1040613983,night1,-60116,-60116
1653722659041,-1040713983,night1,-60112,-60112
1653722659041,-1040813983,night1,-60106,-60106
1653722659041,-1040913983,night1,-60113,-60113
1653722659552,-1040015366,night1,-60117,-60117
1653722659552,-1040115366,night1,-60136,-60136
1653722659552,-1040215366,night1,-60143,-60143
1653722659552,-1040315366,night1,-60128,-60128
1653722659552,-1040415366,night1,-60128,-60128
1653722660066,-1039515419,night1,-60132,-60132
1653722660066,-1039615419,night1,-60143,-60143
1653722660066,-1039715419,night1,-60158,-60158
1653722660066,-1039815419,night1,-60161,-60161
1653722660066,-1039915419,night1,-60153,-60153
1653722660515,-1039015352,night1,-60162,-60162
1653722660515,-1039115352,night1,-60162,-60162
1653722660515,-1039215352,night1,-60158,-60158
1653722660515,-1039315352,night1,-60174,-60174
1653722660515,-1039415352,night1,-60168,-60168
1653722661015,-1038515372,night1,-60142,-60142
1653722661015,-1038615372,night1,-60148,-60148
1653722661015,-1038715372,night1,-60125,-60125
1653722661015,-1038815372,night1,-60089,-60089
1653722661015,-1038915372,night1,-60082,-60082
1653722661498,-1038012421,night1,-60382,-60382
1653722661498,-1038112421,night1,-60595,-60595
1653722661498,-1038212421,night1,-60387,-60387
1653722661498,-1038312421,night1,-60155,-60155
1653722661498,-1038412421,night1,-60000,-60000
1653722662015,-1037515374,night1,-59971,-59971
1653722662015,-1037615374,night1,-59834,-59834
1653722662015,-1037715374,night1,-59784,-59784
1653722662015,-1037815374,night1,-59861,-59861
1653722662015,-1037915374,night1,-59815,-59815
1653722662523,-1037015394,night1,-59960,-59960
1653722662523,-1037115394,night1,-60104,-60104
1653722662523,-1037215394,night1,-60122,-60122
1653722662523,-1037315394,night1,-60058,-60058
1653722662523,-1037415394,night1,-60297,-60297
1653722662979,-1036515366,night1,-60262,-60262
1653722662979,-1036615366,night1,-1382,-1382
1653722662979,-1036715366,night1,-4975,-4975
1653722662979,-1036815366,night1,-6031,-6031
1653722662979,-1036915366,night1,-5872,-5872
1653722663476,-1036015367,night1,-5326,-5326
1653722663476,-1036115367,night1,-2139,-2139
1653722663476,-1036215367,night1,-1106,-1106
1653722663476,-1036315367,night1,-364,-364
1653722663476,-1036415367,night1,-725,-725
1653722663976,-1035515324,night1,-884,-884
1653722663976,-1035615324,night1,-1182,-1182
1653722663976,-1035715324,night1,-2219,-2219
1653722663976,-1035815324,night1,-3340,-3340
1653722663976,-1035915324,night1,-4021,-4021
1653722664468,-1035015377,night1,-5911,-5911
1653722664468,-1035115377,night1,-6497,-6497
1653722664468,-1035215377,night1,-6538,-6538
1653722664468,-1035315377,night1,-6539,-6539
1653722664468,-1035415377,night1,-6559,-6559
1653722664982,-1034515360,night1,-6570,-6570
1653722664982,-1034615360,night1,-6573,-6573
1653722664982,-1034715360,night1,-6479,-6479
1653722664982,-1034815360,night1,-6014,-6014
1653722664982,-1034915360,night1,-6220,-6220
1653722665446,-1034015368,night1,-6557,-6557
1653722665446,-1034115368,night1,-6555,-6555
1653722665446,-1034215368,night1,-6359,-6359
1653722665446,-1034315368,night1,-6338,-6338
1653722665446,-1034415368,night1,-6515,-6515
1653722665950,-1033515360,night1,-6556,-6556
1653722665950,-1033615360,night1,-6543,-6543
1653722665950,-1033715360,night1,-6555,-6555
1653722665950,-1033815360,night1,-6540,-6540
1653722665950,-1033915360,night1,-6530,-6530
1653722666432,-1033015332,night1,-6532,-6532
1653722666432,-1033115332,night1,-6534,-6534
1653722666432,-1033215332,night1,-6566,-6566
1653722666432,-1033315332,night1,-5680,-5680
1653722666432,-1033415332,night1,-2860,-2860
1653722666925,-1032515384,night1,-2184,-2184
1653722666925,-1032615384,night1,-2564,-2564
1653722666925,-1032715384,night1,-2590,-2590
1653722666925,-1032815384,night1,-2587,-2587
1653722666925,-1032915384,night1,-1816,-1816
1653722667436,-1032015393,night1,-996,-996
1653722667436,-1032115393,night1,-662,-662
1653722667436,-1032215393,night1,-669,-669
1653722667436,-1032315393,night1,-483,-483
1653722667436,-1032415393,night1,-242,-242
1653722668104,-1031515399,night1,-270,-270
1653722668104,-1031615399,night1,-22,-22
1653722668104,-1031715399,night1,-63568,-63568
1653722668104,-1031815399,night1,-63604,-63604
1653722668104,-1031915399,night1,-63761,-63761
1653722668408,-1031015332,night1,-63534,-63534
1653722668408,-1031115332,night1,-63554,-63554
1653722668408,-1031215332,night1,-63472,-63472
1653722668408,-1031315332,night1,-64724,-64724
1653722668408,-1031415332,night1,-63779,-63779
1653722668914,-1030515346,night1,-62647,-62647
1653722668914,-1030615346,night1,-61930,-61930
1653722668914,-1030715346,night1,-61931,-61931
1653722668914,-1030815346,night1,-61949,-61949
1653722668914,-1030915346,night1,-61828,-61828
1653722669389,-1030015375,night1,-61580,-61580
