localTime,remoteTime,label,eda,eda_filtered
1653726702738,-1226122095,night1,-1554,-1554
1653726702738,-1226222095,night1,-1555,-1555
1653726702738,-1226322095,night1,-1556,-1556
1653726702738,-1226422095,night1,-1557,-1557
1653726702738,-1226522095,night1,-1558,-1558
1653726703229,-1225622078,night1,-1558,-1558
1653726703229,-1225722078,night1,-1558,-1558
1653726703229,-1225822078,night1,-1559,-1559
1653726703229,-1225922078,night1,-1561,-1561
1653726703229,-1226022078,night1,-1562,-1562
1653726703722,-1225122070,night1,-1564,-1564
1653726703722,-1225222070,night1,-1565,-1565
1653726703722,-1225322070,night1,-1567,-1567
1653726703722,-1225422070,night1,-1568,-1568
1653726703722,-1225522070,night1,-1570,-1570
1653726704219,-1224622084,night1,-1570,-1570
1653726704219,-1224722084,night1,-1573,-1573
1653726704219,-1224822084,night1,-1573,-1573
1653726704219,-1224922084,night1,-1575,-1575
1653726704219,-1225022084,night1,-1576,-1576
1653726704729,-1224122068,night1,-1578,-1578
1653726704729,-1224222068,night1,-1579,-1579
1653726704729,-1224322068,night1,-1580,-1580
1653726704729,-1224422068,night1,-1581,-1581
1653726704729,-1224522068,night1,-1582,-1582
1653726705178,-1223622123,night1,-1583,-1583
1653726705178,-1223722123,night1,-1585,-1585
1653726705178,-1223822123,night1,-1586,-1586
1653726705178,-1223922123,night1,-1586,-1586
1653726705178,-1224022123,night1,-1587,-1587
1653726705676,-1223122078,night1,-1589,-1589
1653726705676,-1223222078,night1,-1590,-1590
1653726705676,-1223322078,night1,-1591,-1591
1653726705676,-1223422078,night1,-1592,-1592
1653726705676,-1223522078,night1,-1594,-1594
1653726706161,-1222622058,night1,-1595,-1595
1653726706161,-1222722058,night1,-1597,-1597
1653726706161,-1222822058,night1,-1599,-1599
1653726706161,-1222922058,night1,-1599,-1599
1653726706161,-1223022058,night1,-1601,-1601
1653726706675,-1222122081,night1,-1602,-1602
1653726706675,-1222222081,night1,-1604,-1604
1653726706675,-1222322081,night1,-1604,-1604
1653726706675,-1222422081,night1,-1606,-1606
1653726706675,-1222522081,night1,-1607,-1607
1653726707196,-1221622084,night1,-1609,-1609
1653726707196,-1221722084,night1,-1610,-1610
1653726707196,-1221822084,night1,-1610,-1610
1653726707196,-1221922084,night1,-1611,-1611
1653726707196,-1222022084,night1,-1610,-1610
1653726707634,-1221122057,night1,-1610,-1610
1653726707634,-1221222057,night1,-1609,-1609
1653726707634,-1221322057,night1,-1607,-1607
1653726707634,-1221422057,night1,-1604,-1604
1653726707634,-1221522057,night1,-1601,-1601
1653726708130,-1220622078,night1,-1596,-1596
1653726708130,-1220722078,night1,-1594,-1594
1653726708130,-1220822078,night1,-1586,-1586
1653726708130,-1220922078,night1,-1582,-1582
1653726708130,-1221022078,night1,-1574,-1574
1653726708628,-1220122075,night1,-1570,-1570
1653726708628,-1220222075,night1,-1562,-1562
1653726708628,-1220322075,night1,-1552,-1552
1653726708628,-1220422075,night1,-1547,-1547
1653726708628,-1220522075,night1,-1539,-1539
1653726709131,-1219622049,night1,-1534,-1534
1653726709131,-1219722049,night1,-1527,-1527
1653726709131,-1219822049,night1,-1523,-1523
1653726709131,-1219922049,night1,-1516,-1516
1653726709131,-1220022049,night1,-1513,-1513
1653726709601,-1219122084,night1,-1508,-1508
1653726709601,-1219222084,night1,-1505,-1505
1653726709601,-1219322084,night1,-1500,-1500
1653726709601,-1219422084,night1,-1499,-1499
1653726709601,-1219522084,night1,-1495,-1495
1653726710104,-1218622116,night1,-1493,-1493
1653726710104,-1218722116,night1,-1491,-1491
1653726710104,-1218822116,night1,-1490,-1490
1653726710104,-1218922116,night1,-1489,-1489
1653726710104,-1219022116,night1,-1488,-1488
1653726710587,-1218122084,night1,-1488,-1488
1653726710587,-1218222084,night1,-1487,-1487
1653726710587,-1218322084,night1,-1487,-1487
1653726710587,-1218422084,night1,-1487,-1487
1653726710587,-1218522084,night1,-1488,-1488
1653726711076,-1217622078,night1,-1488,-1488
1653726711076,-1217722078,night1,-1489,-1489
1653726711076,-1217822078,night1,-1490,-1490
