localTime,remoteTime,label,eda,eda_filtered
1653730512801,-1624165163,night1,-89,-89
1653730512801,-1624265163,night1,-93,-93
1653730512801,-1624365163,night1,-96,-96
1653730512801,-1624465163,night1,-98,-98
1653730512801,-1624565163,night1,-101,-101
1653730513276,-1623665203,night1,-103,-103
1653730513276,-1623765203,night1,-107,-107
1653730513276,-1623865203,night1,-108,-108
1653730513276,-1623965203,night1,-110,-110
1653730513276,-1624065203,night1,-113,-113
1653730513776,-1623165183,night1,-114,-114
1653730513776,-1623265183,night1,-119,-119
1653730513776,-1623365183,night1,-122,-122
1653730513776,-1623465183,night1,-124,-124
1653730513776,-1623565183,night1,-128,-128
1653730514248,-1622665194,night1,-130,-130
1653730514248,-1622765194,night1,-134,-134
1653730514248,-1622865194,night1,-136,-136
1653730514248,-1622965194,night1,-136,-136
1653730514248,-1623065194,night1,-138,-138
1653730514733,-1622165256,night1,-139,-139
1653730514733,-1622265256,night1,-144,-144
1653730514733,-1622365256,night1,-145,-145
1653730514733,-1622465256,night1,-146,-146
1653730514733,-1622565256,night1,-148,-148
1653730515226,-1621665203,night1,-148,-148
1653730515226,-1621765203,night1,-151,-151
1653730515226,-1621865203,night1,-152,-152
1653730515226,-1621965203,night1,-153,-153
1653730515226,-1622065203,night1,-154,-154
1653730515724,-1621165192,night1,-155,-155
1653730515724,-1621265192,night1,-159,-159
1653730515724,-1621365192,night1,-159,-159
1653730515724,-1621465192,night1,-160,-160
1653730515724,-1621565192,night1,-161,-161
1653730516195,-1620665199,night1,-161,-161
1653730516195,-1620765199,night1,-164,-164
1653730516195,-1620865199,night1,-165,-165
1653730516195,-1620965199,night1,-165,-165
1653730516195,-1621065199,night1,-166,-166
1653730516679,-1620165203,night1,-167,-167
1653730516679,-1620265203,night1,-170,-170
1653730516679,-1620365203,night1,-171,-171
1653730516679,-1620465203,night1,-175,-175
1653730516679,-1620565203,night1,-175,-175
1653730517180,-1619665215,night1,-177,-177
1653730517180,-1619765215,night1,-179,-179
1653730517180,-1619865215,night1,-179,-179
1653730517180,-1619965215,night1,-181,-181
1653730517180,-1620065215,night1,-181,-181
1653730517668,-1619165203,night1,-183,-183
1653730517668,-1619265203,night1,-185,-185
1653730517668,-1619365203,night1,-182,-182
1653730517668,-1619465203,night1,-184,-184
1653730517668,-1619565203,night1,-186,-186
1653730518180,-1618665197,night1,-187,-187
1653730518180,-1618765197,night1,-190,-190
1653730518180,-1618865197,night1,-190,-190
1653730518180,-1618965197,night1,-191,-191
1653730518180,-1619065197,night1,-193,-193
1653730518645,-1618165197,night1,-194,-194
1653730518645,-1618265197,night1,-196,-196
1653730518645,-1618365197,night1,-196,-196
1653730518645,-1618465197,night1,-197,-197
1653730518645,-1618565197,night1,-200,-200
1653730519123,-1617665254,night1,-202,-202
1653730519123,-1617765254,night1,-204,-204
1653730519123,-1617865254,night1,-203,-203
1653730519123,-1617965254,night1,-205,-205
1653730519123,-1618065254,night1,-208,-208
1653730519622,-1617165235,night1,-209,-209
1653730519622,-1617265235,night1,-211,-211
1653730519622,-1617365235,night1,-210,-210
1653730519622,-1617465235,night1,-212,-212
1653730519622,-1617565235,night1,-213,-213
1653730520127,-1616665255,night1,-213,-213
1653730520127,-1616765255,night1,-214,-214
1653730520127,-1616865255,night1,-212,-212
1653730520127,-1616965255,night1,-213,-213
1653730520127,-1617065255,night1,-212,-212
1653730520587,-1616165200,night1,-208,-208
1653730520587,-1616265200,night1,-208,-208
1653730520587,-1616365200,night1,-204,-204
1653730520587,-1616465200,night1,-203,-203
1653730520587,-1616565200,night1,-199,-199
1653730521070,-1615665203,night1,-197,-197
1653730521070,-1615765203,night1,-195,-195
1653730521070,-1615865203,night1,-192,-192
1653730521070,-1615965203,night1,-192,-192
1653730521070,-1616065203,night1,-188,-188
1653730521561,-1615165239,night1,-187,-187
1653730521561,-1615265239,night1,-187,-187
1653730521561,-1615365239,night1,-184,-184
1653730521561,-1615465239,night1,-184,-184
1653730521561,-1615565239,night1,-182,-182
1653730522075,-1614665246,night1,-182,-182
1653730522075,-1614765246,night1,-181,-181
1653730522075,-1614865246,night1,-179,-179
1653730522075,-1614965246,night1,-180,-180
1653730522075,-1615065246,night1,-179,-179
1653730522530,-1614165197,night1,-180,-180
1653730522530,-1614265197,night1,-179,-179
1653730522530,-1614365197,night1,-177,-177
1653730522530,-1614465197,night1,-179,-179
1653730522530,-1614565197,night1,-178,-178
1653730523015,-1613665186,night1,-178,-178
1653730523015,-1613765186,night1,-179,-179
1653730523015,-1613865186,night1,-178,-178
1653730523015,-1613965186,night1,-180,-180
1653730523015,-1614065186,night1,-180,-180
1653730523505,-1613165203,night1,-180,-180
1653730523505,-1613265203,night1,-180,-180
1653730523505,-1613365203,night1,-179,-179
1653730523505,-1613465203,night1,-181,-181
1653730523505,-1613565203,night1,-180,-180
1653730524018,-1612665194,night1,-180,-180
1653730524018,-1612765194,night1,-182,-182
1653730524018,-1612865194,night1,-182,-182
1653730524018,-1612965194,night1,-183,-183
1653730524018,-1613065194,night1,-183,-183
1653730524473,-1612165183,night1,-182,-182
1653730524473,-1612265183,night1,-182,-182
1653730524473,-1612365183,night1,-182,-182
1653730524473,-1612465183,night1,-183,-183
1653730524473,-1612565183,night1,-182,-182
1653730524962,-1611665203,night1,-182,-182
1653730524962,-1611765203,night1,-182,-182
1653730524962,-1611865203,night1,-184,-184
1653730524962,-1611965203,night1,-184,-184
1653730524962,-1612065203,night1,-183,-183
1653730525450,-1611165235,night1,-183,-183
1653730525450,-1611265235,night1,-184,-184
1653730525450,-1611365235,night1,-185,-185
1653730525450,-1611465235,night1,-185,-185
1653730525450,-1611565235,night1,-184,-184
1653730525973,-1610665203,night1,-185,-185
1653730525973,-1610765203,night1,-186,-186
1653730525973,-1610865203,night1,-187,-187
1653730525973,-1610965203,night1,-188,-188
1653730525973,-1611065203,night1,-188,-188
1653730526431,-1610165193,night1,-188,-188
1653730526431,-1610265193,night1,-192,-192
1653730526431,-1610365193,night1,-195,-195
1653730526431,-1610465193,night1,-193,-193
1653730526431,-1610565193,night1,-193,-193
1653730526925,-1609665203,night1,-194,-194
1653730526925,-1609765203,night1,-198,-198
1653730526925,-1609865203,night1,-198,-198
1653730526925,-1609965203,night1,-198,-198
1653730526925,-1610065203,night1,-198,-198
1653730527425,-1609165184,night1,-200,-200
1653730527425,-1609265184,night1,-204,-204
1653730527425,-1609365184,night1,-203,-203
1653730527425,-1609465184,night1,-203,-203
1653730527425,-1609565184,night1,-203,-203
1653730527912,-1608665235,night1,-204,-204
1653730527912,-1608765235,night1,-207,-207
1653730527912,-1608865235,night1,-205,-205
1653730527912,-1608965235,night1,-205,-205
1653730527912,-1609065235,night1,-204,-204
1653730528420,-1608165193,night1,-208,-208
1653730528420,-1608265193,night1,-211,-211
1653730528420,-1608365193,night1,-209,-209
1653730528420,-1608465193,night1,-209,-209
1653730528420,-1608565193,night1,-210,-210
1653730528894,-1607665197,night1,-212,-212
1653730528894,-1607765197,night1,-215,-215
1653730528894,-1607865197,night1,-214,-214
1653730528894,-1607965197,night1,-214,-214
1653730528894,-1608065197,night1,-216,-216
1653730529386,-1607165196,night1,-218,-218
