localTime,remoteTime,label,bvp,signalOK
1620713765849,138349,,1493,0
1620713765849,138370,,1673,0
1620713765849,138390,,1850,0
1620713765849,138410,,2094,0
1620713765849,138430,,2153,0
1620713765849,138450,,2320,0
1620713765849,138470,,2353,0
1620713765849,138490,,2278,0
1620713765849,138510,,2160,0
1620713765849,138530,,1939,0
1620713765849,138550,,1910,0
1620713765849,138570,,1839,0
1620713765849,138590,,1707,0
1620713765849,138610,,1599,0
1620713765849,138630,,1456,0
1620713765849,138650,,1528,0
1620713765849,138670,,1584,0
1620713765849,138690,,1535,0
1620713765849,138710,,1514,0
1620713765849,138730,,1488,0
1620713765849,138750,,1520,0
1620713765849,138770,,1520,0
1620713765849,138790,,1496,0
1620713765849,138810,,1477,0
1620713765849,138830,,1404,0
1620713766338,138851,,1463,0
1620713766338,138871,,1682,0
1620713766338,138891,,1883,0
1620713766338,138911,,2125,0
1620713766338,138931,,2212,0
1620713766338,138951,,2253,0
1620713766338,138971,,2209,0
1620713766338,138991,,2131,0
1620713766338,139011,,2032,0
1620713766338,139031,,1904,0
1620713766338,139051,,1849,0
1620713766338,139071,,1770,0
1620713766338,139091,,1694,0
1620713766338,139111,,1639,0
1620713766338,139131,,1567,0
1620713766338,139151,,1535,0
1620713766338,139171,,1679,0
1620713766338,139191,,1692,0
1620713766338,139211,,1655,0
1620713766338,139231,,1593,0
1620713766338,139251,,1593,0
1620713766338,139271,,1535,0
1620713766338,139291,,1499,0
1620713766338,139311,,1463,0
1620713766338,139331,,1456,0
1620713766837,139351,,1451,0
1620713766837,139371,,1684,0
1620713766837,139391,,1949,0
1620713766837,139411,,2225,0
1620713766837,139431,,2332,0
1620713766837,139451,,2288,0
1620713766837,139471,,2366,0
1620713766837,139491,,2315,0
1620713766837,139511,,2175,0
1620713766837,139531,,2000,0
1620713766837,139551,,1844,0
1620713766837,139571,,1751,0
1620713766837,139591,,1678,0
1620713766837,139611,,1617,0
1620713766837,139631,,1594,0
1620713766837,139651,,1582,0
1620713766837,139671,,1618,0
1620713766837,139691,,1632,0
1620713766837,139711,,1626,0
1620713766837,139731,,1602,0
1620713766837,139751,,1486,0
1620713766837,139771,,1493,0
1620713766837,139791,,1602,0
1620713766837,139811,,1628,0
1620713766837,139831,,1718,0
1620713767339,139851,,1831,0
1620713767339,139871,,2146,0
1620713767339,139891,,2427,0
1620713767339,139911,,2688,0
1620713767339,139931,,2692,0
1620713767339,139951,,2495,0
1620713767339,139971,,2309,0
1620713767339,139991,,2240,0
1620713767339,140011,,2055,0
1620713767339,140031,,1847,0
1620713767339,140051,,1669,0
1620713767339,140071,,1529,0
1620713767339,140091,,1606,0
1620713767339,140111,,1598,0
1620713767339,140131,,1564,0
1620713767339,140151,,1520,0
1620713767339,140171,,1461,0
1620713767339,140191,,1579,0
1620713767339,140211,,1586,0
1620713767339,140231,,1527,0
1620713767339,140251,,1486,0
1620713767339,140271,,1502,0
1620713767339,140291,,1655,0
1620713767339,140311,,1887,0
1620713767339,140331,,2160,0
1620713767837,140351,,2352,0
1620713767837,140371,,2608,0
1620713767837,140391,,2757,0
1620713767837,140411,,2753,0
1620713767837,140431,,2678,0
1620713767837,140451,,2384,0
1620713767837,140471,,2006,0
1620713767837,140491,,1826,0
1620713767837,140511,,1730,0
1620713767837,140531,,1578,0
1620713767837,140551,,1457,0
1620713767837,140571,,1392,0
1620713767837,140591,,1413,0
1620713767837,140611,,1430,0
1620713767837,140631,,1456,0
1620713767837,140651,,1474,0
1620713767837,140671,,1445,0
1620713767837,140691,,1492,0
1620713767837,140711,,1621,0
1620713767837,140731,,1634,0
1620713767837,140751,,1679,0
1620713767837,140771,,1772,0
1620713767837,140791,,2074,0
1620713767837,140811,,2347,0
1620713767837,140831,,2559,0
1620713768339,140851,,2626,0
1620713768339,140871,,2697,0
1620713768339,140891,,2659,0
1620713768339,140911,,2559,0
1620713768339,140931,,2314,0
1620713768339,140951,,2000,0
1620713768339,140971,,1759,0
1620713768339,140991,,1578,0
1620713768339,141011,,1473,0
1620713768339,141031,,1421,0
1620713768339,141051,,1399,0
1620713768339,141071,,1407,0
1620713768339,141091,,1381,0
1620713768339,141111,,1535,0
1620713768339,141131,,1594,0
1620713768339,141151,,1571,0
1620713768339,141171,,1520,0
1620713768339,141191,,1433,0
1620713768339,141211,,1559,0
1620713768339,141231,,1735,0
1620713768339,141251,,1915,0
1620713768339,141271,,2136,0
1620713768339,141292,,2294,0
1620713768339,141312,,2559,0
1620713768339,141332,,2717,0
1620713768839,141352,,2559,0
1620713768839,141372,,2438,0
1620713768839,141392,,2279,0
1620713768839,141412,,2164,0
1620713768839,141432,,1905,0
1620713768839,141452,,1697,0
1620713768839,141472,,1520,0
1620713768839,141492,,1376,0
1620713768839,141512,,1376,0
1620713768839,141532,,1497,0
1620713768839,141552,,1507,0
1620713768839,141572,,1493,0
1620713768839,141592,,1424,0
1620713768839,141612,,1445,0
1620713768839,141632,,1535,0
1620713768839,141652,,1531,0
1620713768839,141672,,1509,0
1620713768839,141692,,1499,0
1620713768839,141712,,1648,0
1620713768839,141732,,2021,0
1620713768839,141752,,2287,0
1620713768839,141772,,2496,0
1620713768839,141792,,2559,0
1620713768839,141812,,2550,0
1620713768839,141832,,2559,0
1620713769338,141852,,2350,0
1620713769338,141872,,2149,0
1620713769338,141892,,1985,0
1620713769338,141912,,1808,0
1620713769338,141932,,1728,0
1620713769338,141952,,1583,0
1620713769338,141972,,1431,0
1620713769338,141992,,1347,0
1620713769338,142012,,1311,0
1620713769338,142032,,1360,0
1620713769338,142052,,1382,0
1620713769338,142072,,1413,0
1620713769338,142092,,1442,0
1620713769338,142112,,1403,0
1620713769338,142132,,1521,0
1620713769338,142152,,1622,0
1620713769338,142172,,1661,0
1620713769338,142192,,1773,0
1620713769338,142212,,1907,0
1620713769338,142232,,2251,0
1620713769338,142252,,2557,0
1620713769338,142272,,2702,0
1620713769338,142292,,2672,0
1620713769338,142312,,2512,0
1620713769338,142332,,2337,0
1620713769840,142352,,2045,0
1620713769840,142372,,1889,0
1620713769840,142392,,1783,0
1620713769840,142412,,1703,0
1620713769840,142432,,1601,0
1620713769840,142452,,1605,0
1620713769840,142472,,1520,0
1620713769840,142492,,1454,0
1620713769840,142512,,1369,0
1620713769840,142532,,1363,0
1620713769840,142553,,1519,0
1620713769840,142573,,1535,0
1620713769840,142593,,1503,0
1620713769840,142613,,1442,0
1620713769840,142633,,1441,0
1620713769840,142653,,1683,0
1620713769840,142673,,1889,0
1620713769840,142693,,2142,0
1620713769840,142713,,2354,0
1620713769840,142733,,2544,0
1620713769840,142753,,2779,0
1620713769840,142773,,2761,0
1620713769840,142793,,2550,0
1620713769840,142813,,2289,0
1620713769840,142833,,2032,0
1620713770338,142853,,1729,0
1620713770338,142873,,1607,0
1620713770338,142893,,1559,0
1620713770338,142913,,1586,0
1620713770338,142933,,1437,0
1620713770338,142953,,1470,0
1620713770338,142973,,1482,0
1620713770338,142993,,1438,0
1620713770338,143013,,1399,0
1620713770338,143033,,1387,0
1620713770338,143053,,1412,0
1620713770338,143073,,1425,0
1620713770338,143093,,1455,0
1620713770338,143113,,1523,0
1620713770338,143133,,1607,0
1620713770338,143153,,1847,0
1620713770338,143173,,2259,0
1620713770338,143193,,2595,0
1620713770338,143213,,2864,0
1620713770338,143233,,2821,0
1620713770338,143253,,2686,0
1620713770338,143273,,2512,0
1620713770338,143293,,2210,0
1620713770338,143313,,1897,0
1620713770338,143333,,1598,0
1620713770842,143354,,1445,0
1620713770842,143374,,1423,0
1620713770842,143394,,1440,0
1620713770842,143414,,1520,0
1620713770842,143434,,1462,0
1620713770842,143454,,1397,0
1620713770842,143474,,1477,0
1620713770842,143494,,1446,0
1620713770842,143514,,1408,0
1620713770842,143534,,1344,0
1620713770842,143554,,1335,0
1620713770842,143574,,1490,0
1620713770842,143594,,1597,0
1620713770842,143614,,1738,0
1620713770842,143634,,1934,0
1620713770842,143654,,2169,0
1620713770842,143674,,2527,0
1620713770842,143694,,2706,0
1620713770842,143714,,2688,0
1620713770842,143734,,2521,0
1620713770842,143754,,2258,0
1620713770842,143774,,2145,0
1620713770842,143794,,1942,0
1620713770842,143814,,1717,0
1620713770842,143834,,1535,0
1620713771341,143855,,1360,0
1620713771341,143875,,1365,0
1620713771341,143895,,1418,0
1620713771341,143915,,1471,0
1620713771341,143935,,1562,0
1620713771341,143955,,1454,0
1620713771341,143975,,1445,0
1620713771341,143995,,1527,0
1620713771341,144015,,1494,0
1620713771341,144035,,1430,0
1620713771341,144055,,1330,0
1620713771341,144075,,1411,0
1620713771341,144095,,1670,0
1620713771341,144115,,1979,0
1620713771341,144135,,2328,0
1620713771341,144155,,2499,0
1620713771341,144175,,2590,0
1620713771341,144195,,2601,0
1620713771341,144215,,2487,0
1620713771341,144235,,2363,0
1620713771341,144255,,2069,0
1620713771341,144275,,1791,0
1620713771341,144295,,1675,0
1620713771341,144315,,1485,0
1620713771341,144335,,1355,0
1620713771842,144355,,1216,0
1620713771842,144375,,1259,0
1620713771842,144395,,1344,0
1620713771842,144415,,1497,0
1620713771842,144435,,1505,0
1620713771842,144455,,1436,0
1620713771842,144475,,1405,0
1620713771842,144496,,1520,0
1620713771842,144516,,1499,0
1620713771842,144536,,1446,0
1620713771842,144556,,1397,0
1620713771842,144576,,1437,0
1620713771842,144596,,1741,0
1620713771842,144616,,2031,0
1620713771842,144636,,2272,0
1620713771842,144656,,2442,0
1620713771842,144676,,2482,0
1620713771842,144696,,2599,0
1620713771842,144716,,2499,0
1620713771842,144736,,2285,0
1620713771842,144756,,2057,0
1620713771842,144776,,1743,0
1620713771842,144796,,1690,0
1620713771842,144816,,1623,0
1620713771842,144836,,1521,0
1620713772341,144856,,1387,0
1620713772341,144876,,1403,0
1620713772341,144896,,1488,0
1620713772341,144916,,1610,0
1620713772341,144936,,1574,0
1620713772341,144956,,1503,0
1620713772341,144976,,1452,0
1620713772341,144996,,1445,0
1620713772341,145016,,1434,0
1620713772341,145036,,1455,0
1620713772341,145056,,1565,0
1620713772341,145076,,1695,0
1620713772341,145096,,1998,0
1620713772341,145116,,2428,0
1620713772341,145136,,2626,0
1620713772341,145156,,2687,1
1620713772341,145176,,2550,1
1620713772341,145196,,2406,1
1620713772341,145216,,2320,1
1620713772341,145236,,2065,1
1620713772341,145256,,1798,1
1620713772341,145276,,1568,1
