localTime,remoteTime,label,eda,eda_filtered
1620715320925,1276264,,3783,3779.02
1620715320925,1276484,,3782,3778.31
1620715321417,1276704,,3763,3775.29
1620715321417,1276924,,3778,3775.99
1620715321417,1277144,,3772,3777.1
1620715321918,1277364,,3777,3775.6
1620715321918,1277584,,3791,3778.77
1620715322424,1277804,,3775,3780.03
1620715322424,1278024,,3780,3777.44
1620715322924,1278244,,3783,3779.06
1620715322924,1278465,,3775,3780.17
1620715323489,1278686,,3780,3780
1620715323489,1278907,,3789,3783.76
1620715323489,1279127,,3787,3785.08
1620715323919,1279347,,3785,3785.66
1620715323919,1279567,,3791,3787.86
1620715324426,1279788,,3792,3787.9
1620715324426,1280009,,3794,3788.99
1620715324923,1280230,,3793,3789.73
1620715324923,1280450,,3792,3789.69
1620715324923,1280670,,3792,3791.04
1620715325428,1280890,,3791,3791.27
1620715325428,1281110,,3783,3790.94
1620715325928,1281333,,3797,3792.05
1620715325928,1281553,,3792,3792.31
1620715326463,1281773,,3793,3792.58
1620715326463,1281993,,3799,3794.38
1620715326931,1282213,,3792,3794.28
1620715326931,1282434,,3799,3794.11
1620715326931,1282655,,3798,3795.69
1620715327438,1282875,,3801,3796.52
1620715327438,1283096,,3798,3797.12
1620715327933,1283317,,3806,3799.3
1620715327933,1283537,,3798,3800.02
1620715328430,1283757,,3806,3800.48
1620715328430,1283977,,3802,3802.33
1620715328933,1284197,,3801,3802.74
1620715328933,1284418,,3806,3803.3
1620715328933,1284638,,3809,3805.83
1620715329429,1284859,,3802,3806
1620715329429,1285079,,3808,3804.77
1620715329930,1285299,,3807,3806.25
1620715329930,1285519,,3806,3806.23
1620715330434,1285740,,3807,3805.92
1620715330434,1285960,,3803,3806.74
1620715330434,1286181,,3811,3807.55
1620715330936,1286401,,3811,3808.43
1620715330936,1286621,,3812,3809.95
1620715331474,1286841,,3808,3810.46
1620715331474,1287061,,3821,3811.57
1620715332138,1287281,,3815,3813.64
1620715332138,1287502,,3817,3814.25
1620715332449,1287723,,3817,3814.81
1620715332449,1287943,,3815,3816.35
1620715332449,1288163,,3820,3817.07
1620715333044,1288383,,3823,3818.28
1620715333044,1288603,,3815,3818.85
1620715333500,1288824,,3819,3819.9
1620715333500,1289044,,3824,3820.9
1620715333936,1289264,,3825,3822.3
1620715333936,1289484,,3824,3822.28
1620715334442,1289704,,3823,3823.12
1620715334442,1289924,,3824,3824.39
1620715334442,1290144,,3827,3824.8
1620715334940,1290364,,3826,3824.81
1620715334940,1290584,,3824,3826.15
1620715335451,1290804,,3824,3826.69
1620715335451,1291024,,3834,3827.49
1620715335938,1291244,,3829,3828.57
1620715335938,1291464,,3833,3830.49
1620715335938,1291686,,3831,3830.93
1620715336436,1291906,,3838,3832.36
1620715336436,1292126,,3831,3832.58
1620715336949,1292346,,3835,3833.17
1620715336949,1292566,,3838,3836.06
1620715337448,1292786,,3841,3837.3
1620715337448,1293006,,3826,3836.07
1620715337946,1293228,,3845,3838.34
1620715337946,1293448,,3839,3838.38
1620715337946,1293669,,3841,3838.67
1620715338439,1293889,,3842,3841.16
1620715338439,1294109,,3838,3840.42
1620715338943,1294329,,3837,3838.44
1620715338943,1294549,,3835,3837.24
1620715339445,1294769,,3824,3833.7
1620715339445,1294990,,3824,3829.9
