localTime,remoteTime,label,eda,eda_filtered
1620713767898,121546,,0,-255.56
1620713767898,121767,,0,-256
1620713768376,121988,,0,-256.06
1620713768376,122209,,0,-256.63
1620713768878,122429,,0,-256.94
1620713768878,122650,,0,-257.37
1620713769382,122871,,0,-257.87
1620713769382,123092,,0,-258.44
1620713769382,123313,,0,-258.94
1620713769885,123533,,0,-259.37
1620713769885,123754,,0,-259.94
1620713770384,123976,,0,-260.5
1620713770384,124197,,0,-261.12
1620713770894,124418,,0,-261.5
1620713770894,124639,,0,-261.62
1620713770894,124860,,0,-261.69
1620713771389,125081,,0,-261.5
1620713771389,125302,,0,-261.37
1620713771893,125524,,0,-261.25
1620713771893,125745,,0,-261.44
1620713772402,125966,,0,-261.37
1620713772402,126187,,0,-261.37
1620713772895,126408,,0,-261.81
1620713772895,126628,,0,-261.94
1620713772895,126849,,0,-262.12
1620713773419,127070,,0,-262.06
1620713773419,127291,,0,-262.38
1620713773901,127512,,0,-262.38
1620713773901,127733,,0,-262.69
1620713774401,127954,,0,-262.81
1620713774401,128174,,0,-263.12
1620713774904,128395,,0,-263.31
1620713774904,128616,,0,-263.56
1620713774904,128837,,0,-263.87
1620713775406,129057,,0,-263.87
1620713775406,129278,,0,-264.19
1620713775907,129499,,0,-264.19
1620713775907,129720,,0,-264.5
1620713776411,129941,,0,-264.75
1620713776411,130162,,0,-265.12
1620713776411,130383,,0,-265.37
1620713776914,130605,,0,-265.62
1620713776914,130826,,0,-265.94
1620713777415,131047,,0,-266.06
1620713777415,131268,,0,-266.44
1620713777917,131489,,0,-266.56
1620713777917,131710,,0,-266.88
1620713778422,131932,,0,-267.19
1620713778422,132153,,0,-267.5
1620713778422,132374,,0,-267.75
1620713778923,132595,,0,-268
1620713778923,132816,,0,-268.37
1620713779426,133037,,0,-268.56
1620713779426,133258,,0,-269
1620713779926,133479,,0,-269.25
1620713779926,133699,,0,-269.56
1620713780431,133921,,0,-269.87
1620713780431,134142,,0,-270.19
1620713780431,134363,,0,-270.44
1620713780931,134583,,0,-270.63
1620713780931,134804,,0,-271.13
1620713781432,135024,,0,-271.5
1620713781432,135245,,0,-272
1620713781936,135466,,0,-272.31
1620713781936,135687,,0,-272.56
1620713781936,135908,,0,-273.25
1620713782438,136130,,0,-273.31
1620713782438,136351,,0,-273.56
1620713782941,136573,,0,-273.62
1620713782941,136794,,0,-274.06
1620713783443,137015,,0,-273.5
1620713783443,137236,,0,-274.12
1620713783947,137457,,0,-274.31
1620713783947,137678,,0,-274.69
1620713783947,137899,,0,-274.69
1620713784459,138120,,0,-274.75
1620713784459,138341,,0,-275
1620713784950,138562,,0,-274.94
1620713784950,138783,,0,-274.94
1620713785461,139004,,0,-274.75
1620713785461,139225,,0,-274.5
1620713785955,139447,,0,-274.31
1620713785955,139667,,0,-273.94
1620713785955,139888,,0,-273.38
1620713786457,140108,,0,-272.5
1620713786457,140329,,0,-271.56
1620713786960,140550,,0,-270.25
1620713786960,140771,,0,-269.13
1620713787466,140992,,0,-268.19
1620713787466,141213,,0,-267.19
1620713787466,141434,,0,-266.19
1620713787968,141656,,0,-265.06
1620713787968,141877,,0,-264.25
1620713788476,142098,,0,-263.37
1620713788476,142319,,0,-262.5
1620713788969,142541,,0,-261.44
1620713788969,142762,,0,-260.06
1620713789473,142983,,0,-258.69
1620713789473,143204,,0,-257.25
1620713789473,143425,,0,-256
1620713789975,143646,,0,-254.44
1620713789975,143867,,0,-253.31
1620713790481,144088,,0,-251.94
1620713790481,144309,,0,-250.75
1620713790979,144530,,0,-249.69
1620713790979,144751,,0,-248.31
1620713774904,128395,,0,-263.31
1620713774904,128616,,0,-263.56
1620713774904,128837,,0,-263.87
1620713775406,129057,,0,-263.87
1620713775406,129278,,0,-264.19
1620713775907,129499,,0,-264.19
1620713775907,129720,,0,-264.5
1620713776411,129941,,0,-264.75
1620713776411,130162,,0,-265.12
1620713776411,130383,,0,-265.37
1620713776914,130605,,0,-265.62
1620713776914,130826,,0,-265.94
1620713777415,131047,,0,-266.06
1620713777415,131268,,0,-266.44
1620713777917,131489,,0,-266.56
1620713777917,131710,,0,-266.88
1620713778422,131932,,0,-267.19
1620713778422,132153,,0,-267.5
1620713778422,132374,,0,-267.75
1620713778923,132595,,0,-268
1620713778923,132816,,0,-268.37
1620713779426,133037,,0,-268.56
1620713779426,133258,,0,-269
1620713779926,133479,,0,-269.25
1620713779926,133699,,0,-269.56
1620713780431,133921,,0,-269.87
1620713780431,134142,,0,-270.19
1620713780431,134363,,0,-270.44
1620713780931,134583,,0,-270.63
1620713780931,134804,,0,-271.13
1620713781432,135024,,0,-271.5
1620713781432,135245,,0,-272
1620713781936,135466,,0,-272.31
1620713781936,135687,,0,-272.56
1620713781936,135908,,0,-273.25
