localTime,remoteTime,label,bvp,signalOK
1620713770913,80334,,2256,0
1620713770913,80354,,2062,0
1620713770913,80374,,2043,0
1620713770913,80394,,1936,0
1620713770913,80414,,1831,0
1620713770913,80434,,1776,0
1620713770913,80454,,1744,0
1620713770913,80474,,1913,0
1620713770913,80494,,1968,0
1620713770913,80514,,1944,0
1620713770913,80534,,1918,0
1620713770913,80554,,1868,0
1620713770913,80575,,2000,0
1620713770913,80595,,2033,0
1620713770913,80615,,1951,0
1620713770913,80635,,1883,0
1620713770913,80655,,1808,0
1620713770913,80675,,1897,0
1620713770913,80695,,1966,0
1620713770913,80715,,1899,0
1620713770913,80735,,1838,0
1620713770913,80755,,1755,0
1620713770913,80775,,1809,0
1620713770913,80796,,1927,0
1620713770913,80816,,1968,0
1620713771410,80836,,1970,0
1620713771410,80856,,1968,0
1620713771410,80876,,1921,0
1620713771410,80896,,1907,0
1620713771410,80916,,1824,0
1620713771410,80936,,1707,0
1620713771410,80956,,1614,0
1620713771410,80976,,1675,0
1620713771410,80996,,1833,0
1620713771410,81017,,1987,0
1620713771410,81037,,2133,0
1620713771410,81057,,2163,0
1620713771410,81077,,2173,0
1620713771410,81097,,2240,0
1620713771410,81117,,2258,0
1620713771410,81137,,2240,0
1620713771410,81157,,2160,0
1620713771410,81177,,2001,0
1620713771410,81197,,1998,0
1620713771410,81217,,2006,0
1620713771410,81238,,2007,0
1620713771410,81258,,2003,0
1620713771410,81278,,1870,0
1620713771410,81298,,1895,0
1620713771410,81318,,1935,0
1620713771914,81339,,1968,0
1620713771914,81359,,1993,0
1620713771914,81379,,1990,0
1620713771914,81399,,1973,0
1620713771914,81419,,1962,0
1620713771914,81439,,1838,0
1620713771914,81460,,1758,0
1620713771914,81480,,1715,0
1620713771914,81500,,1873,0
1620713771914,81520,,1886,0
1620713771914,81540,,1837,0
1620713771914,81560,,1796,0
1620713771914,81580,,1761,0
1620713771914,81600,,1915,0
1620713771914,81620,,1933,0
1620713771914,81640,,1872,0
1620713771914,81660,,1821,0
1620713771914,81681,,1771,0
1620713771914,81701,,1893,0
1620713771914,81721,,1936,0
1620713771914,81741,,1862,0
1620713771914,81761,,1808,0
1620713771914,81781,,1732,0
1620713771914,81801,,1831,0
