localTime,remoteTime,label,eda,eda_filtered
1620713774424,84051,,0,154.25
1620713774424,84272,,0,152.87
1620713774927,84494,,0,151.19
1620713774927,84714,,0,149.81
1620713775427,84935,,0,147.87
1620713775427,85156,,0,146.62
1620713775931,85377,,0,145.25
1620713775931,85598,,0,143.81
1620713775931,85819,,0,142.37
1620713776438,86040,,0,141
1620713776438,86261,,0,139.88
1620713776936,86483,,0,138.56
1620713776936,86704,,0,137.62
1620713777438,86925,,0,136.56
1620713777438,87146,,0,135.81
1620713777942,87367,,0,134.94
1620713777942,87587,,0,134.25
1620713777942,87808,,0,133.63
1620713778441,88028,,0,132.81
1620713778441,88249,,0,132.37
1620713778944,88471,,0,131.63
1620713778944,88692,,0,131.25
1620713779446,88912,,0,130.63
1620713779446,89133,,0,130.12
1620713779446,89354,,0,129.5
1620713779954,89575,,0,129
1620713779954,89796,,0,128.62
1620713780450,90017,,0,127.87
1620713780450,90238,,0,127.5
1620713780951,90459,,0,126.87
1620713780951,90680,,0,126.44
1620713781453,90901,,0,125.87
1620713781453,91122,,0,125.38
1620713781453,91343,,0,124.87
1620713781955,91564,,0,124.38
1620713781955,91784,,0,123.94
1620713782458,92005,,0,123.38
1620713782458,92226,,0,123.13
1620713782961,92447,,0,122.62
1620713782961,92668,,0,122.56
1620713783463,92889,,0,122.75
1620713783463,93110,,0,123.31
1620713783463,93331,,0,124.19
1620713783965,93551,,0,125
1620713783965,93772,,0,126
1620713784472,93993,,0,126.94
1620713784472,94214,,0,127.94
1620713784970,94435,,0,128.44
1620713784970,94656,,0,128.75
1620713784970,94877,,0,128.94
1620713785478,95098,,0,129.06
1620713785478,95319,,0,129.19
1620713785975,95541,,0,128.62
1620713785975,95762,,0,128.94
1620713786477,95983,,0,128.44
1620713786477,96204,,0,127.81
1620713786977,96425,,0,127.19
1620713786977,96646,,0,127.31
1620713786977,96867,,0,126.75
1620713787480,97088,,0,125.87
1620713787480,97308,,0,125.38
1620713787986,97529,,0,124.69
1620713787986,97750,,0,124.44
1620713788486,97971,,0,123.87
1620713788486,98192,,0,123.69
1620713788988,98414,,0,123.75
1620713788988,98635,,0,124.5
1620713788988,98856,,0,126.06
1620713789488,99076,,0,128.12
1620713789488,99297,,0,131.12
1620713789993,99518,,0,134
1620713789993,99739,,0,137
1620713790494,99960,,0,139.37
1620713790494,100181,,0,141.31
1620713790494,100402,,0,142.62
1620713791006,100623,,0,143.37
1620713791006,100844,,0,143.81
1620713791499,101065,,0,143.69
1620713791499,101286,,0,143.69
1620713791999,101507,,0,143.25
1620713791999,101728,,0,143.06
1620713792500,101949,,0,142.5
1620713792500,102170,,0,141.94
1620713792500,102391,,0,141.19
1620713793004,102612,,0,140.75
1620713793004,102833,,0,140.31
1620713793507,103054,,0,139.56
1620713793507,103275,,0,139.25
1620713794008,103496,,0,138.5
1620713794008,103717,,0,137.88
1620713794512,103938,,0,137.06
1620713794512,104159,,0,136.31
1620713794512,104379,,0,135.44
1620713795015,104599,,0,134.37
1620713795015,104820,,0,133.63
1620713795518,105042,,0,132.56
1620713795518,105263,,0,131.75
1620713796018,105485,,0,130.5
1620713796018,105705,,0,129.94
1620713796018,105926,,0,129.12
1620713796527,106148,,0,128
1620713796527,106368,,0,128.87
1620713797029,106589,,0,124.75
1620713797029,106810,,0,120.31
1620713797524,107031,,0,124.38
1620713797524,107252,,0,122.13
1620713798031,107473,,0,116.81
1620713798031,107694,,0,114.25
1620713798031,107915,,0,112.44
1620713798529,108137,,0,111.37
1620713798529,108358,,0,110.94
1620713799038,108579,,0,111.5
1620713799038,108800,,0,113.44
1620713799536,109021,,0,118.06
1620713799536,109242,,0,121.5
1620713800037,109463,,0,126.44
1620713800037,109684,,0,131.37
1620713800037,109904,,0,135.94
1620713800539,110124,,0,139.81
1620713800539,110345,,0,143.19
1620713801042,110566,,0,145.62
1620713801042,110787,,0,147.37
1620713801543,111008,,0,148.69
1620713801543,111229,,0,149.19
1620713801543,111450,,0,149.44
1620713802051,111672,,0,149.62
1620713802051,111893,,0,149.44
