localTime,remoteTime,label,eda,eda_filtered
1620713773170,73418,,0,-396
1620713773170,73639,,0,-395.5
1620713773666,73860,,0,-395.69
1620713773666,74081,,0,-395.81
1620713773666,74302,,0,-395.81
1620713774172,74522,,0,-395.63
1620713774172,74743,,0,-395.88
1620713774666,74964,,0,-395.69
1620713774666,75185,,0,-396.06
1620713775178,75406,,0,-396
1620713775178,75627,,0,-396
1620713775178,75848,,0,-396.19
1620713775710,76070,,0,-396.06
1620713775710,76291,,0,-396.25
1620713776187,76512,,0,-395.75
1620713776187,76733,,0,-396.31
1620713776677,76955,,0,-395.75
1620713776677,77176,,0,-396.25
1620713777178,77397,,0,-396.31
1620713777178,77618,,0,-396.25
1620713777178,77839,,0,-396.25
1620713777695,78060,,0,-396.12
1620713777695,78281,,0,-396.31
1620713778184,78503,,0,-395.94
1620713778184,78724,,0,-396.37
1620713778688,78945,,0,-396.31
1620713778688,79166,,0,-396.37
1620713779189,79387,,0,-396.37
1620713779189,79608,,0,-396.37
1620713779189,79829,,0,-396.37
1620713779690,80049,,0,-396.19
1620713779690,80270,,0,-396.44
1620713780192,80491,,0,-396.25
1620713780192,80712,,0,-396.5
1620713780696,80934,,0,-396.5
1620713780696,81155,,0,-396.56
1620713780696,81376,,0,-396.63
1620713781198,81598,,0,-396.63
1620713781198,81819,,0,-396.81
1620713781700,82039,,0,-396.63
1620713781700,82260,,0,-396.87
1620713782202,82481,,0,-396.75
1620713782202,82702,,0,-396.87
1620713782704,82923,,0,-396.94
1620713782704,83144,,0,-397
1620713782704,83365,,0,-397.06
1620713783206,83586,,0,-396.94
1620713783206,83807,,0,-397.06
1620713783708,84028,,0,-397.06
1620713783708,84249,,0,-397.25
1620713784209,84470,,0,-397.19
1620713784209,84691,,0,-397.31
1620713784713,84911,,0,-397.25
1620713784713,85132,,0,-397.25
1620713784713,85353,,0,-397.12
1620713785213,85573,,0,-397.12
1620713785213,85794,,0,-397.31
1620713785716,86015,,0,-397.19
1620713785716,86236,,0,-397.44
1620713786220,86458,,0,-397.56
1620713786220,86679,,0,-397.63
1620713786220,86900,,0,-397.69
1620713786723,87122,,0,-397.69
1620713786723,87343,,0,-397.81
1620713787230,87564,,0,-397.31
1620713787230,87785,,0,-397.63
1620713787726,88006,,0,-397.56
1620713787726,88227,,0,-397.69
1620713788239,88448,,0,-397.81
1620713788239,88669,,0,-397.88
1620713788239,88890,,0,-397.94
1620713788732,89111,,0,-397.88
1620713788732,89332,,0,-398.13
1620713789236,89553,,0,-398.06
1620713789236,89774,,0,-398.31
1620713789734,89995,,0,-398.31
1620713789734,90216,,0,-398.5
1620713790242,90436,,0,-398.56
1620713790242,90657,,0,-398.62
1620713790242,90878,,0,-398.69
1620713790739,91098,,0,-398.5
1620713790739,91319,,0,-398.81
1620713791241,91540,,0,-398.69
1620713791241,91761,,0,-398.87
1620713791745,91983,,0,-399
1620713791745,92204,,0,-399.06
1620713791745,92425,,0,-399.19
1620713792248,92647,,0,-399.19
1620713792248,92868,,0,-399.31
1620713792752,93089,,0,-399.19
1620713792752,93309,,0,-399.5
1620713793251,93530,,0,-399.5
1620713793251,93751,,0,-399.69
1620713793752,93972,,0,-399.75
1620713793752,94193,,0,-399.75
1620713793752,94414,,0,-399.88
1620713794260,94635,,0,-399.81
1620713794260,94856,,0,-400.06
1620713794759,95078,,0,-399.88
1620713794759,95299,,0,-400.25
1620713795260,95520,,0,-400.25
1620713795260,95741,,0,-400.44
1620713795763,95962,,0,-400.5
1620713795763,96183,,0,-400.56
1620713795763,96404,,0,-400.69
1620713796265,96624,,0,-400.5
1620713796265,96845,,0,-400.81
1620713796768,97066,,0,-400.62
1620713796768,97287,,0,-400.87
1620713797273,97508,,0,-400.56
1620713797273,97729,,0,-401
1620713797273,97950,,0,-401.06
1620713797774,98172,,0,-401
1620713797774,98393,,0,-401.19
1620713798275,98614,,0,-401
1620713798275,98835,,0,-400.94
1620713798776,99056,,0,-401.25
1620713798776,99277,,0,-401.44
1620713799279,99498,,0,-401.44
1620713799279,99719,,0,-401.44
1620713799279,99940,,0,-401.44
1620713799782,100161,,0,-401.37
1620713799782,100382,,0,-401.63
1620713800284,100603,,0,-401.44
1620713800284,100824,,0,-401.63
1620713800785,101045,,0,-401.63
1620713800785,101266,,0,-401.75
1620713801286,101487,,0,-401.81
1620713801286,101707,,0,-401.56
1620713801286,101928,,0,-401.56
1620713801789,102149,,0,-401.63
1620713801789,102370,,0,-401.94
1620713802296,102591,,0,-401.81
1620713802296,102812,,0,-402.06
1620713802796,103032,,0,-402.06
1620713802796,103253,,0,-402.13
1620713802796,103474,,0,-402.13
1620713803298,103695,,0,-402.06
1620713803298,103916,,0,-402.31
1620713803799,104138,,0,-402.25
1620713803799,104359,,0,-402.5
1620713804301,104580,,0,-402.44
1620713804301,104801,,0,-402.56
1620713804804,105023,,0,-402.56
1620713804804,105244,,0,-402.56
1620713804804,105465,,0,-402.62
1620713805308,105686,,0,-402.44
1620713805308,105907,,0,-402.62
1620713805809,106128,,0,-402.44
1620713805809,106350,,0,-402.69
1620713806313,106571,,0,-402.69
1620713806313,106792,,0,-402.75
1620713806816,107013,,0,-402.81
1620713806816,107234,,0,-402.75
1620713806816,107455,,0,-402.81
1620713807316,107675,,0,-402.56
1620713807316,107896,,0,-402.69
1620713807820,108117,,0,-402.5
1620713807820,108338,,0,-402.62
1620713808325,108559,,0,-402.62
1620713808325,108780,,0,-402.69
1620713808325,109001,,0,-402.56
1620713808823,109222,,0,-402.56
1620713808823,109443,,0,-402.75
1620713809324,109664,,0,-402.5
1620713809324,109885,,0,-402.75
1620713809830,110106,,0,-402.62
1620713809830,110327,,0,-402.81
1620713793251,93530,,0,-399.5
1620713793251,93751,,0,-399.69
1620713793752,93972,,0,-399.75
1620713793752,94193,,0,-399.75
1620713793752,94414,,0,-399.88
1620713794260,94635,,0,-399.81
1620713794260,94856,,0,-400.06
1620713794759,95078,,0,-399.88
1620713794759,95299,,0,-400.25
1620713795260,95520,,0,-400.25
1620713795260,95741,,0,-400.44
1620713795763,95962,,0,-400.5
1620713795763,96183,,0,-400.56
1620713795763,96404,,0,-400.69
1620713796265,96624,,0,-400.5
1620713796265,96845,,0,-400.81
1620713796768,97066,,0,-400.62
1620713796768,97287,,0,-400.87
1620713797273,97508,,0,-400.56
1620713797273,97729,,0,-401
1620713797273,97950,,0,-401.06
1620713797774,98172,,0,-401
1620713797774,98393,,0,-401.19
1620713798275,98614,,0,-401
1620713798275,98835,,0,-400.94
