localTime,remoteTime,label,bvp,signalOK
1620713838149,105706,,2155,1
1620713838149,105726,,2409,1
1620713838149,105746,,2538,1
1620713838149,105766,,2471,1
1620713838149,105786,,2331,1
1620713838149,105806,,2181,1
1620713838149,105827,,2011,1
1620713838149,105847,,1923,1
1620713838149,105867,,1827,1
1620713838149,105887,,1744,1
1620713838149,105907,,1697,1
1620713838149,105927,,1682,1
1620713838149,105947,,1717,1
1620713838149,105967,,1755,1
1620713838149,105987,,1787,1
1620713838149,106007,,1810,1
1620713838149,106027,,1825,1
1620713838149,106048,,1852,1
1620713838149,106068,,1843,1
1620713838149,106088,,1808,1
1620713838149,106108,,1771,1
1620713838149,106128,,1744,1
1620713838149,106148,,1734,1
1620713838149,106168,,1726,1
1620713838653,106188,,1698,1
1620713838653,106208,,1781,1
1620713838653,106228,,1874,1
1620713838653,106248,,1904,1
1620713838653,106269,,1985,1
1620713838653,106289,,2098,1
1620713838653,106309,,2224,1
1620713838653,106329,,2309,1
1620713838653,106349,,2332,1
1620713838653,106369,,2306,1
1620713838653,106389,,2199,1
1620713838653,106409,,2070,1
1620713838653,106429,,1939,1
1620713838653,106449,,1815,1
1620713838653,106469,,1789,1
1620713838653,106490,,1729,1
1620713838653,106510,,1703,1
1620713838653,106530,,1712,1
1620713838653,106550,,1731,1
1620713838653,106570,,1826,1
1620713838653,106590,,1849,1
1620713838653,106610,,1855,1
1620713838653,106630,,1834,1
1620713838653,106650,,1783,1
1620713838653,106671,,1833,1
1620713839155,106692,,1808,1
1620713839155,106713,,1858,1
1620713839155,106733,,1897,1
1620713839155,106753,,1765,1
1620713839155,106773,,1691,1
1620713839155,106793,,1597,1
1620713839155,106813,,1593,1
1620713839155,106833,,1706,1
1620713839155,106853,,1882,1
1620713839155,106873,,2170,1
1620713839155,106893,,2331,1
1620713839155,106913,,2399,1
1620713839155,106934,,2366,1
1620713839155,106954,,2256,1
1620713839155,106974,,2160,1
1620713839155,106994,,2015,1
1620713839155,107014,,1876,1
1620713839155,107034,,1773,1
1620713839155,107054,,1712,1
1620713839155,107074,,1713,1
1620713839155,107094,,1745,1
1620713839155,107114,,1763,1
1620713839155,107134,,1798,1
1620713839155,107155,,1824,1
1620713839155,107175,,1855,1
1620713839656,107195,,1878,1
1620713839656,107215,,1957,1
1620713839656,107235,,2006,1
1620713839656,107255,,1913,1
1620713839656,107275,,1773,1
1620713839656,107295,,1663,1
1620713839656,107315,,1584,1
1620713839656,107335,,1558,1
1620713839656,107355,,1564,1
1620713839656,107376,,1630,1
1620713839656,107396,,1785,1
1620713839656,107416,,1982,1
1620713839656,107436,,2190,1
1620713839656,107456,,2362,1
1620713839656,107476,,2421,1
1620713839656,107496,,2451,1
1620713839656,107516,,2325,1
1620713839656,107536,,2173,1
1620713839656,107556,,2011,1
1620713839656,107576,,1853,1
1620713839656,107597,,1789,1
1620713839656,107617,,1722,1
1620713839656,107637,,1693,1
1620713839656,107657,,1702,1
1620713839656,107677,,1713,1
1620713840158,107698,,1835,1
1620713840158,107718,,1967,1
1620713840158,107738,,2077,1
1620713840158,107758,,1999,1
1620713840158,107778,,1839,1
1620713840158,107798,,1782,1
1620713840158,107819,,1686,1
1620713840158,107839,,1638,1
1620713840158,107859,,1626,1
1620713840158,107879,,1610,1
1620713840158,107899,,1680,1
1620713840158,107919,,1709,1
1620713840158,107939,,1786,1
1620713840158,107959,,1919,1
1620713840158,107979,,2080,1
1620713840158,107999,,2303,1
1620713840158,108019,,2409,1
1620713840158,108040,,2414,1
1620713840158,108060,,2342,1
1620713840158,108080,,2206,1
1620713840158,108100,,2102,1
1620713840158,108120,,1953,1
1620713840158,108140,,1833,1
1620713840158,108160,,1740,1
1620713840158,108180,,1696,1
1620713840672,108200,,1703,1
1620713840672,108220,,1841,1
1620713840672,108240,,1977,1
1620713840672,108261,,1969,1
1620713840672,108281,,1882,1
1620713840672,108301,,1910,1
1620713840672,108321,,1943,1
1620713840672,108341,,1845,1
1620713840672,108361,,1712,1
1620713840672,108381,,1626,1
1620713840672,108401,,1599,1
1620713840672,108421,,1605,1
1620713840672,108441,,1607,1
1620713840672,108461,,1632,1
1620713840672,108482,,1707,1
1620713840672,108502,,1872,1
1620713840672,108522,,2095,1
1620713840672,108542,,2269,1
1620713840672,108562,,2403,1
1620713840672,108582,,2445,1
1620713840672,108602,,2397,1
1620713840672,108622,,2316,1
1620713840672,108642,,2166,1
1620713840672,108662,,2022,1
1620713840672,108682,,1893,1
1620713841165,108702,,1795,1
1620713841165,108722,,1858,1
1620713841165,108742,,1889,1
1620713841165,108762,,1911,1
1620713841165,108782,,1808,1
1620713841165,108802,,1712,1
1620713841165,108822,,1753,1
1620713841165,108842,,1750,1
1620713841165,108862,,1739,1
1620713841165,108882,,1744,1
1620713841165,108902,,1717,1
1620713841165,108923,,1770,1
1620713841165,108943,,1746,1
1620713841165,108963,,1727,1
1620713841165,108983,,1701,1
1620713841165,109003,,1682,1
1620713841165,109023,,1727,1
1620713841165,109043,,1765,1
1620713841165,109063,,1869,1
1620713841165,109083,,2036,1
1620713841165,109103,,2224,1
1620713841165,109123,,2404,1
1620713841165,109144,,2471,1
1620713841165,109164,,2428,1
1620713841165,109184,,2320,1
1620713841674,109204,,2192,1
1620713841674,109224,,2156,1
1620713841674,109244,,2128,1
1620713841674,109264,,1973,1
1620713841674,109284,,1797,1
1620713841674,109304,,1678,1
1620713841674,109324,,1641,1
1620713841674,109344,,1655,1
1620713841674,109365,,1683,1
1620713841674,109385,,1737,1
1620713841674,109405,,1776,1
1620713841674,109425,,1823,1
1620713841674,109445,,1849,1
1620713841674,109465,,1821,1
1620713841674,109485,,1785,1
1620713841674,109505,,1746,1
1620713841674,109525,,1719,1
1620713841674,109545,,1717,1
1620713841674,109565,,1690,1
1620713841674,109586,,1673,1
1620713841674,109606,,1687,1
1620713841674,109626,,1782,1
1620713841674,109646,,1975,1
1620713841674,109666,,2173,1
1620713841674,109686,,2336,1
1620713842173,109706,,2426,1
1620713842173,109726,,2533,1
1620713842173,109746,,2529,1
1620713842173,109766,,2373,1
1620713842173,109786,,2116,1
1620713842173,109807,,1901,1
1620713842173,109827,,1713,1
1620713842173,109847,,1675,1
1620713842173,109867,,1631,1
1620713842173,109887,,1633,1
1620713842173,109907,,1669,1
1620713842173,109927,,1691,1
1620713842173,109947,,1808,1
1620713842173,109967,,1841,1
1620713842173,109987,,1851,1
1620713842173,110007,,1847,1
1620713842173,110028,,1799,1
1620713842173,110048,,1823,1
1620713842173,110068,,1788,1
1620713842173,110088,,1744,1
1620713842173,110108,,1707,1
1620713842173,110128,,1664,1
1620713842173,110148,,1698,1
1620713842173,110168,,1707,1
1620713842173,110188,,1732,1
1620713842674,110208,,1819,1
1620713842674,110228,,2099,1
1620713842674,110249,,2375,1
1620713842674,110269,,2525,1
1620713842674,110289,,2451,1
1620713842674,110309,,2314,1
1620713842674,110329,,2158,1
1620713842674,110349,,2032,1
1620713842674,110369,,1909,1
1620713842674,110389,,1799,1
1620713842674,110409,,1728,1
1620713842674,110429,,1702,1
1620713842674,110449,,1719,1
1620713842674,110470,,1765,1
1620713842674,110490,,1802,1
1620713842674,110510,,1829,1
1620713842674,110530,,1848,1
1620713842674,110550,,1863,1
1620713842674,110570,,1885,1
1620713842674,110590,,1856,1
1620713842674,110610,,1811,1
1620713842674,110630,,1776,1
1620713842674,110650,,1740,1
1620713842674,110670,,1735,1
1620713842674,110691,,1703,1
1620713843176,110712,,1723,1
1620713843176,110732,,1843,1
1620713843176,110752,,1977,1
1620713843176,110772,,2081,1
1620713843176,110792,,2139,1
1620713843176,110812,,2201,1
1620713843176,110832,,2240,1
1620713843176,110852,,2202,1
1620713843176,110872,,2224,1
1620713843176,110892,,2131,1
1620713843176,110913,,2002,1
1620713843176,110933,,1887,1
1620713843176,110953,,1769,1
1620713843176,110973,,1761,1
1620713843176,110993,,1723,1
1620713843176,111013,,1710,1
1620713843176,111033,,1723,1
1620713843176,111053,,1728,1
1620713843176,111073,,1821,1
1620713843176,111093,,1839,1
1620713843176,111113,,1834,1
1620713843176,111134,,1815,1
1620713843176,111154,,1759,1
1620713843176,111174,,1789,1
1620713843176,111194,,1755,1
1620713843705,111214,,1715,1
1620713843705,111234,,1803,1
1620713843705,111254,,1873,1
1620713843705,111274,,1874,1
1620713843705,111294,,1782,1
1620713843705,111314,,1779,1
1620713843705,111334,,1894,1
1620713843705,111355,,2059,1
1620713843705,111375,,2238,1
1620713843705,111395,,2310,0
1620713843705,111415,,2287,0
1620713843705,111435,,2207,0
1620713843705,111455,,2105,0
1620713843705,111475,,2018,0
1620713843705,111495,,1922,0
1620713843705,111515,,1815,0
1620713843705,111535,,1744,0
1620713843705,111555,,1709,0
1620713843705,111576,,1719,0
1620713843705,111596,,1757,0
1620713843705,111616,,1778,0
1620713843705,111636,,1797,0
1620713843705,111656,,1803,0
1620713843705,111676,,1808,0
1620713843705,111696,,1813,0
1620713844189,111716,,1777,0
1620713844189,111736,,1845,0
1620713844189,111756,,1903,0
1620713844189,111776,,1838,0
1620713844189,111797,,1729,0
1620713844189,111817,,1618,0
1620713844189,111837,,1582,0
1620713844189,111857,,1610,0
1620713844189,111877,,1740,0
1620713844189,111897,,1966,0
1620713844189,111917,,2148,0
1620713844189,111937,,2271,0
1620713844189,111957,,2318,0
1620713844189,111977,,2262,0
1620713844189,111997,,2224,0
1620713844189,112018,,2111,0
1620713844189,112038,,1971,0
1620713844189,112058,,1874,0
1620713844189,112078,,1780,0
1620713844189,112098,,1799,0
1620713844189,112118,,1753,0
1620713844189,112138,,1713,0
1620713844189,112158,,1710,0
1620713844189,112178,,1707,0
1620713844189,112198,,1783,0
1620713844692,112218,,1803,0
1620713844692,112239,,1907,0
1620713844692,112259,,1968,0
