localTime,remoteTime,label,eda,eda_filtered
1620713772809,40523,,0,-197.06
1620713772809,40745,,0,-196.75
1620713773318,40966,,0,-196.44
1620713773318,41186,,0,-196.87
1620713773843,41407,,0,-197.5
1620713773843,41628,,0,-198.19
1620713774318,41850,,0,-199.31
1620713774318,42071,,0,-200.44
1620713774318,42292,,0,-201.31
1620713774840,42512,,0,-202.25
1620713774840,42733,,0,-203.5
1620713775332,42955,,0,-204.5
1620713775332,43176,,0,-205.75
1620713775825,43397,,0,-206.87
1620713775825,43618,,0,-207.81
1620713775825,43839,,0,-208.63
1620713776326,44061,,0,-209.37
1620713776326,44282,,0,-210.25
1620713776830,44504,,0,-210.75
1620713776830,44725,,0,-211.56
1620713777342,44947,,0,-212.06
1620713777342,45168,,0,-212.81
1620713777844,45389,,0,-213.19
1620713777844,45610,,0,-214.06
1620713777844,45831,,0,-214.75
1620713778338,46053,,0,-215.37
1620713778338,46274,,0,-216.19
1620713778859,46495,,0,-216.75
1620713778859,46715,,0,-217.5
1620713779381,46937,,0,-218
1620713779381,47158,,0,-218.69
1620713779891,47379,,0,-219.13
1620713779891,47600,,0,-219.56
1620713779891,47821,,0,-220.44
1620713780344,48041,,0,-220.75
1620713780344,48262,,0,-221.62
1620713780847,48484,,0,-222.06
1620713780847,48705,,0,-222.81
1620713781349,48926,,0,-223.5
1620713781349,49147,,0,-224.12
1620713781349,49368,,0,-224.75
1620713781852,49589,,0,-225.38
1620713781852,49810,,0,-225.94
1620713782352,50031,,0,-226.25
1620713782352,50252,,0,-226.5
1620713782854,50473,,0,-226.25
1620713782854,50694,,0,-226.25
1620713783356,50914,,0,-226.25
1620713783356,51135,,0,-226.37
1620713783356,51356,,0,-226.44
1620713783860,51578,,0,-226.37
1620713783860,51799,,0,-226.44
1620713784363,52020,,0,-225.38
1620713784363,52241,,0,-223.81
1620713784863,52463,,0,-219.94
1620713784863,52684,,0,-210.69
1620713785368,52905,,0,-196.87
1620713785368,53126,,0,-180.25
1620713785368,53347,,0,-165.94
1620713785868,53567,,0,-154.94
1620713785868,53787,,0,-147.87
1620713786372,54009,,0,-145.25
1620713786372,54230,,0,-145.06
1620713786876,54452,,0,-146.25
1620713786876,54673,,0,-148.5
1620713786876,54894,,0,-152.69
1620713787377,55116,,0,-155.12
1620713787377,55337,,0,-157.31
1620713787893,55559,,0,-157.12
1620713787893,55780,,0,-155.06
1620713788382,56001,,0,-153.25
1620713788382,56222,,0,-153
1620713788889,56444,,0,-153
1620713788889,56665,,0,-154.19
1620713788889,56886,,0,-156
1620713789396,57107,,0,-158.44
1620713789396,57328,,0,-161.56
1620713789899,57550,,0,-165
1620713789899,57771,,0,-168.5
1620713790404,57992,,0,-171.44
1620713790404,58213,,0,-174.19
1620713790937,58434,,0,-176.69
1620713790937,58655,,0,-179.06
1620713790937,58876,,0,-180.94
1620713834127,101785,,0,-240.5
1620713834127,102006,,0,-241.31
1620713834634,102228,,0,-242
1620713834634,102449,,0,-242.69
1620713835136,102670,,0,-243.63
1620713835136,102891,,0,-244.37
1620713835136,103112,,0,-245.12
1620713835634,103332,,0,-245.81
1620713835634,103553,,0,-246.69
1620713836137,103775,,0,-247.31
1620713836137,103996,,0,-248.19
1620713836672,104217,,0,-249
1620713836672,104438,,0,-249.69
1620713836672,104659,,0,-250.44
1620713837143,104881,,0,-251.12
1620713837143,105102,,0,-251.88
1620713837645,105323,,0,-252.56
1620713837645,105544,,0,-253.31
1620713838149,105766,,0,-254.06
1620713838149,105987,,0,-254.94
1620713838653,106208,,0,-255.62
1620713838653,106429,,0,-256.44
1620713838653,106650,,0,-257.12
1620713839155,106873,,0,-257.69
1620713839155,107094,,0,-258.5
1620713839656,107315,,0,-258.94
1620713839656,107536,,0,-259.69
1620713840158,107758,,0,-260.31
1620713840158,107979,,0,-260.94
1620713840672,108200,,0,-261.5
1620713840672,108421,,0,-261.37
1620713840672,108642,,0,-260.81
1620713841165,108862,,0,-259.37
1620713841165,109083,,0,-258.13
1620713841674,109304,,0,-256.94
1620713841674,109525,,0,-256.19
1620713842173,109746,,0,-255.69
1620713842173,109967,,0,-255.5
1620713842173,110188,,0,-255.56
1620713842674,110409,,0,-255.69
1620713842674,110630,,0,-256.5
1620713843176,110852,,0,-257.19
1620713843176,111073,,0,-258.38
1620713843705,111294,,0,-259.31
1620713843705,111515,,0,-260.38
1620713844189,111736,,0,-261.31
1620713844189,111957,,0,-262.19
1620713844189,112178,,0,-263
1620713844692,112399,,0,-263.5
1620713844692,112620,,0,-264.06
1620713845184,112842,,0,-264.31
1620713845184,113063,,0,-264.88
1620713845692,113284,,0,-265.25
1620713845692,113505,,0,-265.69
1620713846188,113727,,0,-266.19
1620713846188,113948,,0,-266.63
1620713846188,114169,,0,-266.94
1620713846699,114389,,0,-267.56
1620713846699,114610,,0,-268.31
1620713847194,114832,,0,-268.81
1620713847194,115053,,0,-269.5
1620713847700,115275,,0,-270.06
1620713847700,115496,,0,-270.63
1620713847700,115717,,0,-271.19
1620713848223,115939,,0,-271.56
1620713848223,116160,,0,-272.12
1620713848711,116382,,0,-272.44
1620713848711,116603,,0,-273.06
1620713849212,116824,,0,-273.5
1620713849212,117045,,0,-274.06
1620713849706,117266,,0,-274.56
1620713849706,117487,,0,-274.88
1620713849706,117708,,0,-275.62
1620713850214,117930,,0,-276
1620713850214,118151,,0,-276.56
1620713850713,118372,,0,-276.88
1620713850713,118593,,0,-277.44
1620713851218,118814,,0,-277.81
1620713851218,119035,,0,-278.25
1620713851730,119258,,0,-278.69
1620713851730,119479,,0,-279.13
1620713851730,119700,,0,-279.5
1620713852225,119920,,0,-279.63
1620713852225,120141,,0,-280.06
1620713852731,120363,,0,-280.19
1620713852731,120584,,0,-280.62
1620713853232,120805,,0,-280.94
1620713853232,121026,,0,-281.31
1620713853232,121247,,0,-281.75
1620713853739,121469,,0,-282.12
1620713853739,121690,,0,-282.62
1620713854241,121912,,0,-282.94
1620713854241,122133,,0,-283.5
1620713854740,122354,,0,-283.81
1620713854740,122575,,0,-284.25
1620713855242,122796,,0,-284.69
1620713855242,123017,,0,-285.06
1620713855242,123238,,0,-285.44
1620713855797,123460,,0,-285.63
1620713855797,123681,,0,-286
1620713856244,123902,,0,-286.12
1620713856244,124123,,0,-286.56
1620713856754,124344,,0,-286.87
1620713856754,124565,,0,-287.31
1620713857255,124787,,0,-287.69
1620713857255,125008,,0,-288
1620713857255,125229,,0,-288.44
1620713857758,125449,,0,-288.62
1620713857758,125670,,0,-289.19
1620713858255,125892,,0,-289.44
1620713858255,126113,,0,-289.94
1620713858763,126334,,0,-290.38
1620713858763,126555,,0,-290.75
1620713858763,126776,,0,-291.19
1620713859264,126998,,0,-291.44
1620713859264,127219,,0,-291.56
1620713859763,127440,,0,-290.62
1620713859763,127661,,0,-288.81
1620713860306,127883,,0,-285.94
