localTime,remoteTime,label,bvp,signalOK
1622094380604,312684,,1622,1
1622094380604,312704,,1728,1
1622094380604,312725,,1847,1
1622094380604,312745,,1920,1
1622094380604,312765,,1822,1
1622094380604,312786,,1747,1
1622094380604,312807,,1648,1
1622094380604,312828,,1574,1
1622094380604,312849,,1525,1
1622094380604,312870,,1495,1
1622094380604,312891,,1513,1
1622094380604,312912,,1502,1
1622094380604,312933,,1501,1
1622094380604,312954,,1571,1
1622094380604,312974,,1739,1
1622094380604,312995,,2007,1
1622094380604,313016,,2300,1
1622094380604,313037,,2528,1
1622094380604,313058,,2667,1
1622094380604,313078,,2703,1
1622094380604,313099,,2673,1
1622094380604,313120,,2553,1
1622094380604,313141,,2412,1
1622094380604,313162,,2242,0
1622094380604,313182,,2140,0
1622094381001,313202,,1926,0
1622094381001,313222,,2030,0
1622094381001,313243,,2055,0
1622094381001,313264,,2099,0
1622094381001,313285,,2023,0
1622094381001,313306,,1903,0
1622094381001,313327,,1783,0
1622094381001,313348,,1699,0
1622094381001,313369,,1673,0
1622094381001,313390,,1847,0
1622094381001,313411,,1798,0
1622094381001,313431,,1535,0
1622094381001,313452,,1280,0
1622094381001,313473,,1200,0
1622094381001,313493,,1392,0
1622094381001,313514,,1600,0
1622094381001,313534,,1744,0
1622094381001,313555,,1799,0
1622094381001,313576,,1808,0
1622094381001,313596,,1994,0
1622094381001,313617,,2258,0
1622094381001,313638,,2554,0
1622094381001,313658,,2787,0
1622094381001,313678,,2849,0
1622094381001,313698,,2871,0
1622094381276,313719,,2693,0
1622094381276,313739,,2602,0
1622094381276,313760,,2510,0
1622094381276,313781,,2429,0
1622094381276,313801,,2318,0
1622094381276,313822,,2126,0
1622094381276,313843,,1936,0
1622094381276,313864,,1792,0
1622094381276,313884,,1677,0
1622094381276,313905,,1698,0
1622094381276,313926,,1692,0
1622094381276,313947,,1680,0
1622094381276,313968,,1678,0
1622094381276,313989,,1635,0
1622094381276,314010,,1675,0
1622094381276,314031,,1666,0
1622094381276,314052,,1649,0
1622094381276,314073,,1618,0
1622094381276,314094,,1587,0
1622094381276,314114,,1621,0
1622094381276,314135,,1616,0
1622094381276,314156,,1595,0
1622094381276,314177,,1566,0
1622094381276,314198,,1553,0
1622094381276,314219,,1668,0
1622094381405,314240,,1811,0
1622094381405,314260,,2160,0
1622094381405,314281,,2479,0
1622094381405,314301,,2752,0
1622094381405,314321,,2813,0
1622094381405,314341,,2709,0
1622094381405,314362,,2559,0
1622094381405,314383,,2424,0
1622094381405,314404,,2285,0
1622094381405,314425,,2192,0
1622094381405,314446,,2064,0
1622094381405,314467,,1938,0
1622094381405,314488,,1831,0
1622094381405,314509,,1759,0
1622094381405,314530,,1758,0
1622094381405,314551,,1745,0
1622094381405,314571,,1739,0
1622094381405,314591,,1744,0
1622094381405,314611,,1743,0
1622094381405,314632,,1766,0
1622094381405,314653,,1760,0
1622094381405,314674,,1749,0
1622094381405,314695,,1742,0
1622094381405,314716,,1737,0
1622094381405,314737,,1733,0
1622094381616,314758,,1646,0
1622094381616,314778,,1702,0
1622094381616,314798,,1777,0
1622094381616,314818,,1887,0
1622094381616,314839,,2057,0
1622094381616,314860,,2320,0
1622094381616,314881,,2521,0
1622094381616,314901,,2604,0
1622094381616,314921,,2628,0
1622094381616,314942,,2642,0
1622094381616,314963,,2634,0
1622094381616,314983,,2559,0
1622094381616,315004,,2463,0
1622094381616,315024,,2342,0
1622094381616,315044,,2205,0
1622094381616,315065,,2039,0
1622094381616,315086,,1882,0
1622094381616,315107,,1773,0
1622094381616,315127,,1627,0
1622094381616,315148,,1677,0
1622094381616,315169,,1755,0
1622094381616,315190,,1810,0
1622094381616,315211,,1840,0
1622094381616,315231,,1879,0
1622094381616,315251,,1759,0
1622094381637,315271,,1557,0
1622094381637,315291,,1511,0
1622094381637,315312,,1552,0
1622094381637,315333,,1601,0
1622094381637,315354,,1535,0
1622094381637,315375,,1453,0
1622094381637,315396,,1407,0
1622094381637,315417,,1389,0
1622094381637,315438,,1423,0
1622094381637,315459,,1455,0
1622094381637,315479,,1525,0
1622094381637,315499,,1689,0
1622094381637,315520,,1923,0
1622094381637,315541,,2275,0
1622094381637,315562,,2543,0
1622094381637,315582,,2719,0
1622094381637,315602,,2773,0
1622094381637,315623,,2707,0
1622094381637,315644,,2658,0
1622094381637,315665,,2528,0
1622094381637,315686,,2389,0
1622094381637,315706,,2251,0
1622094381637,315727,,2059,0
1622094381637,315747,,1988,0
1622094381637,315768,,1899,0
1622094381654,315789,,1766,0
1622094381654,315809,,1810,0
1622094381654,315830,,1900,0
1622094381654,315851,,1974,0
1622094381654,315872,,1893,0
1622094381654,315893,,1786,0
1622094381654,315914,,1699,1
1622094381654,315934,,1621,1
1622094381654,315955,,1653,1
1622094381654,315976,,1645,1
1622094381654,315997,,1631,1
1622094381654,316018,,1621,1
1622094381654,316039,,1602,1
1622094381654,316060,,1653,1
1622094381654,316081,,1655,1
1622094381654,316102,,1635,1
1622094381654,316123,,1632,1
1622094381654,316144,,1689,1
1622094381654,316164,,1901,1
1622094381654,316185,,2145,1
1622094381654,316206,,2401,1
1622094381654,316227,,2602,1
1622094381654,316247,,2685,1
1622094381654,316267,,2720,1
1622094381654,316288,,2643,1
1622094381670,316309,,2461,1
1622094381670,316329,,2394,1
1622094381670,316350,,2371,1
1622094381670,316371,,2320,1
1622094381670,316391,,2139,1
1622094381670,316411,,1979,1
1622094381670,316432,,1887,1
1622094381670,316453,,1858,1
1622094381670,316474,,1949,1
1622094381670,316495,,2060,1
1622094381670,316516,,2123,1
1622094381670,316537,,2096,1
1622094381670,316557,,2028,1
1622094381670,316578,,2054,1
1622094381670,316599,,2112,1
1622094381670,316619,,2155,1
1622094381670,316639,,2135,1
1622094381670,316659,,2064,1
1622094381670,316680,,1979,1
1622094381670,316701,,1839,1
1622094381670,316722,,1691,1
1622094381670,316743,,1579,1
1622094381670,316764,,1552,1
1622094381670,316785,,1653,1
1622094381670,316806,,1825,1
1622094381674,316827,,1984,1
1622094381674,316847,,2245,1
1622094381674,316867,,2519,1
1622094381674,316887,,2653,1
1622094381674,316907,,2559,1
1622094381674,316928,,2413,1
1622094381674,316949,,2224,1
1622094381674,316969,,2064,1
1622094381674,316990,,1939,1
1622094381674,317011,,1841,1
1622094381674,317032,,1787,1
1622094381674,317053,,1786,1
1622094381674,317073,,1840,1
1622094381674,317094,,1903,1
1622094381674,317115,,1936,1
1622094381674,317136,,1962,1
1622094381674,317157,,1957,1
1622094381674,317177,,1966,1
1622094381674,317198,,1936,1
1622094381674,317219,,1871,1
1622094381674,317240,,1809,1
1622094381674,317261,,1719,1
1622094381674,317281,,1724,1
1622094381674,317301,,1703,1
1622094381674,317322,,1686,1
1622094381687,317343,,1656,1
1622094381687,317363,,1834,1
1622094381687,317384,,2143,1
1622094381687,317405,,2464,1
1622094381687,317425,,2624,1
1622094381687,317445,,2702,1
1622094381687,317466,,2679,1
1622094381687,317486,,2624,1
1622094381687,317507,,2613,1
1622094381687,317527,,2586,1
1622094381687,317548,,2451,1
1622094381687,317569,,2165,1
1622094381687,317590,,1930,1
1622094381687,317611,,1868,1
1622094381687,317632,,1919,1
1622094381687,317653,,1921,1
1622094381687,317674,,1834,1
1622094381687,317694,,1808,1
1622094381687,317715,,1881,1
1622094381687,317736,,1987,1
1622094381687,317756,,1977,1
1622094381687,317777,,1834,1
1622094381687,317798,,1764,1
1622094381687,317819,,1684,1
1622094381687,317840,,1631,1
1622094381694,317860,,1535,1
1622094381694,317880,,1615,1
1622094381694,317901,,1773,1
1622094381694,317922,,2014,1
1622094381694,317943,,2176,1
1622094381694,317964,,2352,1
1622094381694,317984,,2481,1
1622094381694,318004,,2638,1
1622094381694,318024,,2653,1
1622094381694,318045,,2591,1
1622094381694,318066,,2468,1
1622094381694,318087,,2310,1
1622094381694,318108,,2211,1
1622094381694,318129,,2073,1
1622094381694,318150,,1952,1
1622094381694,318171,,1861,1
1622094381694,318192,,1801,1
1622094381694,318212,,1822,1
1622094381694,318233,,1823,1
1622094381694,318254,,1819,1
1622094381694,318275,,1808,1
1622094381694,318296,,1745,1
1622094381694,318317,,1821,1
1622094381694,318338,,1905,1
1622094381694,318359,,1994,1
1622094381705,318380,,1823,1
1622094381705,318400,,1744,1
1622094381705,318421,,1731,1
1622094381705,318441,,1719,1
1622094381705,318462,,1616,1
1622094381705,318483,,1535,1
1622094381705,318504,,1533,1
1622094381705,318525,,1807,1
1622094381705,318546,,2147,1
1622094381705,318567,,2539,1
1622094381705,318587,,2725,1
1622094381705,318608,,2755,1
1622094381705,318629,,2879,1
1622094381705,318650,,2897,1
1622094381705,318670,,2855,1
1622094381705,318690,,2614,1
1622094381705,318710,,2271,1
1622094381705,318731,,2000,1
1622094381705,318752,,1792,1
1622094381705,318773,,1675,1
1622094381705,318794,,1623,1
1622094381705,318815,,1658,1
1622094381705,318836,,1698,1
1622094381705,318857,,1697,1
1622094381705,318878,,1673,1
1622094381741,319416,,2000,1
1622094381741,319436,,1895,1
1622094381741,319457,,1833,1
1622094381741,319478,,1849,1
1622094381741,319499,,1787,1
1622094381741,319520,,1680,1
1622094381741,319541,,1701,1
1622094381741,319562,,1717,1
1622094381741,319582,,1743,1
1622094381741,319602,,1745,1
1622094381741,319623,,1715,1
1622094381741,319644,,1747,1
1622094381741,319665,,1727,1
1622094381741,319686,,1680,1
1622094381741,319707,,1628,1
1622094381741,319728,,1561,1
1622094381741,319749,,1535,1
1622094381741,319770,,1503,1
1622094381741,319791,,1483,1
1622094381741,319811,,1490,1
1622094381741,319832,,1499,1
1622094381741,319853,,1562,1
1622094381741,319874,,1605,1
1622094381741,319895,,1648,1
1622094381741,319916,,1694,1
1622094381771,320453,,1677,0
1622094381771,320473,,1687,0
1622094381771,320493,,1719,0
1622094381771,320514,,1795,0
1622094381771,320535,,1712,0
1622094381771,320555,,1573,0
1622094381771,320576,,1581,0
1622094381771,320597,,1616,0
1622094381771,320617,,1706,0
1622094381771,320638,,1646,0
1622094381771,320659,,1600,0
1622094381771,320680,,1571,0
1622094381771,320701,,1535,0
1622094381771,320721,,1535,0
1622094381771,320741,,1573,0
1622094381771,320761,,1698,0
1622094381771,320781,,1867,0
1622094381771,320802,,2033,0
1622094381771,320823,,2192,0
1622094381771,320844,,2286,0
1622094381771,320864,,2304,0
1622094381771,320885,,2402,0
1622094381771,320906,,2473,0
1622094381771,320927,,2426,0
1622094381771,320947,,2205,0
1622094382127,320967,,1913,0
1622094382127,320987,,1968,0
1622094382127,321008,,1920,0
1622094382127,321029,,1888,1
1622094382127,321050,,1724,1
1622094382127,321070,,1584,1
1622094382127,321091,,1586,1
1622094382127,321112,,1641,1
1622094382127,321133,,1685,1
1622094382127,321154,,1710,1
1622094382127,321174,,1742,1
1622094382127,321195,,1771,1
1622094382127,321216,,1679,1
1622094382127,321237,,1600,1
1622094382127,321258,,1511,1
1622094382127,321278,,1535,1
1622094382127,321299,,1680,1
1622094382127,321320,,1813,1
1622094382127,321341,,1918,1
1622094382127,321362,,1799,1
1622094382127,321383,,1730,1
1622094382127,321403,,1625,1
1622094382127,321423,,1533,1
1622094382127,321444,,1462,1
1622094382127,321465,,1376,1
1622094382649,321485,,1432,1
1622094382649,321505,,1625,1
1622094382649,321525,,1796,1
1622094382649,321546,,1983,1
1622094382649,321567,,2106,1
1622094382649,321588,,2224,1
1622094382649,321609,,2224,1
1622094382649,321629,,2085,1
1622094382649,321650,,1962,1
1622094382649,321671,,1842,1
1622094382649,321692,,1914,1
1622094382649,321713,,2034,1
1622094382649,321734,,2141,1
1622094382649,321755,,2167,1
1622094382649,321776,,2105,1
1622094382649,321797,,2046,1
1622094382649,321818,,1854,1
1622094382649,321839,,1667,1
1622094382649,321859,,1535,1
1622094382649,321880,,1424,1
1622094382649,321901,,1487,1
1622094382649,321922,,1595,1
1622094382649,321943,,1655,1
1622094382649,321964,,1661,1
1622094382649,321985,,1590,1
1622094383467,322006,,1509,0
1622094383467,322026,,1398,0
1622094383467,322047,,1360,0
1622094383467,322068,,1347,0
1622094383467,322088,,1201,0
1622094383467,322109,,1226,0
1622094383467,322130,,1294,0
1622094383467,322151,,1408,0
1622094383467,322172,,1333,0
1622094383467,322192,,1194,0
1622094383467,322213,,1271,0
1622094383467,322234,,1446,0
1622094383467,322255,,1618,0
1622094383467,322276,,1776,0
1622094383467,322296,,1872,0
1622094383467,322316,,1803,0
1622094383467,322337,,1680,0
1622094383467,322358,,1528,0
1622094383467,322379,,1344,0
1622094383467,322399,,1154,0
1622094383467,322420,,1181,0
1622094383467,322441,,1344,0
1622094383467,322462,,1584,0
1622094383467,322483,,1669,0
1622094383467,322504,,1856,0
1622094383950,322525,,1991,0
1622094383950,322545,,2270,0
1622094383950,322565,,2452,0
1622094383950,322585,,2641,0
1622094383950,322606,,2601,0
1622094383950,322627,,2337,0
1622094383950,322648,,1883,0
1622094383950,322669,,1301,0
1622094383950,322690,,718,0
1622094383950,322710,,314,0
1622094383950,322731,,326,0
1622094383950,322752,,464,0
1622094383950,322772,,689,0
1622094383950,322792,,944,0
1622094383950,322812,,1163,0
1622094383950,322833,,1312,0
1622094383950,322854,,1423,0
1622094383950,322875,,1520,0
1622094383950,322896,,1610,0
1622094383950,322917,,1773,0
1622094383950,322938,,2054,0
1622094383950,322959,,2165,0
1622094383950,322980,,2041,0
1622094383950,323000,,1686,0
1622094383950,323021,,1214,0
1622094384819,323041,,702,0
1622094384819,323061,,560,0
1622094384819,323082,,657,0
1622094384819,323103,,879,0
1622094384819,323124,,1073,0
1622094384819,323145,,1435,0
1622094384819,323166,,1758,0
1622094384819,323187,,1820,0
1622094384819,323208,,1343,0
1622094384819,323228,,801,0
1622094384819,323249,,409,0
1622094384819,323270,,367,0
1622094384819,323291,,711,0
1622094384819,323312,,1223,0
1622094384819,323333,,1840,0
1622094384819,323354,,2275,0
1622094384819,323375,,2516,0
1622094384819,323395,,2639,0
1622094384819,323416,,2383,0
1622094384819,323437,,2199,0
1622094384819,323457,,2086,0
1622094384819,323478,,1945,0
1622094384819,323499,,1778,0
1622094384819,323520,,1719,0
1622094384819,323541,,1698,0
1622094384989,323561,,1580,0
1622094384989,323581,,1490,1
1622094384989,323602,,1535,1
1622094384989,323623,,1651,1
1622094384989,323644,,1489,1
1622094384989,323665,,1392,1
1622094384989,323685,,1423,1
1622094384989,323706,,1270,1
1622094384989,323727,,893,1
1622094384989,323747,,863,1
1622094384989,323768,,867,1
1622094384989,323789,,495,1
1622094384989,323810,,139,1
1622094384989,323830,,128,1
1622094384989,323851,,511,1
1622094384989,323872,,929,1
1622094384989,323893,,1310,1
1622094384989,323913,,1520,1
1622094384989,323933,,1470,1
1622094384989,323954,,1455,1
1622094384989,323975,,1523,1
1622094384989,323996,,1714,1
1622094384989,324017,,2034,1
1622094384989,324038,,2601,1
1622094384989,324059,,2999,1
1622094385949,324079,,3081,1
1622094385949,324099,,2943,1
1622094385949,324119,,2749,1
1622094385949,324139,,2426,1
1622094385949,324160,,1781,1
1622094385949,324181,,1249,1
1622094385949,324202,,847,1
1622094385949,324223,,459,1
1622094385949,324244,,0,1
1622094385949,324265,,0,1
1622094385949,324286,,0,1
1622094385949,324307,,0,1
1622094385949,324328,,0,1
1622094385949,324348,,0,1
1622094385949,324368,,0,1
1622094385949,324389,,54,1
