localTime,remoteTime,label,eda,eda_filtered
1622094249565,188732,,1413,1411.14
1622094250158,188959,,1417,1410.4
1622094250158,189188,,1417,1411.9
1622094250689,189416,,1411,1412.32
1622094250689,189643,,1410,1411.62
1622094250689,189871,,1411,1411.81
1622094251388,190096,,1410,1411.81
1622094251388,190325,,1412,1411.29
1622094251609,190550,,1415,1412.02
1622094251609,190777,,1413,1412.13
1622094252117,191003,,1410,1411.02
1622094252117,191229,,1407,1409.99
1622094252618,191455,,1408,1409.54
1622094252618,191681,,1408,1409.04
1622094252618,191910,,1406,1408.74
1622094253147,192138,,1408,1409.41
1622094253147,192368,,1408,1409.19
1622094253651,192592,,1410,1408.73
1622094253651,192819,,1408,1408.12
1622094254513,193046,,1408,1407.88
1622094254513,193274,,1405,1408
1622094254513,193501,,1415,1408.74
1622094255083,193729,,1408,1408.46
1622094255083,193955,,1408,1408.62
1622094255194,194181,,1407,1409.09
1622094255194,194409,,1408,1408.7
1622094255797,194635,,1414,1409.13
1622094255797,194862,,1411,1410.48
1622094256236,195089,,1410,1411.02
1622094256236,195318,,1410,1412.44
1622094256236,195546,,1414,1413.14
1622094257138,195772,,1421,1413.89
1622094257138,196000,,1418,1413.85
1622094257851,196223,,1413,1414.56
1622094257851,196451,,1414,1414.96
1622094259730,196677,,1422,1415.7
1622094259730,196903,,1414,1415.59
1622094263267,197128,,1411,1415.88
1622094263267,197356,,1414,1416.95
1622094263267,197581,,1417,1417.13
1622094268179,199407,,1405,1409.05
1622094268179,199637,,1401,1406.3
1622094268642,199865,,1403,1403.61
1622094268642,200093,,1401,1402.52
1622094269179,200774,,1399,1403.59
1622094269179,201004,,1407,1405.18
1622094269179,201233,,1408,1406.45
1622094269362,201460,,1409,1407.01
1622094269362,201689,,1410,1407.8
1622094269778,201917,,1412,1408.36
1622094269778,202145,,1411,1409.18
1622094270169,202372,,1414,1410.69
1622094270169,202601,,1415,1411.94
1622094270469,202830,,1408,1413.07
1622094270469,203059,,1413,1413.71
1622094270469,203287,,1410,1414.18
1622094270702,203513,,1415,1413.31
1622094270702,203742,,1415,1414.69
1622094270816,203969,,1418,1414.96
1622094270816,204198,,1415,1415.61
1622094271115,204426,,1417,1415.86
1622094271115,204656,,1420,1416.89
1622094271115,204885,,1421,1417.76
1622094271370,205113,,1421,1418.54
1622094271370,205342,,1419,1419.35
1622094271745,206027,,1411,1418.65
1622094271745,206257,,1415,1418.88
1622094271767,206484,,1413,1417.67
1622094271767,206712,,1422,1418.87
1622094271767,206941,,1421,1419.93
1622094272452,207170,,1423,1420.1
1622094272452,207399,,1413,1419.5
1622094273578,207625,,1418,1419.25
1622094273578,207854,,1423,1419.68
1622094273889,208080,,1424,1420.74
1622094273889,208308,,1418,1421.17
1622094274395,208537,,1419,1421.06
1622094274395,208765,,1419,1421.27
1622094274395,208993,,1424,1422.21
1622094274718,209220,,1426,1422.21
1622094274718,209450,,1422,1422.61
1622094274736,209676,,1424,1422.87
1622094274736,209905,,1424,1423.75
1622094274737,210132,,1427,1424.51
1622094274737,210360,,1424,1424.64
1622094274737,210589,,1424,1424.93
1622094274751,210818,,1427,1426.27
1622094274751,211046,,1431,1427.36
1622094274770,211727,,1426,1427.43
1622094274770,211956,,1424,1426.16
1622094274771,212871,,1411,1415.76
1622094274771,213100,,1409,1412.67
1622094274783,213326,,1408,1409.88
1622094274783,213553,,1407,1408.14
1622094274881,213780,,1405,1406.58
1622094274881,214008,,1408,1406.81
1622094275406,214237,,1399,1405.32
1622094275406,214466,,1407,1405.45
1622094275406,214694,,1405,1405.2
1622094275919,214922,,1410,1406
1622094275919,215148,,1411,1407.19
1622094276639,215374,,1409,1407.54
1622094276639,215603,,1409,1409.71
1622094277692,215831,,1409,1410.74
1622094277692,216060,,1413,1412.82
1622094277692,216290,,1412,1413.54
1622094277939,216518,,1415,1414.16
1622094277939,216746,,1413,1414.73
