localTime,remoteTime,label,eda,eda_filtered
1622094252738,524757,,0,-345.25
1622094252738,524978,,0,-345.56
1622094253192,525199,,0,-346
1622094253192,525420,,0,-346.25
1622094253693,525642,,0,-346.25
1622094253693,525863,,0,-346.62
1622094254515,526085,,0,-346.81
1622094254515,526306,,0,-347.37
1622094255084,526528,,0,-347.56
1622094255084,526748,,0,-347.75
1622094255084,526969,,0,-348.13
1622094255206,527191,,0,-348.19
1622094255206,527412,,0,-348.25
1622094255796,527633,,0,-348.56
1622094255796,527854,,0,-348.94
1622094256211,528075,,0,-348.94
1622094256211,528296,,0,-349.31
1622094257134,528518,,0,-349.44
1622094257134,528739,,0,-349.81
1622094257134,528960,,0,-349.88
1622094257810,529180,,0,-350.13
1622094257810,529401,,0,-350.44
1622094259139,529622,,0,-350.5
1622094259139,529843,,0,-350.75
1622094262681,530064,,0,-351
1622094262681,530285,,0,-351.5
1622094262681,530506,,0,-351.62
1622094266835,530727,,0,-351.69
1622094266835,530948,,0,-352.06
1622094267839,531170,,0,-351.94
1622094267839,531391,,0,-352.62
1622094268168,532056,,0,-353.25
1622094268168,532277,,0,-353.37
1622094268168,532498,,0,-353.56
1622094269348,534046,,0,-354.75
1622094269348,534267,,0,-354.87
1622094269348,534488,,0,-355.12
1622094269583,534708,,0,-355
1622094269583,534929,,0,-355.25
1622094269814,535151,,0,-355.5
1622094269814,535372,,0,-355.62
1622094270280,535594,,0,-355.75
1622094270280,535815,,0,-356.13
1622094270280,536036,,0,-356.06
1622094270575,536257,,0,-356.44
1622094270575,536478,,0,-356.69
1622094271193,537584,,0,-357.56
1622094271193,537805,,0,-357.75
1622094271193,538026,,0,-357.87
1622094271429,538247,,0,-357.94
1622094271429,538468,,0,-358.19
1622094271632,538689,,0,-358.19
1622094271632,538910,,0,-358.5
1622094271750,539131,,0,-358.63
1622094271750,539352,,0,-358.81
1622094271768,539573,,0,-358.87
1622094271768,539793,,0,-359.12
1622094271768,540014,,0,-359.31
1622094272923,540234,,0,-359.25
1622094272923,540455,,0,-359.25
1622094273775,540677,,0,-359.5
1622094273775,540898,,0,-359.75
1622094273988,541120,,0,-359.87
1622094273988,541341,,0,-360.13
1622094273988,541562,,0,-360.06
1622094274504,541783,,0,-360.25
1622094274504,542004,,0,-360.44
1622094274720,542225,,0,-360.56
1622094274720,542446,,0,-360.56
1622094274736,542668,,0,-360.44
1622094274736,542889,,0,-360.63
1622094274738,543112,,0,-360.94
1622094274738,543333,,0,-361
1622094274738,543554,,0,-361.12
1622094274752,543775,,0,-361.31
1622094274752,543996,,0,-361.44
1622094274769,544661,,0,-361.75
1622094274769,544882,,0,-362.25
1622094274774,546208,,0,-362.81
1622094274774,546429,,0,-362.81
1622094274820,546650,,0,-363.25
1622094274820,546871,,0,-363.44
1622094274820,547092,,0,-363.44
1622094275335,547313,,0,-363.31
1622094275335,547535,,0,-363.5
1622094275846,547757,,0,-363.62
1622094275846,547978,,0,-364.06
1622094276309,548199,,0,-364.06
1622094276309,548420,,0,-363.94
1622094277389,548642,,0,-364.38
1622094277389,548863,,0,-364.5
1622094277389,549084,,0,-364.44
1622094277919,549306,,0,-364.88
1622094277919,549527,,0,-365.12
1622094277941,549748,,0,-365.12
1622094277941,549969,,0,-365.31
1622094278321,550190,,0,-365.37
1622094278321,550411,,0,-365.31
1622094278826,550633,,0,-365.94
1622094278826,550854,,0,-366
1622094278826,551075,,0,-366.12
1622094279342,551296,,0,-366.19
1622094279342,551517,,0,-366.25
1622094279861,551739,,0,-366.31
1622094279861,551960,,0,-366.56
1622094280429,552182,,0,-366.81
1622094280429,552403,,0,-367
1622094280429,552624,,0,-367.19
1622094280882,552845,,0,-367.25
1622094280882,553066,,0,-367.37
1622094281600,553288,,0,-367.5
1622094281600,553509,,0,-367.62
1622094281855,553731,,0,-367.69
1622094281855,553952,,0,-368.19
1622094282423,554174,,0,-368.25
1622094282423,554395,,0,-368.12
1622094282423,554616,,0,-368.37
1622094283345,554837,,0,-368.56
1622094283345,555058,,0,-368.94
1622094283602,555280,,0,-368.75
1622094283602,555501,,0,-369.13
1622094284482,555724,,0,-369.19
1622094284482,555945,,0,-369.25
1622094286118,556167,,0,-369.62
