localTime,remoteTime,label,eda,eda_filtered
1622094246077,491386,,0,-310.44
1622094246578,491606,,0,-309.62
1622094246578,491827,,0,-308.38
1622094247083,492048,,0,-306.38
1622094247083,492269,,0,-304.75
1622094247584,492490,,0,-303.81
1622094247584,492711,,0,-303.31
1622094247584,492932,,0,-303.31
1622094248092,493153,,0,-303.69
1622094248092,493374,,0,-304.06
1622094248589,493595,,0,-303.69
1622094248589,493816,,0,-303.5
1622094249161,494037,,0,-304.31
1622094249161,494258,,0,-305.25
1622094249729,494479,,0,-305.87
1622094249729,494700,,0,-306.38
1622094249729,494921,,0,-306.81
1622094250160,495143,,0,-307.31
1622094250160,495364,,0,-307.19
1622094250768,495585,,0,-306.75
1622094250768,495807,,0,-306
1622094251389,496028,,0,-305.25
1622094251389,496249,,0,-304.56
1622094251611,496470,,0,-303.81
1622094251611,496691,,0,-302.5
1622094251611,496911,,0,-301.62
1622094252118,497131,,0,-300.06
1622094252118,497352,,0,-297.63
1622094252607,497573,,0,-293.56
1622094252607,497794,,0,-290.87
1622094253143,498016,,0,-288.56
1622094253143,498237,,0,-287.19
1622094253143,498458,,0,-284.25
1622094253642,498679,,0,-282.06
1622094253642,498901,,0,-279.5
1622094254238,499123,,0,-278.37
1622094254238,499344,,0,-275.56
1622094255081,499565,,0,-274.81
1622094255081,499786,,0,-274.88
1622094255118,500007,,0,-275.25
1622094255118,500228,,0,-274.62
1622094255118,500449,,0,-273.69
1622094255625,500670,,0,-273.44
1622094255625,500891,,0,-272.56
1622094256146,501112,,0,-272
1622094256146,501333,,0,-271.06
1622094256887,501554,,0,-270.81
1622094256887,501774,,0,-271.13
1622094257633,501995,,0,-271.62
1622094257633,502216,,0,-272
1622094257633,502437,,0,-272.06
1622094258741,502657,,0,-272.37
1622094258741,502877,,0,-272.88
1622094261735,503098,,0,-273.25
1622094261735,503319,,0,-273.25
1622094265959,503540,,0,-273.56
1622094265959,503761,,0,-273.69
1622094265959,503982,,0,-274.25
1622094267832,504204,,0,-275
1622094267832,504425,,0,-275.56
1622094268257,505529,,0,-274.56
1622094268257,505750,,0,-273.19
1622094268257,505971,,0,-270
1622094269167,506192,,0,-266.69
1622094269167,506413,,0,-265.37
1622094269169,506634,,0,-264.44
1622094269169,506855,,0,-263.81
1622094269267,507076,,0,-263.19
1622094269267,507297,,0,-259.19
1622094269380,507519,,0,-256.87
