localTime,remoteTime,label,bvp,signalOK
1623228018006,2135990,rest,2032,0
1623228018006,2136010,rest,2224,0
1623228018006,2136030,rest,2215,0
1623228018006,2136050,rest,2191,0
1623228018006,2136070,rest,2068,0
1623228018006,2136091,rest,1903,0
1623228018006,2136111,rest,1815,0
1623228018006,2136132,rest,1767,0
1623228018006,2136152,rest,1840,0
1623228018006,2136172,rest,1878,0
1623228018006,2136192,rest,1926,0
1623228018006,2136212,rest,1968,0
1623228018006,2136232,rest,1998,0
1623228018006,2136252,rest,2007,0
1623228018006,2136272,rest,1999,0
1623228018006,2136292,rest,1975,0
1623228018006,2136313,rest,1950,0
1623228018006,2136333,rest,1935,0
1623228018006,2136354,rest,1925,0
1623228018006,2136374,rest,1907,0
1623228018006,2136394,rest,1885,0
1623228018006,2136414,rest,1878,0
1623228018006,2136434,rest,1855,0
1623228018006,2136454,rest,1891,0
1623228018006,2136474,rest,1890,0
1623228018518,2136495,rest,1887,0
1623228018518,2136515,rest,1990,0
1623228018518,2136536,rest,2109,0
1623228018518,2136556,rest,2113,0
1623228018518,2136577,rest,2081,0
1623228018518,2136597,rest,2079,0
1623228018518,2136617,rest,2100,0
1623228018518,2136637,rest,2124,0
1623228018518,2136657,rest,2133,0
1623228018518,2136677,rest,2128,0
1623228018518,2136697,rest,2129,0
1623228018518,2136717,rest,2125,0
1623228018518,2136737,rest,2096,0
1623228018518,2136757,rest,2083,0
1623228018518,2136777,rest,2058,0
1623228018518,2136798,rest,1985,0
1623228018518,2136818,rest,1934,0
1623228018518,2136838,rest,1905,0
1623228018518,2136858,rest,1897,0
1623228018518,2136878,rest,1904,0
1623228018518,2136898,rest,1917,0
1623228018518,2136918,rest,1936,0
1623228018518,2136938,rest,1939,0
1623228018518,2136958,rest,1931,0
1623228018518,2136979,rest,1925,0
1623228019023,2137000,rest,1922,0
1623228019023,2137021,rest,2005,0
1623228019023,2137041,rest,2057,0
1623228019023,2137061,rest,2086,0
1623228019023,2137081,rest,1987,0
1623228019023,2137101,rest,1877,0
1623228019023,2137121,rest,1809,0
1623228019023,2137141,rest,1776,0
1623228019023,2137161,rest,1777,0
1623228019023,2137181,rest,1786,0
1623228019023,2137202,rest,1806,0
1623228019023,2137222,rest,1830,0
1623228019023,2137243,rest,1854,0
1623228019023,2137263,rest,1865,0
1623228019023,2137283,rest,1885,0
1623228019023,2137303,rest,1930,0
1623228019023,2137323,rest,1989,0
1623228019023,2137343,rest,2047,0
1623228019023,2137363,rest,2075,0
1623228019023,2137383,rest,2166,0
1623228019023,2137403,rest,2179,0
1623228019023,2137424,rest,2162,0
1623228019023,2137444,rest,2134,0
1623228019023,2137465,rest,2093,0
1623228019023,2137485,rest,2032,0
1623228019523,2137506,rest,1968,0
1623228019523,2137526,rest,2017,0
1623228019523,2137546,rest,2044,1
1623228019523,2137566,rest,2063,1
1623228019523,2137586,rest,1942,1
1623228019523,2137606,rest,1854,1
1623228019523,2137626,rest,1810,1
1623228019523,2137647,rest,1808,1
1623228019523,2137667,rest,1806,1
1623228019523,2137688,rest,1911,1
1623228019523,2137708,rest,1923,1
1623228019523,2137728,rest,1926,1
1623228019523,2137748,rest,1932,1
1623228019523,2137768,rest,1934,1
1623228019523,2137788,rest,1927,1
1623228019523,2137808,rest,1923,1
1623228019523,2137828,rest,1919,1
1623228019523,2137848,rest,1917,1
1623228019523,2137869,rest,1911,1
1623228019523,2137889,rest,1900,1
1623228019523,2137910,rest,1885,1
1623228019523,2137930,rest,1873,1
1623228019523,2137950,rest,1872,1
1623228019523,2137970,rest,1859,1
1623228019523,2137990,rest,1913,1
1623228020027,2138010,rest,1919,1
1623228020027,2138030,rest,2015,1
1623228020027,2138050,rest,2112,1
1623228020027,2138070,rest,2138,1
1623228020027,2138091,rest,2083,1
1623228020027,2138111,rest,2066,1
1623228020027,2138132,rest,2083,1
1623228020027,2138152,rest,2104,1
1623228020027,2138172,rest,2128,1
1623228020027,2138192,rest,2149,1
1623228020027,2138212,rest,2151,1
1623228020027,2138232,rest,2134,1
1623228020027,2138252,rest,2106,1
1623228020027,2138272,rest,2076,1
1623228020027,2138292,rest,2063,1
1623228020027,2138313,rest,2034,1
1623228020027,2138333,rest,2001,1
1623228020027,2138354,rest,1973,1
1623228020027,2138374,rest,1963,1
1623228020027,2138394,rest,1962,1
1623228020027,2138414,rest,1961,1
1623228020027,2138434,rest,1968,1
1623228020027,2138454,rest,1979,1
1623228020027,2138474,rest,1995,1
1623228020027,2138494,rest,1997,1
1623228020538,2138515,rest,1979,1
1623228020538,2138536,rest,2077,1
1623228020538,2138556,rest,2096,0
1623228020538,2138577,rest,2128,0
1623228020538,2138597,rest,2015,0
1623228020538,2138617,rest,1946,0
1623228020538,2138637,rest,1873,0
1623228020538,2138657,rest,1831,0
