localTime,remoteTime,label,eda,eda_filtered
1623227983171,2101190,rest,0,159
1623227983171,2101412,rest,0,157.88
1623227983171,2101634,rest,0,156.63
1623227983671,2101855,rest,0,155.37
1623227983671,2102077,rest,0,154.25
1623227984180,2102300,rest,0,153.06
1623227984180,2102522,rest,0,157
1623227984680,2102744,rest,0,159.5
1623227984680,2102966,rest,0,159.37
1623227985189,2103189,rest,0,158.94
1623227985189,2103411,rest,0,157.69
1623227985189,2103633,rest,0,158.31
1623227985699,2103856,rest,0,164.31
1623227985699,2104078,rest,0,162.37
1623227986202,2104301,rest,0,157.06
1623227986202,2104523,rest,0,155.94
1623227986704,2104746,rest,0,154.81
1623227986704,2104967,rest,0,152.5
1623227987211,2105190,rest,0,149.87
1623227987211,2105412,rest,0,150.69
1623227987211,2105634,rest,0,150.25
1623227987723,2105855,rest,0,149.38
1623227987723,2106077,rest,0,148.94
1623227988238,2106300,rest,0,148.25
1623227988238,2106522,rest,0,147.62
1623227988750,2106745,rest,0,147
1623227988750,2106967,rest,0,146.44
1623227988750,2107189,rest,0,145.94
1623227989229,2107410,rest,0,145.44
1623227989229,2107632,rest,0,145.12
1623227989736,2107855,rest,0,144.69
1623227989736,2108077,rest,0,144.37
1623227990239,2108300,rest,0,143.81
1623227990239,2108522,rest,0,169.25
1623227990745,2108745,rest,0,162.62
1623227990745,2108967,rest,0,159.12
1623227990745,2109189,rest,0,154.06
1623227991254,2109412,rest,0,149.44
1623227991254,2109634,rest,0,149.69
1623227991758,2109857,rest,0,150.62
1623227991758,2110079,rest,0,151.94
1623227992258,2110302,rest,0,152.94
1623227992258,2110524,rest,0,153.81
1623227992766,2110747,rest,0,154.56
1623227992766,2110969,rest,0,154.56
1623227992766,2111191,rest,0,154.31
1623227993272,2111412,rest,0,153.94
1623227993272,2111634,rest,0,153.56
1623227993779,2111857,rest,0,152.38
1623227993779,2112079,rest,0,151.25
1623227994284,2112302,rest,0,149.56
1623227994284,2112524,rest,0,148
1623227994284,2112746,rest,0,146.69
1623227994788,2112967,rest,0,145.44
1623227994788,2113189,rest,0,144.19
1623227995302,2113411,rest,0,143.06
1623227995302,2113633,rest,0,142.31
1623227995815,2113856,rest,0,141.19
1623227995815,2114078,rest,0,139.81
1623227996338,2114301,rest,0,139
1623227996338,2114523,rest,0,138.81
1623227996338,2114745,rest,0,138.62
1623227996804,2114968,rest,0,138.19
1623227996804,2115190,rest,0,138.37
1623227997310,2115413,rest,0,138.81
1623227997310,2115635,rest,0,139.56
1623227997830,2115858,rest,0,139.44
1623227997830,2116080,rest,0,139.56
1623227998328,2116303,rest,0,139.56
1623227998328,2116525,rest,0,139.44
1623227998328,2116747,rest,0,138.88
1623227998826,2116968,rest,0,138.19
1623227998826,2117190,rest,0,137.75
1623227999340,2117412,rest,0,136.81
1623227999340,2117634,rest,0,136.19
1623227999837,2117857,rest,0,135.31
1623227999837,2118079,rest,0,134.5
1623227999837,2118301,rest,0,133.37
1623228000358,2118522,rest,0,132.19
1623228000358,2118744,rest,0,131.25
1623228000844,2118967,rest,0,129.87
1623228000844,2119189,rest,0,128.87
1623228001357,2119412,rest,0,127.62
1623228001357,2119634,rest,0,126.69
1623228001864,2119857,rest,0,125.38
1623228001864,2120079,rest,0,124.19
1623228001864,2120301,rest,0,123.19
1623228002372,2120524,rest,0,121.94
1623228002372,2120746,rest,0,121.19
1623228002882,2120968,rest,0,120.19
1623228002882,2121190,rest,0,119.44
1623228003409,2121413,rest,0,118.5
1623228003409,2121635,rest,0,118.13
1623228003875,2121857,rest,0,118
1623228003875,2122079,rest,0,118
1623228003875,2122301,rest,0,118.31
1623228004382,2122522,rest,0,118.56
1623228004382,2122744,rest,0,118.87
1623228004885,2122967,rest,0,118.56
1623228004885,2123189,rest,0,118.44
1623228005389,2123412,rest,0,118.06
1623228005389,2123634,rest,0,117.56
1623228005389,2123856,rest,0,117.87
1623228005898,2124077,rest,0,115.19
1623228005898,2124299,rest,0,114.06
1623228006404,2124522,rest,0,114.69
1623228006404,2124744,rest,0,114.44
1623228006920,2124967,rest,0,115.06
1623228006920,2125189,rest,0,117.56
1623228007408,2125411,rest,0,122.37
1623228007408,2125633,rest,0,127.94
1623228007408,2125855,rest,0,133.56
1623228007915,2126078,rest,0,138.19
1623228007915,2126300,rest,0,142.19
1623228008418,2126522,rest,0,145
1623228008418,2126744,rest,0,147.19
1623228008926,2126966,rest,0,148.44
1623228008926,2127188,rest,0,149
1623228009437,2127411,rest,0,148.56
1623228009437,2127633,rest,0,148.25
1623228009437,2127855,rest,0,147.5
1623228009947,2128076,rest,0,145.81
1623228009947,2128298,rest,0,144.62
1623228010456,2128521,rest,0,144.31
1623228010456,2128743,rest,0,142.87
1623228010970,2128966,rest,0,140.81
1623228010970,2129188,rest,0,138.44
1623228010970,2129410,rest,0,137.56
1623228011447,2129631,rest,0,137.19
1623228011447,2129853,rest,0,138.5
1623228011959,2130076,rest,0,136.56
1623228011959,2130298,rest,0,135.12
1623228012470,2130521,rest,0,133.75
1623228012470,2130743,rest,0,132.81
1623228012967,2130966,rest,0,131.94
1623228012967,2131188,rest,0,131.56
1623228012967,2131410,rest,0,131.37
1623228013469,2131633,rest,0,131.44
1623228013469,2131855,rest,0,131.75
1623228013982,2132078,rest,0,131.69
1623228013982,2132300,rest,0,131.81
1623228014487,2132522,rest,0,131.37
1623228014487,2132744,rest,0,130.87
1623228014985,2132966,rest,0,130.06
1623228014985,2133187,rest,0,129.06
1623228014985,2133409,rest,0,128.12
1623228015486,2133630,rest,0,127.31
1623228015486,2133852,rest,0,126.81
1623228015998,2134075,rest,0,126.38
1623228015998,2134297,rest,0,125.19
1623228016499,2134520,rest,0,123.75
1623228016499,2134741,rest,0,122.44
1623228016499,2134963,rest,0,121.13
1623228017009,2135183,rest,0,119.81
1623228017009,2135404,rest,0,119.62
1623228017521,2135626,rest,0,118.31
1623228017521,2135848,rest,0,117.81
1623228018006,2136070,rest,0,116.81
1623228018006,2136292,rest,0,116.94
1623228018518,2136515,rest,0,116.25
1623228018518,2136737,rest,0,115.44
1623228018518,2136958,rest,0,114.56
1623228019023,2137181,rest,0,113.69
1623228019023,2137403,rest,0,112.94
1623228019523,2137626,rest,0,112.31
1623228019523,2137848,rest,0,112.19
1623228020027,2138070,rest,0,111.88
1623228020027,2138292,rest,0,111.44
1623228020538,2138515,rest,0,111.44
1623228020538,2138737,rest,0,112.88
1623228020538,2138959,rest,0,115.75
1623228021047,2139180,rest,0,120.31
1623228021047,2139402,rest,0,125.38
1623228021543,2139625,rest,0,130.37
1623228021543,2139847,rest,0,134.87
1623228022047,2140069,rest,0,138.56
1623228022047,2140290,rest,0,141.69
1623228022047,2140512,rest,0,143.06
1623228022557,2140733,rest,0,143.81
1623228022557,2140955,rest,0,144.5
1623228023055,2141177,rest,0,144
1623228023055,2141399,rest,0,142.87
1623228023563,2141622,rest,0,141.5
1623228023563,2141844,rest,0,140.06
1623228024075,2142067,rest,0,137.88
1623228024075,2142289,rest,0,136
1623228024075,2142511,rest,0,134.06
1623228024594,2142734,rest,0,132
1623228024594,2142956,rest,0,130.06
1623228025101,2143179,rest,0,128.12
1623228025101,2143401,rest,0,126.5
1623228025582,2143624,rest,0,124.69
1623228025582,2143846,rest,0,123.44
1623228026091,2144069,rest,0,122.19
1623228026091,2144290,rest,0,120.75
1623228026091,2144512,rest,0,119.44
1623228026593,2144733,rest,0,118.25
1623228026593,2144954,rest,0,117.19
1623228027123,2145177,rest,0,115.81
1623228027123,2145399,rest,0,114.88
1623228027621,2145622,rest,0,113.69
1623228027621,2145844,rest,0,112.37
1623228027621,2146066,rest,0,111.25
1623228028124,2146287,rest,0,110.06
1623228028124,2146509,rest,0,108.94
1623228028610,2146732,rest,0,107.63
1623228028610,2146954,rest,0,106.75
1623228029112,2147177,rest,0,105.87
1623228029112,2147399,rest,0,105
1623228029626,2147622,rest,0,104
1623228029626,2147844,rest,0,103.19
1623228029626,2148066,rest,0,102.19
1623228030124,2148289,rest,0,100.94
1623228030124,2148511,rest,0,99.62
1623228030635,2148734,rest,0,98.44
1623228030635,2148956,rest,0,98.12
1623228031141,2149179,rest,0,97.88
1623228031141,2149401,rest,0,98.19
1623228031652,2149624,rest,0,98.81
1623228031652,2149846,rest,0,99.31
1623228031652,2150068,rest,0,99.69
1623228032167,2150289,rest,0,100
1623228032167,2150511,rest,0,100.44
1623228032691,2150734,rest,0,100.19
1623228032691,2150955,rest,0,100
1623228033156,2151177,rest,0,99.62
1623228033156,2151399,rest,0,99
1623228033156,2151621,rest,0,98.94
1623228033662,2151842,rest,0,98.25
1623228033662,2152064,rest,0,97.75
1623228034217,2152286,rest,0,97.37
1623228034217,2152508,rest,0,97
1623228034699,2152730,rest,0,95.56
1623228034699,2152952,rest,0,94.5
1623228035214,2153175,rest,0,93.44
1623228035214,2153397,rest,0,91.63
1623228035214,2153619,rest,0,91.31
1623228035684,2153841,rest,0,90.12
1623228035684,2154063,rest,0,89.06
1623228036189,2154286,rest,0,87.56
1623228036189,2154508,rest,0,86.63
1623228036689,2154731,rest,0,85.62
1623228036689,2154953,rest,0,84.87
1623228037197,2155176,rest,0,83.62
1623228037197,2155398,rest,0,82.56
1623228037197,2155620,rest,0,81.5
1623228037708,2155841,rest,0,80.31
1623228037708,2156063,rest,0,79.5
1623228038206,2156285,rest,0,78.5
1623228038206,2156506,rest,0,77.81
1623228038724,2156728,rest,0,76.81
1623228038724,2156949,rest,0,76
1623228038724,2157171,rest,0,75.12
1623228039229,2157392,rest,0,74.31
1623228039229,2157614,rest,0,73.5
1623228039718,2157837,rest,0,72.5
1623228039718,2158059,rest,0,71.81
1623228040228,2158282,rest,0,70.81
1623228040228,2158504,rest,0,69.87
1623228040728,2158727,rest,0,68.87
1623228040728,2158949,rest,0,68
1623228040728,2159171,rest,0,67.19
1623228041231,2159394,rest,0,66.5
1623228041231,2159616,rest,0,66.12
1623228041810,2159839,rest,0,65.75
1623228041810,2160061,rest,0,65.31
1623228042246,2160284,rest,0,64.94
1623228042246,2160506,rest,0,64.37
1623228042753,2160729,rest,0,64
1623228042753,2160951,rest,0,63.13
1623228042753,2161173,rest,0,62.5
1623228043263,2161394,rest,0,61.63
1623228043263,2161616,rest,0,60.81
1623228043759,2161839,rest,0,59.63
1623228043759,2162061,rest,0,58.69
1623228044261,2162284,rest,0,57.75
1623228044261,2162506,rest,0,56.69
1623228044261,2162728,rest,0,55.81
1623228044770,2162949,rest,0,54.94
1623228044770,2163171,rest,0,53.94
1623228045273,2163394,rest,0,53
1623228045273,2163616,rest,0,52.38
1623228045784,2163839,rest,0,51.63
1623228045784,2164061,rest,0,50.94
1623228046295,2164283,rest,0,50.31
1623228046295,2164505,rest,0,49.75
1623228046295,2164727,rest,0,49
1623228046808,2164949,rest,0,48.13
1623228046808,2165171,rest,0,47.44
1623228047295,2165394,rest,0,46.5
1623228047295,2165616,rest,0,45.69
1623228047799,2165839,rest,0,44.69
1623228047799,2166061,rest,0,43.87
1623228048307,2166284,rest,0,43.06
1623228048307,2166505,rest,0,42.13
1623228048307,2166727,rest,0,41.13
1623228048807,2166948,rest,0,40.19
1623228048807,2167169,rest,0,39.19
1623228049309,2167392,rest,0,38.13
1623228049309,2167614,rest,0,37.5
1623228049821,2167837,rest,0,36.88
1623228049821,2168059,rest,0,36.06
1623228049821,2168281,rest,0,35.25
1623228050328,2168502,rest,0,34.5
1623228050328,2168724,rest,0,33.63
1623228050837,2168947,rest,0,32.69
1623228050837,2169169,rest,0,32
1623228051335,2169392,rest,0,31.06
1623228051335,2169614,rest,0,30.31
