localTime,remoteTime,label,ibi,bpm,signalOK
1623227973592,2091596,rest,424,83,0
1623227973592,2091960,rest,338,87,0
1623227974082,2092223,rest,252,92,0
1623227974589,2092588,rest,332,97,0
1623227975594,2093982,rest,1304,87,0
1623227978123,2096181,rest,2024,72,0
1623227979128,2097475,rest,1214,68,1
1623227980147,2098324,rest,794,70,0
1623227980658,2099112,rest,728,73,0
1623227981655,2099940,rest,760,73,0
1623227982662,2100686,rest,692,71,0
1623227984180,2102382,rest,1600,61,0
1623227985699,2103716,rest,1234,56,0
1623227986202,2104665,rest,886,53,0
1623227987211,2105453,rest,708,56,0
1623227988238,2106220,rest,712,64,0
1623227989736,2107735,rest,1402,63,0
1623227990745,2108947,rest,1118,60,0
1623227993272,2111514,rest,2368,52,0
1623227994788,2113069,rest,1428,49,1
1623227995815,2113998,rest,856,48,0
1623227996804,2114808,rest,730,52,0
1623227998826,2117292,rest,2316,47,0
1623228000358,2118806,rest,1390,46,1
1623228001864,2119898,rest,996,45,0
1623228003875,2121939,rest,1894,41,0
1623228005898,2123896,rest,1822,40,1
1623228007408,2125432,rest,1424,39,0
1623228008418,2126442,rest,938,43,0
1623228008926,2127250,rest,742,45,0
1623228009947,2127976,rest,666,46,0
1623228009947,2128400,rest,400,47,0
1623228010970,2128946,rest,500,55,0
1623228011447,2129813,rest,806,58,0
1623228013982,2131998,rest,2014,53,0
1623228015486,2133510,rest,1406,56,0
1623228016499,2134520,rest,928,61,0
1623228017009,2135183,rest,616,66,0
1623228017521,2135848,rest,612,69,0
1623228018518,2136536,rest,620,70,0
1623228019023,2137383,rest,768,69,0
1623228020027,2138050,rest,626,67,1
1623228020538,2138556,rest,440,67,0
1623228020538,2138899,rest,326,71,0
1623228021543,2139585,rest,654,85,0
1623228022047,2140069,rest,428,99,1
1623228022047,2140372,rest,296,111,0
1623228024594,2142574,rest,2024,88,0
1623228025582,2144048,rest,1364,79,0
1623228027123,2145137,rest,994,75,0
1623228028124,2146449,rest,1218,71,1
1623228029626,2147643,rest,1100,67,0
1623228031141,2149159,rest,1426,61,0
1623228032167,2150169,rest,924,57,0
1623228032691,2151117,rest,864,56,0
1623228033662,2151682,rest,518,55,0
1623228033662,2152105,rest,392,55,0
1623228034699,2152670,rest,534,64,0
1623228035214,2153377,rest,646,69,0
1623228035684,2154104,rest,658,72,1
1623228036689,2154752,rest,598,78,1
1623228037197,2155217,rest,424,85,0
1623228037708,2155701,rest,450,100,0
1623228038206,2156285,rest,540,106,0
1623228038724,2156728,rest,416,116,1
1623228039718,2157717,rest,926,107,0
1623228040228,2158344,rest,564,104,0
1623228040728,2158768,rest,400,106,0
1623228040728,2159071,rest,288,114,0
1623228041810,2159921,rest,776,111,0
1623228042753,2160750,rest,758,108,0
1623228043263,2161314,rest,538,106,0
1623228043263,2161678,rest,340,108,0
1623228043759,2162143,rest,446,110,0
1623228044261,2162466,rest,276,112,0
1623228044770,2162970,rest,464,123,0
1623228045273,2163294,rest,304,130,0
1623228045784,2163779,rest,444,129,1
1623228046295,2164667,rest,814,116,0
1623228047295,2165516,rest,782,116,0
1623228048307,2166284,rest,716,117,0
1623228048807,2167069,rest,728,112,1
1623228049309,2167534,rest,436,110,0
1623228049821,2167817,rest,262,114,0
