localTime,remoteTime,label,eda,eda_filtered
1623226259228,377294,rest,0,-256.13
1623226259228,377515,rest,0,-256.38
1623226259737,377738,rest,0,-256.38
1623226259737,377959,rest,0,-256.69
1623226260208,378180,rest,0,-257
1623226260208,378401,rest,0,-257.12
1623226260208,378623,rest,0,-257.69
1623226260724,378843,rest,0,-257.94
1623226260724,379064,rest,0,-258.31
1623226261231,379287,rest,0,-258.44
1623226261231,379508,rest,0,-259.12
1623226261740,379730,rest,0,-259.5
1623226261740,379951,rest,0,-260.06
1623226261740,380173,rest,0,-260.75
1623226262232,380394,rest,0,-261.31
1623226262232,380615,rest,0,-262.19
1623226262725,380838,rest,0,-262.94
1623226262725,381059,rest,0,-263.87
1623226263237,381280,rest,0,-264.25
1623226263237,381501,rest,0,-264.94
1623226263730,381722,rest,0,-265.69
1623226263730,381943,rest,0,-266.25
1623226263730,382164,rest,0,-266.63
1623226264243,382386,rest,0,-266.88
1623226264243,382608,rest,0,-265.87
1623226264764,382829,rest,0,-265.12
1623226264764,383050,rest,0,-265.62
1623226265264,383272,rest,0,-267.87
1623226265264,383493,rest,0,-268
1623226265743,383714,rest,0,-268.44
1623226265743,383935,rest,0,-269.19
1623226265743,384156,rest,0,-269.94
1623226266249,384376,rest,0,-270.37
1623226266249,384597,rest,0,-270.88
1623226266746,384818,rest,0,-270.81
1623226266746,385040,rest,0,-270.31
1623226267250,385263,rest,0,-269.19
1623226267250,385484,rest,0,-267.06
1623226267250,385706,rest,0,-263.06
1623226267757,385928,rest,0,-258.75
1623226267757,386149,rest,0,-255
1623226268271,386372,rest,0,-251.37
1623226268271,386593,rest,0,-248.81
1623226268763,386814,rest,0,-247.06
1623226268763,387035,rest,0,-245.94
1623226269293,387258,rest,0,-244.44
1623226269293,387479,rest,0,-243.37
1623226269293,387700,rest,0,-241.19
1623226269768,387922,rest,0,-238.75
1623226269768,388143,rest,0,-237.12
1623226270290,388365,rest,0,-234.94
1623226270290,388586,rest,0,-230.81
1623226270808,388809,rest,0,-228.06
1623226270808,389030,rest,0,-228.25
1623226271379,389253,rest,0,-229.25
1623226271379,389474,rest,0,-230.44
1623226271379,389695,rest,0,-232
1623226271814,389915,rest,0,-232.81
1623226271814,390136,rest,0,-233.94
1623226272394,390358,rest,0,-234.62
1623226272394,390579,rest,0,-235.56
1623226272793,390799,rest,0,-236.25
1623226272793,391020,rest,0,-236.37
1623226272793,391241,rest,0,-236.94
1623226273299,391462,rest,0,-236.81
1623226273299,391683,rest,0,-235.38
1623226273813,391905,rest,0,-231
1623226273813,392126,rest,0,-223.94
1623226274296,392347,rest,0,-215.25
1623226274296,392568,rest,0,-206.94
1623226274812,392791,rest,0,-200.31
1623226274812,393012,rest,0,-195.62
1623226274812,393233,rest,0,-189.25
1623226275308,393456,rest,0,-186.56
1623226275308,393677,rest,0,-184.44
1623226275811,393899,rest,0,-180.56
1623226275811,394120,rest,0,-176.69
1623226276322,394342,rest,0,-171.19
