localTime,remoteTime,label,ibi,bpm,signalOK
1623226323736,441764,rest,1392,63,0
1623226324753,442956,rest,1140,63,0
1623226325778,444170,rest,1152,61,0
1623226327278,445581,rest,1324,57,0
1623226328793,446995,rest,1330,54,1
1623226329794,447825,rest,800,53,0
1623226330297,448694,rest,800,53,0
1623226331308,449563,rest,820,52,0
1623226332332,450472,rest,840,51,0
1623226332847,451199,rest,702,58,0
1623226333834,452028,rest,762,62,1
1623226334846,452835,rest,764,64,1
1623226335349,453561,rest,672,68,1
1623226335860,454287,rest,692,73,1
1623226336864,455115,rest,774,78,1
1623226337868,455863,rest,692,79,1
1623226338375,456647,rest,756,80,1
1623226339914,457900,rest,1152,76,0
1623226340391,458626,rest,692,78,0
1623226340902,459273,rest,600,79,0
1623226341908,459880,rest,578,81,0
1623226342415,460628,rest,684,82,0
1623226345950,464343,rest,364,164,0
1623226346976,465212,rest,828,146,0
1623226347969,465959,rest,708,135,0
1623226348474,466483,rest,488,131,0
1623226348474,466927,rest,412,129,0
1623226348976,467230,rest,284,132,0
1623226349477,467753,rest,486,128,0
1623226349989,468258,rest,484,125,1
1623226350995,469367,rest,1062,109,0
1623226353022,471006,rest,1538,90,0
1623226354041,472016,rest,938,83,1
1623226354551,472623,rest,562,86,0
1623226354551,472986,rest,356,90,0
1623226355034,473409,rest,400,92,0
1623226356043,474277,rest,794,86,0
1623226358571,476579,rest,2176,68,0
1623226360081,478112,rest,1426,61,0
1623226360594,478999,rest,856,59,0
1623226361592,479584,rest,542,62,0
1623226363112,481138,rest,1460,63,1
1623226364138,482110,rest,922,63,0
1623226365127,483159,rest,986,60,1
1623226366140,484127,rest,892,57,0
1623226366641,484692,rest,536,56,0
1623226367147,485157,rest,440,58,0
1623226367147,485440,rest,266,72,0
1623226367664,486064,rest,582,80,0
1623226369673,487681,rest,1540,73,0
1623226370680,488853,rest,1094,68,0
1623226372699,490972,rest,1996,64,0
1623226374217,492244,rest,1198,62,0
1623226375238,493517,rest,1194,61,0
1623226376235,494285,rest,716,62,0
1623226377250,495535,rest,1182,58,0
1623226378251,496283,rest,710,57,0
1623226378762,496787,rest,472,56,0
1623226379271,497251,rest,438,56,0
1623226379271,497533,rest,262,64,0
1623226380778,498806,rest,1182,64,0
1623226381790,499796,rest,942,72,0
1623226382790,500784,rest,916,74,0
1623226383297,501491,rest,666,80,0
1623226384306,502319,rest,790,79,0
1623226384817,502844,rest,476,87,0
1623226385335,503349,rest,470,90,0
1623226385335,503672,rest,284,93,0
1623226386334,504318,rest,594,91,0
1623226386830,504883,rest,528,87,1
1623226388345,506357,rest,1394,84,0
1623226389880,507851,rest,1396,79,0
1623226390870,509165,rest,1250,76,0
1623226392385,510397,rest,1152,72,1
1623226392908,511124,rest,692,72,0
1623226393405,511850,rest,682,71,0
1623226394403,512557,rest,678,69,0
1623226394907,513122,rest,520,67,0
1623226395414,513444,rest,314,69,0
1623226395924,513909,rest,438,70,0
1623226396447,514434,rest,480,78,0
1623226396950,514981,rest,508,89,1
1623226396950,515303,rest,304,104,0
1623226397434,515808,rest,490,117,0
1623226398444,516435,rest,586,120,0
1623226398949,517121,rest,642,120,0
1623226399452,517724,rest,570,123,0
1623226399957,518391,rest,630,120,1
1623226401981,519946,rest,1462,98,0
1623226403499,521481,rest,1428,84,0
1623226404999,522994,rest,1436,74,0
1623226406519,524506,rest,1422,66,0
1623226407536,525556,rest,982,62,0
1623226408535,526770,rest,1130,58,0
1623226409544,527538,rest,714,57,0
1623226410055,528326,rest,742,57,0
1623226412070,530040,rest,1610,51,0
1623226413076,531110,rest,1016,50,1
1623226414596,532587,rest,1410,50,0
1623226415608,533658,rest,986,52,0
1623226416614,534606,rest,908,54,0
1623226417634,535635,rest,962,57,0
1623226418144,536302,rest,638,59,0
1623226418664,536827,rest,490,63,0
1623226419138,537150,rest,296,66,0
1623226419138,537473,rest,314,69,0
1623226420150,538343,rest,806,76,0
1623226421160,539149,rest,758,79,0
1623226422173,540198,rest,994,83,0
1623226423680,541713,rest,1398,79,0
1623226424709,542722,rest,944,78,1
1623226425720,543935,rest,1146,77,1
1623226426717,544703,rest,720,76,0
1623226427225,545428,rest,692,74,0
1623226428226,546195,rest,722,70,0
1623226428727,547002,rest,756,67,0
1623226429737,547730,rest,682,68,1
1623226431252,549266,rest,1430,63,0
1623226432277,550637,rest,1296,61,0
1623226433775,552112,rest,1380,61,0
1623226435290,553323,rest,1158,60,1
1623226436304,554335,rest,942,61,0
1623226436817,555184,rest,794,60,0
1623226437847,555830,rest,620,61,0
1623226438318,556353,rest,474,62,0
1623226438318,556635,rest,284,66,0
1623226438827,557242,rest,542,67,0
1623226440338,558694,rest,1356,67,0
1623226441858,560090,rest,1326,67,0
1623226443373,561646,rest,1464,66,0
1623226444885,562938,rest,1210,66,1
1623226446406,564634,rest,1596,62,0
1623226447429,565785,rest,1090,60,0
1623226448422,566513,rest,656,60,0
1623226449932,567944,rest,1364,55,0
1623226451444,569478,rest,1458,49,0
1623226452961,570955,rest,1384,46,0
1623226453982,572005,rest,968,47,0
1623226454979,572973,rest,912,49,0
1623226455995,574024,rest,982,51,0
1623226457000,575033,rest,952,52,0
1623226457503,575740,rest,678,57,0
1623226458518,576508,rest,716,59,0
1623226459023,577073,rest,516,60,0
1623226460535,578547,rest,1396,60,0
1623226461563,579535,rest,936,63,0
1623226462552,580544,rest,944,66,1
1623226463060,581331,rest,734,68,0
1623226463562,582018,rest,654,70,0
1623226464576,582785,rest,712,72,0
1623226465084,583452,rest,620,75,0
1623226466090,584075,rest,606,76,0
1623226466589,584781,rest,660,77,1
1623226467099,585345,rest,522,77,0
1623226467604,586009,rest,638,85,0
1623226470120,588111,rest,1984,74,0
1623226472148,590533,rest,2260,63,0
1623226473654,592006,rest,1378,59,0
1623226475179,593160,rest,1096,57,0
1623226475693,594068,rest,864,56,0
1623226476684,594654,rest,544,56,0
1623226477689,595682,rest,964,54,1
1623226478195,596531,rest,808,54,1
1623226479710,598105,rest,1460,50,0
1623226481732,599701,rest,1502,46,0
1623226485257,603250,rest,324,185,0
1623226485257,603594,rest,308,186,0
1623226486265,604319,rest,666,168,0
1623226487274,605248,rest,890,145,0
1623226487791,605995,rest,690,133,1
1623226488797,606762,rest,722,122,1
1623226489311,607509,rest,708,113,1
1623226489797,608134,rest,590,108,0
1623226490812,608802,rest,634,102,0
1623226491320,609591,rest,728,95,1
1623226492325,610338,rest,698,90,1
1623226492831,611187,rest,814,84,0
1623226493841,611872,rest,638,84,0
1623226494349,612619,rest,696,86,1
1623226495354,613325,rest,674,86,1
1623226495865,614093,rest,728,86,1
1623226496894,614860,rest,710,86,1
1623226498388,616375,rest,1420,77,0
1623226499895,617908,rest,1458,70,0
1623226500904,618956,rest,978,68,0
1623226501911,620350,rest,1314,63,0
1623226503441,621664,rest,1224,60,1
1623226504440,622432,rest,734,60,0
1623226504942,622936,rest,480,61,0
1623226505454,623683,rest,680,61,0
1623226505956,624349,rest,632,62,0
1623226506963,624955,rest,576,63,0
1623226507472,625661,rest,642,68,1
1623226507974,626287,rest,592,76,1
1623226508983,626994,rest,674,79,1
1623226509488,627803,rest,752,85,0
1623226510507,628488,rest,646,93,0
1623226511540,629498,rest,956,90,0
1623226512008,630445,rest,872,85,0
1623226513019,631174,rest,690,85,0
1623226514541,632529,rest,1280,78,0
1623226516058,634384,rest,1744,67,0
1623226517572,635798,rest,1336,62,1
1623226519077,637070,rest,1202,59,1
1623226520590,639009,rest,1814,53,0
1623226522105,640157,rest,1088,51,0
1623226523116,641085,rest,866,50,0
1623226523620,641812,rest,674,51,0
1623226524131,642418,rest,572,53,0
1623226524642,643063,rest,596,53,0
1623226525662,643630,rest,538,57,0
1623226526145,644376,rest,700,63,0
1623226526650,645002,rest,576,69,1
1623226527656,645647,rest,614,74,1
1623226528673,646919,rest,1206,80,0
1623226529674,647706,rest,724,84,0
1623226530178,648372,rest,640,87,0
1623226531194,649221,rest,782,86,0
1623226531704,649706,rest,470,87,0
1623226532215,650412,rest,652,86,0
1623226532701,651036,rest,594,86,1
1623226533713,651703,rest,622,87,1
1623226535726,653782,rest,1942,72,0
1623226536739,655034,rest,1166,68,1
1623226537751,655782,rest,700,72,0
1623226538260,656265,rest,466,74,0
1623226538769,656770,rest,458,76,0
1623226539281,657255,rest,458,79,0
1623226539281,657558,rest,274,81,0
1623226539764,657819,rest,252,86,0
1623226539764,658101,rest,264,90,0
1623226540782,658768,rest,640,90,0
1623226541280,659536,rest,712,111,0
1623226541788,660244,rest,668,122,0
1623226542801,661010,rest,716,122,0
1623226543802,661776,rest,710,116,1
1623226545322,663330,rest,1452,97,0
1623226546347,664319,rest,926,90,0
1623226547340,665370,rest,972,82,1
1623226547844,666157,rest,746,76,0
1623226548853,667025,rest,802,71,0
1623226549359,667772,rest,710,71,0
1623226550365,668417,rest,588,72,0
1623226550869,669284,rest,834,71,0
1623226551880,670053,rest,722,70,1
1623226552388,670598,rest,508,72,0
1623226552904,670922,rest,304,84,0
1623226552904,671263,rest,318,92,0
1623226554903,672898,rest,1532,84,0
1623226555918,673949,rest,976,82,0
1623226556930,675100,rest,1088,79,0
1623226557435,675787,rest,652,79,0
1623226558440,676413,rest,590,79,0
1623226558945,677141,rest,676,81,0
1623226559967,678371,rest,1174,76,0
1623226562980,680995,rest,2446,61,0
1623226564498,682571,rest,1468,54,1
1623226566008,684468,rest,1802,48,0
1623226567544,685739,rest,1204,49,0
1623226568537,686547,rest,730,50,0
