localTime,remoteTime,label,eda,eda_filtered
1623566420144,2562841,rest,0,-188.31
1623566420144,2563063,rest,0,-188.62
1623566420641,2563286,rest,0,-188.94
1623566420641,2563508,rest,0,-190.69
1623566420641,2563730,rest,0,-191.37
1623566421147,2563951,rest,0,-191.94
1623566421147,2564173,rest,0,-192.75
1623566421651,2564396,rest,0,-193.75
1623566421651,2564618,rest,0,-193.69
1623566422190,2564840,rest,0,-192.75
1623566422190,2565062,rest,0,-191.37
1623566422656,2565285,rest,0,-188.56
1623566422656,2565506,rest,0,-186.06
1623566422656,2565728,rest,0,-183.44
1623566423178,2565951,rest,0,-181
1623566423178,2566173,rest,0,-179.25
1623566423667,2566395,rest,0,-178.62
1623566423667,2566617,rest,0,-177.25
1623566424170,2566839,rest,0,-174.12
1623566424170,2567061,rest,0,-169.19
1623566424677,2567283,rest,0,-163.19
1623566424677,2567505,rest,0,-157.37
1623566424677,2567727,rest,0,-153.38
1623566425178,2567948,rest,0,-150.31
1623566425178,2568170,rest,0,-149.12
1623566425691,2568391,rest,0,-148.94
1623566425691,2568613,rest,0,-149.38
1623566426194,2568835,rest,0,-152
1623566426194,2569057,rest,0,-154.69
1623566426194,2569279,rest,0,-157.12
1623566426721,2569500,rest,0,-158.75
1623566426721,2569722,rest,0,-160.75
1623566427233,2569945,rest,0,-163.25
1623566427233,2570167,rest,0,-165.31
1623566427703,2570390,rest,0,-166.94
1623566427703,2570612,rest,0,-167.94
1623566428209,2570835,rest,0,-169.69
1623566428209,2571057,rest,0,-171.37
1623566428209,2571279,rest,0,-172.87
1623566428713,2571502,rest,0,-174.31
1623566428713,2571724,rest,0,-175.56
1623566429217,2571947,rest,0,-176.75
1623566429217,2572169,rest,0,-178.19
1623566429745,2572391,rest,0,-179.87
1623566429745,2572613,rest,0,-181
1623566430229,2572836,rest,0,-182.37
1623566430229,2573058,rest,0,-183.56
1623566430229,2573280,rest,0,-185.12
1623566430732,2573501,rest,0,-186.25
1623566430732,2573722,rest,0,-187.37
1623566431238,2573944,rest,0,-188.69
1623566431238,2574166,rest,0,-189.5
1623566431762,2574388,rest,0,-190.5
1623566431762,2574610,rest,0,-191.25
1623566431762,2574831,rest,0,-192.31
1623566432267,2575052,rest,0,-192.94
1623566432267,2575274,rest,0,-193.62
1623566432751,2575497,rest,0,-194.5
1623566432751,2575719,rest,0,-195.25
1623566433266,2575942,rest,0,-195.94
1623566433266,2576164,rest,0,-197.13
1623566433761,2576386,rest,0,-197.75
1623566433761,2576608,rest,0,-198.5
1623566433761,2576830,rest,0,-199.56
1623566434295,2577053,rest,0,-200.31
1623566434295,2577275,rest,0,-201.25
1623566434787,2577498,rest,0,-202
1623566434787,2577720,rest,0,-202.81
1623566435275,2577943,rest,0,-203.62
1623566435275,2578165,rest,0,-204.25
1623566435781,2578387,rest,0,-205.75
1623566435781,2578609,rest,0,-206.19
1623566435781,2578831,rest,0,-206.94
1623566436286,2579052,rest,0,-207.94
1623566436286,2579273,rest,0,-208.56
1623566436788,2579496,rest,0,-209.25
1623566436788,2579718,rest,0,-210.25
1623566437294,2579941,rest,0,-210.94
1623566437294,2580163,rest,0,-211.69
1623566437294,2580385,rest,0,-212.56
1623566437814,2580606,rest,0,-213.31
1623566437814,2580828,rest,0,-214.38
1623566438302,2581050,rest,0,-215
1623566438302,2581272,rest,0,-215.87
1623566438806,2581495,rest,0,-216.63
1623566438806,2581717,rest,0,-217.31
1623566439309,2581938,rest,0,-218.19
1623566439309,2582160,rest,0,-218.75
1623566439309,2582382,rest,0,-219.5
1623566439830,2582603,rest,0,-220.19
1623566439830,2582825,rest,0,-220.81
1623566440321,2583048,rest,0,-221.37
1623566440321,2583270,rest,0,-222.25
1623566440835,2583493,rest,0,-223
1623566440835,2583715,rest,0,-223.56
1623566441342,2583938,rest,0,-224.31
1623566441342,2584160,rest,0,-224.81
1623566441342,2584382,rest,0,-225.81
1623566441835,2584603,rest,0,-226.69
1623566441835,2584825,rest,0,-226.94
1623566442344,2585048,rest,0,-227.25
1623566442344,2585270,rest,0,-227.94
1623566442846,2585492,rest,0,-228.5
1623566442846,2585713,rest,0,-229.31
1623566442846,2585935,rest,0,-230.12
1623566443368,2586156,rest,0,-230.31
1623566443368,2586378,rest,0,-231
1623566443854,2586601,rest,0,-231.31
1623566443854,2586822,rest,0,-232.12
1623566444356,2587045,rest,0,-232.75
1623566444356,2587267,rest,0,-233.5
1623566444867,2587490,rest,0,-234.31
1623566444867,2587712,rest,0,-234.81
1623566444867,2587934,rest,0,-235.31
1623566445370,2588156,rest,0,-236
1623566445370,2588378,rest,0,-236.5
1623566445871,2588601,rest,0,-236.94
1623566445871,2588822,rest,0,-237.94
1623566446378,2589044,rest,0,-238.31
1623566446378,2589266,rest,0,-238.81
1623566446925,2589488,rest,0,-239.94
1623566446925,2589710,rest,0,-240.06
1623566446925,2589932,rest,0,-240.75
1623566447384,2590153,rest,0,-241.38
1623566447384,2590375,rest,0,-242.06
1623566447896,2590597,rest,0,-242.87
1623566447896,2590819,rest,0,-243.63
1623566448395,2591042,rest,0,-244.31
1623566448395,2591264,rest,0,-244.87
1623566448395,2591486,rest,0,-245.37
1623566448903,2591707,rest,0,-246.19
1623566448903,2591929,rest,0,-246.75
1623566449403,2592152,rest,0,-247.19
1623566449403,2592374,rest,0,-248.19
1623566449907,2592597,rest,0,-248.5
1623566449907,2592819,rest,0,-249.06
1623566450415,2593041,rest,0,-249.5
1623566450415,2593262,rest,0,-250.13
1623566450415,2593484,rest,0,-250.44
1623566450920,2593707,rest,0,-250.75
1623566450920,2593929,rest,0,-251.31
1623566451450,2594152,rest,0,-251.31
1623566451450,2594374,rest,0,-251.69
1623566451928,2594597,rest,0,-251.94
1623566451928,2594818,rest,0,-252.44
1623566452452,2595040,rest,0,-252.81
1623566452452,2595261,rest,0,-253.19
1623566452452,2595483,rest,0,-254.13
1623566452939,2595704,rest,0,-254.25
1623566452939,2595926,rest,0,-255.06
1623566453441,2596149,rest,0,-255.56
1623566453441,2596371,rest,0,-256.31
1623566453946,2596593,rest,0,-256.87
1623566453946,2596815,rest,0,-257.25
1623566453946,2597037,rest,0,-258.19
1623566454448,2597258,rest,0,-258.44
1623566454448,2597480,rest,0,-259.06
1623566454967,2597701,rest,0,-259.44
1623566454967,2597923,rest,0,-260.06
1623566455460,2598146,rest,0,-260.19
1623566455460,2598368,rest,0,-260.13
1623566455996,2598591,rest,0,-260.38
1623566455996,2598813,rest,0,-260.63
1623566455996,2599035,rest,0,-261.06
1623566456475,2599258,rest,0,-261.56
1623566456475,2599480,rest,0,-262.12
1623566456976,2599703,rest,0,-262.5
1623566456976,2599925,rest,0,-263
1623566457502,2600147,rest,0,-263.62
1623566457502,2600369,rest,0,-263.62
1623566457984,2600592,rest,0,-264
1623566457984,2600814,rest,0,-264.44
1623566457984,2601035,rest,0,-264.88
1623566458487,2601256,rest,0,-265.19
1623566458487,2601478,rest,0,-265.75
1623566458994,2601701,rest,0,-266.31
1623566458994,2601923,rest,0,-266.56
1623566459532,2602145,rest,0,-267.13
1623566459532,2602367,rest,0,-267.56
1623566459532,2602588,rest,0,-268.19
1623566460012,2602809,rest,0,-268.44
1623566460012,2603031,rest,0,-268.88
1623566460506,2603254,rest,0,-269.19
1623566460506,2603476,rest,0,-269.19
1623566461013,2603699,rest,0,-269.19
1623566461013,2603921,rest,0,-269.31
1623566461516,2604144,rest,0,-268.31
1623566461516,2604366,rest,0,-267.94
1623566461516,2604587,rest,0,-267.5
1623566462049,2604809,rest,0,-266.94
1623566462049,2605031,rest,0,-266.75
1623566462551,2605254,rest,0,-266.5
1623566462551,2605476,rest,0,-266.75
1623566463031,2605699,rest,0,-266.31
1623566463031,2605921,rest,0,-265.94
1623566463538,2606144,rest,0,-264
1623566463538,2606365,rest,0,-261.12
1623566463538,2606587,rest,0,-256.19
1623566464039,2606808,rest,0,-251.56
1623566464039,2607030,rest,0,-246.37
1623566464544,2607253,rest,0,-241.56
1623566464544,2607475,rest,0,-236.81
1623566465051,2607697,rest,0,-226.75
1623566465051,2607919,rest,0,-212.25
1623566465051,2608141,rest,0,-199.38
1623566465567,2608363,rest,0,-187
1623566465567,2608585,rest,0,-176.12
1623566466059,2608807,rest,0,-165.44
1623566466059,2609029,rest,0,-160.69
1623566466566,2609251,rest,0,-158.75
1623566466566,2609473,rest,0,-159.31
1623566467068,2609696,rest,0,-159.69
1623566467068,2609918,rest,0,-161.19
1623566467068,2610140,rest,0,-162.75
1623566467575,2610362,rest,0,-166.12
1623566467575,2610584,rest,0,-170
1623566468078,2610807,rest,0,-173
1623566468078,2611029,rest,0,-175.87
1623566468584,2611251,rest,0,-179.19
1623566468584,2611473,rest,0,-180.69
1623566469100,2611696,rest,0,-178.87
1623566469100,2611917,rest,0,-173.31
1623566469100,2612139,rest,0,-165.5
1623566469603,2612360,rest,0,-157.44
1623566469603,2612582,rest,0,-150.81
1623566470095,2612805,rest,0,-145.12
1623566470095,2613026,rest,0,-141.12
1623566470640,2613248,rest,0,-139.75
1623566470640,2613470,rest,0,-139.75
1623566470640,2613692,rest,0,-137.06
1623566471104,2613913,rest,0,-131.63
1623566471104,2614135,rest,0,-123.44
1623566471617,2614357,rest,0,-114.25
1623566471617,2614579,rest,0,-108.56
1623566472132,2614802,rest,0,-106.75
1623566472132,2615023,rest,0,-107.75
1623566472618,2615246,rest,0,-110.06
1623566472618,2615468,rest,0,-111.25
1623566472618,2615690,rest,0,-114.62
1623566473139,2615912,rest,0,-117.56
1623566473139,2616133,rest,0,-122.69
1623566473629,2616356,rest,0,-126.87
1623566473629,2616578,rest,0,-129
1623566474148,2616800,rest,0,-128.56
1623566474148,2617022,rest,0,-127.75
1623566474639,2617245,rest,0,-127.12
1623566474639,2617466,rest,0,-127
1623566474639,2617688,rest,0,-127.38
1623566475151,2617909,rest,0,-129.44
1623566475151,2618131,rest,0,-132.19
1623566475649,2618354,rest,0,-135.5
1623566475649,2618576,rest,0,-139.56
1623566476159,2618798,rest,0,-142.81
1623566476159,2619019,rest,0,-145.69
1623566476159,2619241,rest,0,-149
1623566476670,2619462,rest,0,-151.25
1623566476670,2619684,rest,0,-152.81
1623566477348,2619907,rest,0,-152.94
1623566477348,2620129,rest,0,-152.31
1623566477672,2620352,rest,0,-150.87
1623566477672,2620574,rest,0,-149.12
1623566478169,2620797,rest,0,-146.37
1623566478169,2621019,rest,0,-140.5
1623566478169,2621241,rest,0,-131.25
1623566478728,2621464,rest,0,-121.69
1623566478728,2621686,rest,0,-112.81
1623566479184,2621909,rest,0,-106.87
1623566479184,2622131,rest,0,-104.31
1623566479685,2622354,rest,0,-105.06
1623566479685,2622576,rest,0,-108.31
1623566480195,2622798,rest,0,-113.25
1623566480195,2623020,rest,0,-117.81
1623566480195,2623242,rest,0,-122.81
1623566480698,2623463,rest,0,-127.69
1623566480698,2623685,rest,0,-131.69
1623566481227,2623907,rest,0,-135.31
1623566481227,2624129,rest,0,-138.69
1623566481705,2624352,rest,0,-141.06
1623566481705,2624574,rest,0,-143.44
1623566481705,2624796,rest,0,-146.06
1623566482212,2625018,rest,0,-148
1623566482212,2625240,rest,0,-150.19
1623566482714,2625463,rest,0,-152.44
1623566482714,2625685,rest,0,-154.06
1623566483254,2625908,rest,0,-155.75
