localTime,remoteTime,label,eda,eda_filtered
1623561926966,425473,rest,0,-404.5
1623561926966,425694,rest,0,-404.81
1623561927470,425916,rest,0,-405.13
1623561927470,426137,rest,0,-405.63
1623561927470,426358,rest,0,-405.63
1623561927969,426578,rest,0,-405.56
1623561927969,426799,rest,0,-406.31
1623561928484,427020,rest,0,-406.13
1623561928484,427241,rest,0,-406.5
1623561928975,427462,rest,0,-407
1623561928975,427683,rest,0,-407.12
1623561928975,427904,rest,0,-407.5
1623561929476,428125,rest,0,-407.69
1623561929476,428346,rest,0,-408
1623561929983,428568,rest,0,-408.06
1623561929983,428789,rest,0,-408.44
1623561930490,429011,rest,0,-408.69
1623561930490,429232,rest,0,-408.5
1623561930992,429454,rest,0,-408.25
1623561930992,429675,rest,0,-407.94
1623561930992,429896,rest,0,-408.19
1623561931497,430118,rest,0,-407.69
1623561931497,430339,rest,0,-407.88
1623561931991,430560,rest,0,-407.81
1623561931991,430781,rest,0,-408.69
1623561932495,431003,rest,0,-408.56
1623561932495,431224,rest,0,-408.81
1623561933003,431446,rest,0,-408.94
1623561933003,431667,rest,0,-409.31
1623561933003,431888,rest,0,-409.44
1623561933517,432108,rest,0,-409.31
1623561933517,432329,rest,0,-409.44
1623561934013,432551,rest,0,-409.13
1623561934013,432772,rest,0,-409.31
1623561934508,432994,rest,0,-409.31
1623561934508,433215,rest,0,-409.63
1623561934508,433436,rest,0,-409.44
1623561935033,433657,rest,0,-409
1623561935033,433878,rest,0,-409.31
1623561935514,434100,rest,0,-409.19
1623561935514,434321,rest,0,-409
1623561936020,434543,rest,0,-408.69
1623561936020,434764,rest,0,-408.75
1623561936569,434986,rest,0,-408.69
1623561936569,435207,rest,0,-408.62
1623561936569,435428,rest,0,-408.31
1623561937023,435650,rest,0,-408.12
1623561937023,435872,rest,0,-408.12
1623561937800,436094,rest,0,-407.69
1623561937800,436315,rest,0,-407.56
1623561938032,436537,rest,0,-407.44
1623561938032,436758,rest,0,-406.75
1623561938540,436980,rest,0,-406.87
