localTime,remoteTime,label,eda,eda_filtered
1653018598513,380899926,,-5623,-5623
1653018598513,380799926,,-5615,-5615
1653018598513,380699926,,-5617,-5617
1653018598513,380599926,,-5605,-5605
1653018598513,380499926,,-5578,-5578
1653018599018,381399977,,-5563,-5563
1653018599018,381299977,,-5513,-5513
1653018599018,381199977,,-5503,-5503
1653018599018,381099977,,-5502,-5502
1653018599018,380999977,,-5487,-5487
1653018599534,381899971,,-5494,-5494
1653018599534,381799971,,-5505,-5505
1653018599534,381699971,,-5499,-5499
1653018599534,381599971,,-5485,-5485
1653018599534,381499971,,-5482,-5482
1653018600002,382399890,,-5470,-5470
1653018600002,382299890,,-5451,-5451
1653018600002,382199890,,-5425,-5425
1653018600002,382099890,,-5394,-5394
1653018600002,381999890,,-5381,-5381
1653018600490,382899931,,-5339,-5339
1653018600490,382799931,,-5322,-5322
1653018600490,382699931,,-5298,-5298
1653018600490,382599931,,-5241,-5241
1653018600490,382499931,,-5215,-5215
1653018600995,383399939,,-5197,-5197
1653018600995,383299939,,-5184,-5184
1653018600995,383199939,,-5145,-5145
1653018600995,383099939,,-5135,-5135
1653018600995,382999939,,-5116,-5116
1653018601476,383899971,,-5094,-5094
1653018601476,383799971,,-5070,-5070
1653018601476,383699971,,-5024,-5024
1653018601476,383599971,,-5016,-5016
1653018601476,383499971,,-4998,-4998
1653018601992,384399931,,-4987,-4987
1653018601992,384299931,,-4971,-4971
1653018601992,384199931,,-4969,-4969
1653018601992,384099931,,-4967,-4967
1653018601992,383999931,,-4954,-4954
1653018602502,384899980,,-4946,-4946
1653018602502,384799980,,-4930,-4930
1653018602502,384699980,,-4931,-4931
1653018602502,384599980,,-4942,-4942
1653018602502,384499980,,-4946,-4946
1653018602959,385399994,,-4941,-4941
1653018602959,385299994,,-4945,-4945
1653018602959,385199994,,-4941,-4941
1653018602959,385099994,,-4934,-4934
1653018602959,384999994,,-4934,-4934
1653018603465,385899978,,-4932,-4932
1653018603465,385799978,,-4920,-4920
1653018603465,385699978,,-4918,-4918
1653018603465,385599978,,-4916,-4916
1653018603465,385499978,,-4915,-4915
1653018603964,386399978,,-4914,-4914
1653018603964,386299978,,-4905,-4905
1653018603964,386199978,,-4917,-4917
1653018603964,386099978,,-4905,-4905
1653018603964,385999978,,-4887,-4887
1653018604458,386900980,,-4831,-4831
1653018604458,386800980,,-4703,-4703
1653018604458,386700980,,-4477,-4477
1653018604458,386600980,,-4439,-4439
1653018604458,386500980,,-5394,-5394
1653018604959,387404797,,-6320,-6320
1653018604959,387304797,,-6549,-6549
1653018604959,387204797,,-6610,-6610
1653018604959,387104797,,-6603,-6603
1653018604959,387004797,,-6613,-6613
1653018605414,387908256,,-6618,-6618
1653018605414,387808256,,-6606,-6606
1653018605414,387708256,,-6612,-6612
1653018605414,387608256,,-6616,-6616
1653018605414,387508256,,-6626,-6626
1653018605909,388399978,,-6623,-6623
1653018605909,388299978,,-6609,-6609
1653018605909,388199978,,-6610,-6610
1653018605909,388099978,,-6410,-6410
