Participant,Visualization,Measure,Score,,,
1,Illustrative,Attention,5.5,                   Anova,,
1,Artistic,Attention,4,,,
1,Ambient,Attention,4.5,              F Value Num DF  Den DF Pr > F,,
2,Illustrative,Attention,5,-------------------------------------------,,
2,Artistic,Attention,5,Visualization  6.2032 2.0000 34.0000 0.0051,,
2,Ambient,Attention,4,,,
3,Illustrative,Attention,6,,,
3,Artistic,Attention,3.5,,,
3,Ambient,Attention,4,,,
4,Illustrative,Attention,5.5,,,
4,Artistic,Attention,4.5,,,
4,Ambient,Attention,3.5,,,
5,Illustrative,Attention,3,,,
5,Artistic,Attention,2,,,
5,Ambient,Attention,3.5,,,
6,Illustrative,Attention,6.5,,,
6,Artistic,Attention,5.5,,,
6,Ambient,Attention,5,,,
7,Illustrative,Attention,6,,,
7,Artistic,Attention,5,,,
7,Ambient,Attention,4.5,,,
8,Illustrative,Attention,4.5,,,
8,Artistic,Attention,3,,,
8,Ambient,Attention,5.5,,,
9,Illustrative,Attention,6,,,
9,Artistic,Attention,5.5,,,
9,Ambient,Attention,5.5,,,
10,Illustrative,Attention,6,,,
10,Artistic,Attention,4,,,
10,Ambient,Attention,4.5,,,
11,Illustrative,Attention,4,,,
11,Artistic,Attention,4,,,
11,Ambient,Attention,4.5,,,
12,Illustrative,Attention,5,,,
12,Artistic,Attention,5.5,,,
12,Ambient,Attention,6,,,
13,Illustrative,Attention,4.5,,,
13,Artistic,Attention,3,,,
13,Ambient,Attention,6.5,,,
14,Illustrative,Attention,5.5,,,
14,Artistic,Attention,6,,,
14,Ambient,Attention,5.5,,,
15,Illustrative,Attention,6.5,,,
15,Artistic,Attention,4,,,
15,Ambient,Attention,4.5,,,
16,Illustrative,Attention,6.5,,,
16,Artistic,Attention,6,,,
16,Ambient,Attention,4.5,,,
17,Illustrative,Attention,5.5,,,
17,Artistic,Attention,4,,,
17,Ambient,Attention,4.5,,,
18,Illustrative,Attention,5.5,,,
18,Artistic,Attention,5.5,,,
18,Ambient,Attention,3.5,,,
