Participant,Visualization,Measure,Score,,,
1,Illustrative,Comprehension,3.5,,,
1,Artistic,Comprehension,4.5,,,
1,Ambient,Comprehension,3,,,
2,Illustrative,Comprehension,5,                   Anova,,
2,Artistic,Comprehension,6,,,
2,Ambient,Comprehension,5,              F Value Num DF  Den DF Pr > F,,
3,Illustrative,Comprehension,5,-------------------------------------------,,
3,Artistic,Comprehension,5.5,Visualization 18.2273 2.0000 34.0000 0.0000,,
3,Ambient,Comprehension,4,,,
4,Illustrative,Comprehension,3,,,
4,Artistic,Comprehension,3.5,,,
4,Ambient,Comprehension,2.5,,,
5,Illustrative,Comprehension,3,,,
5,Artistic,Comprehension,4,,,
5,Ambient,Comprehension,1.5,,,
6,Illustrative,Comprehension,5,,,
6,Artistic,Comprehension,5,,,
6,Ambient,Comprehension,4.5,,,
7,Illustrative,Comprehension,4.5,,,
7,Artistic,Comprehension,5,,,
7,Ambient,Comprehension,5,,,
8,Illustrative,Comprehension,3.5,,,
8,Artistic,Comprehension,4.5,,,
8,Ambient,Comprehension,3,,,
9,Illustrative,Comprehension,5,,,
9,Artistic,Comprehension,5.5,,,
9,Ambient,Comprehension,4.5,,,
10,Illustrative,Comprehension,4.5,,,
10,Artistic,Comprehension,4,,,
10,Ambient,Comprehension,3,,,
11,Illustrative,Comprehension,3,,,
11,Artistic,Comprehension,4.5,,,
11,Ambient,Comprehension,3.5,,,
12,Illustrative,Comprehension,5,,,
12,Artistic,Comprehension,5.5,,,
12,Ambient,Comprehension,4.5,,,
13,Illustrative,Comprehension,3,,,
13,Artistic,Comprehension,5.5,,,
13,Ambient,Comprehension,4,,,
14,Illustrative,Comprehension,5,,,
14,Artistic,Comprehension,6,,,
14,Ambient,Comprehension,4,,,
15,Illustrative,Comprehension,5.5,,,
15,Artistic,Comprehension,5,,,
15,Ambient,Comprehension,4.5,,,
16,Illustrative,Comprehension,4.5,,,
16,Artistic,Comprehension,5.5,,,
16,Ambient,Comprehension,4,,,
17,Illustrative,Comprehension,3.5,,,
17,Artistic,Comprehension,4.5,,,
17,Ambient,Comprehension,3.5,,,
18,Illustrative,Comprehension,4,,,
18,Artistic,Comprehension,3,,,
18,Ambient,Comprehension,4,,,
