Participant,Visualization,Measure,Score,,,
1,Illustrative,Execution,4.5,,,
1,Artistic,Execution,3.5,,,
1,Ambient,Execution,3.5,,,
2,Illustrative,Execution,3.5,,,
2,Artistic,Execution,3.5,,,
2,Ambient,Execution,3.5,,,
3,Illustrative,Execution,5,,,
3,Artistic,Execution,4.5,,,
3,Ambient,Execution,5.5,,,
4,Illustrative,Execution,4.5,,,
4,Artistic,Execution,4.5,,,
4,Ambient,Execution,4,,,
5,Illustrative,Execution,5,,,
5,Artistic,Execution,3,,,
5,Ambient,Execution,3.5,,,
6,Illustrative,Execution,3.5,,,
6,Artistic,Execution,3.5,,,
6,Ambient,Execution,4,,,
7,Illustrative,Execution,5,,,
7,Artistic,Execution,4,,,
7,Ambient,Execution,4.5,,,
8,Illustrative,Execution,3.5,,,
8,Artistic,Execution,3.5,,,
8,Ambient,Execution,4,,,
9,Illustrative,Execution,4.5,,,
9,Artistic,Execution,4.5,,,
9,Ambient,Execution,5,,,
10,Illustrative,Execution,4.5,,,
10,Artistic,Execution,4,,,
10,Ambient,Execution,4.5,,,
11,Illustrative,Execution,4.5,,,
11,Artistic,Execution,4,,,
11,Ambient,Execution,4.5,,,
12,Illustrative,Execution,4,,,
12,Artistic,Execution,4.5,,,
12,Ambient,Execution,5,,,
13,Illustrative,Execution,3.5,,,
13,Artistic,Execution,4,,,
13,Ambient,Execution,5,,,
14,Illustrative,Execution,4.5,,,
14,Artistic,Execution,3.5,,,
14,Ambient,Execution,4,,,
15,Illustrative,Execution,4,,,
15,Artistic,Execution,4,,,
15,Ambient,Execution,5,,,
16,Illustrative,Execution,5,,,
16,Artistic,Execution,4.5,,,
16,Ambient,Execution,4.5,,,
17,Illustrative,Execution,4.5,,,
17,Artistic,Execution,4,,,
17,Ambient,Execution,5.5,,,
18,Illustrative,Execution,4.5,,,
18,Artistic,Execution,4.5,,,
18,Ambient,Execution,4,,,
