Participant,Score,Measure,Session
1,3.8,Positive,1
2,3,Positive,1
3,3.8,Positive,1
4,3.2,Positive,1
5,3.8,Positive,1
6,2.6,Positive,1
7,3,Positive,1
8,3,Positive,1
9,2.6,Positive,1
1,4,Sensory and Imaginative Immersion ,1
2,3,Sensory and Imaginative Immersion ,1
3,3.5,Sensory and Imaginative Immersion ,1
4,2.5,Sensory and Imaginative Immersion ,1
5,4,Sensory and Imaginative Immersion ,1
6,2,Sensory and Imaginative Immersion ,1
7,2,Sensory and Imaginative Immersion ,1
8,2.5,Sensory and Imaginative Immersion ,1
9,2.5,Sensory and Imaginative Immersion ,1
1,4,Flow,1
2,1.4,Flow,1
3,3.2,Flow,1
4,1.2,Flow,1
5,3.2,Flow,1
6,2.4,Flow,1
7,2.4,Flow,1
8,2,Flow,1
9,2.4,Flow,1
1,0.5,Negative ,1
2,0,Negative ,1
3,1.25,Negative ,1
4,0,Negative ,1
5,1,Negative ,1
6,0.75,Negative ,1
7,0.5,Negative ,1
8,1.25,Negative ,1
9,1.5,Negative ,1
1,0.5,Tension and Annoyance,1
2,0,Tension and Annoyance,1
3,1,Tension and Annoyance,1
4,0,Tension and Annoyance,1
5,0.5,Tension and Annoyance,1
6,0.5,Tension and Annoyance,1
7,1,Tension and Annoyance,1
8,2,Tension and Annoyance,1
9,1.5,Tension and Annoyance,1
1,4,Positive,2
2,3,Positive,2
3,3.8,Positive,2
4,3.4,Positive,2
5,3.6,Positive,2
6,2.4,Positive,2
7,3.6,Positive,2
8,3,Positive,2
9,3,Positive,2
1,4,Sensory and Imaginative Immersion ,2
2,3,Sensory and Imaginative Immersion ,2
3,3.5,Sensory and Imaginative Immersion ,2
4,4,Sensory and Imaginative Immersion ,2
5,3.5,Sensory and Imaginative Immersion ,2
6,2.5,Sensory and Imaginative Immersion ,2
7,2.5,Sensory and Imaginative Immersion ,2
8,3,Sensory and Imaginative Immersion ,2
9,3.5,Sensory and Imaginative Immersion ,2
1,4,Flow,2
2,3,Flow,2
3,3.6,Flow,2
4,3,Flow,2
5,2.8,Flow,2
6,1.8,Flow,2
7,2.2,Flow,2
8,2.8,Flow,2
9,2.4,Flow,2
1,0,Negative ,2
2,0.75,Negative ,2
3,0,Negative ,2
4,0,Negative ,2
5,1.75,Negative ,2
6,1.5,Negative ,2
7,1.25,Negative ,2
8,2.5,Negative ,2
9,2.25,Negative ,2
1,0.5,Tension and Annoyance,2
2,0,Tension and Annoyance,2
3,2,Tension and Annoyance,2
4,0.5,Tension and Annoyance,2
5,1,Tension and Annoyance,2
6,0,Tension and Annoyance,2
7,1,Tension and Annoyance,2
8,2,Tension and Annoyance,2
9,2.5,Tension and Annoyance,2
