Participant,Score,Measure,Session,
1,4,Positive,3,
2,2.2,Positive,3,
3,4,Positive,3,
4,3.4,Positive,3,
5,3.6,Positive,3,
6,4,Positive,3,
7,3,Positive,3,
8,3,Positive,3,
9,4,Positive,3,
1,4,Sensory and Imaginative Immersion ,3,
2,2,Sensory and Imaginative Immersion ,3,
3,4,Sensory and Imaginative Immersion ,3,
4,4,Sensory and Imaginative Immersion ,3,
5,3.5,Sensory and Imaginative Immersion ,3,
6,3.5,Sensory and Imaginative Immersion ,3,
7,4,Sensory and Imaginative Immersion ,3,
8,3,Sensory and Imaginative Immersion ,3,
9,4,Sensory and Imaginative Immersion ,3,
1,3.2,Flow,3,
2,2.4,Flow,3,
3,3,Flow,3,
4,2.8,Flow,3,
5,3,Flow,3,
6,3.6,Flow,3,
7,1.6,Flow,3,
8,3,Flow,3,
9,3.6,Flow,3,
1,0.25,Negative ,3,
2,1.25,Negative ,3,
3,2,Negative ,3,
4,0,Negative ,3,
5,0.75,Negative ,3,
6,0.25,Negative ,3,
7,1.25,Negative ,3,
8,2.5,Negative ,3,
9,1.25,Negative ,3,
1,0,Tension and Annoyance,3,
2,1.5,Tension and Annoyance,3,
3,0.5,Tension and Annoyance,3,
4,0,Tension and Annoyance,3,
5,1,Tension and Annoyance,3,
6,0,Tension and Annoyance,3,
7,2,Tension and Annoyance,3,
8,2,Tension and Annoyance,3,
9,4,Tension and Annoyance,3,
1,4,Positive,4,
2,2,Positive,4,
3,4,Positive,4,
4,1.4,Positive,4,
5,3.6,Positive,4,
6,2.8,Positive,4,
7,3.6,Positive,4,
8,4,Positive,4,
9,4.5,Positive,4,
1,4,Sensory and Imaginative Immersion ,4,
2,2.5,Sensory and Imaginative Immersion ,4,
3,4,Sensory and Imaginative Immersion ,4,
4,3.5,Sensory and Imaginative Immersion ,4,
5,4,Sensory and Imaginative Immersion ,4,
6,2.5,Sensory and Imaginative Immersion ,4,
7,3.5,Sensory and Imaginative Immersion ,4,
8,4,Sensory and Imaginative Immersion ,4,
9,4.5,Sensory and Imaginative Immersion ,4,
1,4,Flow,4,
2,1.4,Flow,4,
3,4,Flow,4,
4,3.6,Flow,4,
5,2.8,Flow,4,
6,3,Flow,4,
7,3.8,Flow,4,
8,3.2,Flow,4,
9,4.5,Flow,4,
1,0,Negative ,4,
2,2,Negative ,4,
3,2,Negative ,4,
4,2.5,Negative ,4,
5,1.75,Negative ,4,
6,1.75,Negative ,4,
7,1.5,Negative ,4,
8,2.75,Negative ,4,
9,0.5,Negative ,4,
1,0,Tension and Annoyance,4,
2,2.5,Tension and Annoyance,4,
3,0,Tension and Annoyance,4,
4,3,Tension and Annoyance,4,
5,1.5,Tension and Annoyance,4,
6,0.5,Tension and Annoyance,4,
7,1,Tension and Annoyance,4,
8,1,Tension and Annoyance,4,
9,0.5,Tension and Annoyance,4,
