Participant,Score,Measure,Session,
1,3.67,Positive,3,
2,1.00,Positive,3,
3,2.67,Positive,3,
4,3.00,Positive,3,
5,2.33,Positive,3,
6,2.00,Positive,3,
7,2.33,Positive,3,
8,3.00,Positive,3,
9,3.67,Positive,3,
1,1.33,Negative ,3,
2,2.00,Negative ,3,
3,1.00,Negative ,3,
4,0.67,Negative ,3,
5,1.33,Negative ,3,
6,1.00,Negative ,3,
7,1.67,Negative ,3,
8,2.33,Negative ,3,
9,1.33,Negative ,3,
1,3.00,Tiredness,3,
2,3.00,Tiredness,3,
3,1.00,Tiredness,3,
4,0.00,Tiredness,3,
5,1.00,Tiredness,3,
6,0.00,Tiredness,3,
7,1.00,Tiredness,3,
8,1.00,Tiredness,3,
9,2.00,Tiredness,3,
1,4.00,Return to Reality,3,
2,1.00,Return to Reality,3,
3,4.00,Return to Reality,3,
4,2.50,Return to Reality,3,
5,2.00,Return to Reality,3,
6,2.00,Return to Reality,3,
7,2.50,Return to Reality,3,
8,3.00,Return to Reality,3,
9,2.00,Return to Reality,3,
1,4.00,Positive,4,
2,2.33,Positive,4,
3,4.00,Positive,4,
4,1.33,Positive,4,
5,4.00,Positive,4,
6,3.33,Positive,4,
7,3.00,Positive,4,
8,3.00,Positive,4,
9,4.50,Positive,4,
1,1.33,Negative ,4,
2,1.67,Negative ,4,
3,1.00,Negative ,4,
4,1.00,Negative ,4,
5,2.33,Negative ,4,
6,1.00,Negative ,4,
7,1.00,Negative ,4,
8,1.67,Negative ,4,
9,1.00,Negative ,4,
1,3.00,Tiredness,4,
2,3.00,Tiredness,4,
3,1.00,Tiredness,4,
4,0.00,Tiredness,4,
5,1.00,Tiredness,4,
6,0.00,Tiredness,4,
7,1.00,Tiredness,4,
8,1.00,Tiredness,4,
9,1.00,Tiredness,4,
1,4.00,Return to Reality,4,
2,2.50,Return to Reality,4,
3,4.00,Return to Reality,4,
4,3.50,Return to Reality,4,
5,3.50,Return to Reality,4,
6,3.00,Return to Reality,4,
7,3.00,Return to Reality,4,
8,3.00,Return to Reality,4,
9,4.00,Return to Reality,4,
