Participant,Score,Measure,Session
1,3.17,Psychological Involvement,1
2,3.00,Psychological Involvement,1
3,2.50,Psychological Involvement,1
4,2.17,Psychological Involvement,1
5,3.33,Psychological Involvement,1
6,1.67,Psychological Involvement,1
7,3.00,Psychological Involvement,1
8,2.67,Psychological Involvement,1
9,2.83,Psychological Involvement,1
1,3.17,Behavioural Involvement ,1
2,3.00,Behavioural Involvement ,1
3,2.67,Behavioural Involvement ,1
4,2.33,Behavioural Involvement ,1
5,2.67,Behavioural Involvement ,1
6,1.33,Behavioural Involvement ,1
7,2.17,Behavioural Involvement ,1
8,3.00,Behavioural Involvement ,1
9,2.83,Behavioural Involvement ,1
1,3.83,Psychological Involvement,2
2,3.00,Psychological Involvement,2
3,3.67,Psychological Involvement,2
4,2.67,Psychological Involvement,2
5,3.50,Psychological Involvement,2
6,1.83,Psychological Involvement,2
7,2.67,Psychological Involvement,2
8,3.00,Psychological Involvement,2
9,2.67,Psychological Involvement,2
1,3.67,Behavioural Involvement ,2
2,3.00,Behavioural Involvement ,2
3,3.50,Behavioural Involvement ,2
4,2.50,Behavioural Involvement ,2
5,3.00,Behavioural Involvement ,2
6,0.67,Behavioural Involvement ,2
7,2.83,Behavioural Involvement ,2
8,3.00,Behavioural Involvement ,2
9,3.17,Behavioural Involvement ,2
