Participant,Score,Measure,Session,
1,4.00,Psychological Involvement,3,
2,1.50,Psychological Involvement,3,
3,3.50,Psychological Involvement,3,
4,3.33,Psychological Involvement,3,
5,3.33,Psychological Involvement,3,
6,2.50,Psychological Involvement,3,
7,2.83,Psychological Involvement,3,
8,3.00,Psychological Involvement,3,
9,3.67,Psychological Involvement,3,
1,4.00,Behavioural Involvement ,3,
2,2.00,Behavioural Involvement ,3,
3,3.00,Behavioural Involvement ,3,
4,2.83,Behavioural Involvement ,3,
5,2.67,Behavioural Involvement ,3,
6,3.00,Behavioural Involvement ,3,
7,3.17,Behavioural Involvement ,3,
8,3.00,Behavioural Involvement ,3,
9,3.17,Behavioural Involvement ,3,
1,4.00,Psychological Involvement,4,
2,2.33,Psychological Involvement,4,
3,4.00,Psychological Involvement,4,
4,2.50,Psychological Involvement,4,
5,3.33,Psychological Involvement,4,
6,2.17,Psychological Involvement,4,
7,3.50,Psychological Involvement,4,
8,4.00,Psychological Involvement,4,
9,4.50,Psychological Involvement,4,
1,4.00,Behavioural Involvement ,4,
2,1.83,Behavioural Involvement ,4,
3,4.00,Behavioural Involvement ,4,
4,2.50,Behavioural Involvement ,4,
5,3.17,Behavioural Involvement ,4,
6,2.83,Behavioural Involvement ,4,
7,3.00,Behavioural Involvement ,4,
8,3.83,Behavioural Involvement ,4,
9,4.50,Behavioural Involvement ,4,
