Participant,Score,Measurement,Session
1,4.83,Sense of Community,3
2,4.33,Sense of Community,3
3,4.67,Sense of Community,3
4,5.00,Sense of Community,3
5,5.00,Sense of Community,3
6,4.83,Sense of Community,3
7,4.67,Sense of Community,3
8,4.67,Sense of Community,3
9,5.67,Sense of Community,3
1,4,Cognitive/Emotional Engagement,3
2,3.75,Cognitive/Emotional Engagement,3
3,5,Cognitive/Emotional Engagement,3
4,4.5,Cognitive/Emotional Engagement,3
5,3.75,Cognitive/Emotional Engagement,3
6,4,Cognitive/Emotional Engagement,3
7,4.25,Cognitive/Emotional Engagement,3
8,5.75,Cognitive/Emotional Engagement,3
9,5.5,Cognitive/Emotional Engagement,3
1,4,Perceived Psychological Engagement,3
2,4.75,Perceived Psychological Engagement,3
3,5.25,Perceived Psychological Engagement,3
4,4,Perceived Psychological Engagement,3
5,4.5,Perceived Psychological Engagement,3
6,4,Perceived Psychological Engagement,3
7,5,Perceived Psychological Engagement,3
8,5.75,Perceived Psychological Engagement,3
9,5,Perceived Psychological Engagement,3
1,6.75,Sense of Co-presence,3
2,4.25,Sense of Co-presence,3
3,5,Sense of Co-presence,3
4,3.75,Sense of Co-presence,3
5,4.25,Sense of Co-presence,3
6,4.5,Sense of Co-presence,3
7,4.5,Sense of Co-presence,3
8,3.75,Sense of Co-presence,3
9,5,Sense of Co-presence,3
1,5.00,Sense of Community,4
2,4.00,Sense of Community,4
3,5.00,Sense of Community,4
4,4.50,Sense of Community,4
5,5.00,Sense of Community,4
6,4.83,Sense of Community,4
7,5.83,Sense of Community,4
8,5.00,Sense of Community,4
9,4.67,Sense of Community,4
1,5.25,Cognitive/Emotional Engagement,4
2,4.5,Cognitive/Emotional Engagement,4
3,5.5,Cognitive/Emotional Engagement,4
4,3.25,Cognitive/Emotional Engagement,4
5,5.5,Cognitive/Emotional Engagement,4
6,3.25,Cognitive/Emotional Engagement,4
7,5.75,Cognitive/Emotional Engagement,4
8,5,Cognitive/Emotional Engagement,4
9,4.75,Cognitive/Emotional Engagement,4
1,4,Perceived Psychological Engagement,4
2,5,Perceived Psychological Engagement,4
3,4,Perceived Psychological Engagement,4
4,3.75,Perceived Psychological Engagement,4
5,4,Perceived Psychological Engagement,4
6,4.25,Perceived Psychological Engagement,4
7,5.5,Perceived Psychological Engagement,4
8,5,Perceived Psychological Engagement,4
9,3.75,Perceived Psychological Engagement,4
1,5.5,Sense of Co-presence,4
2,5,Sense of Co-presence,4
3,6.5,Sense of Co-presence,4
4,5.25,Sense of Co-presence,4
5,5.5,Sense of Co-presence,4
6,4,Sense of Co-presence,4
7,5.75,Sense of Co-presence,4
8,5.5,Sense of Co-presence,4
9,6,Sense of Co-presence,4
